code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,eps,0.175,indicator.csv,eps,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,adjusted_profit,8159000000.0,indicator.csv,adjusted_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,operating_profit,9974000000.0,indicator.csv,operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,value_change_profit,732000000.0,indicator.csv,value_change_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,roe,5.16,indicator.csv,roe,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,inc_return,5.16,indicator.csv,inc_return,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,roa,0.33,indicator.csv,roa,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,net_profit_margin,45.6,indicator.csv,net_profit_margin,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,gross_profit_margin,,indicator.csv,gross_profit_margin,,identity_q1_or_ytd_diff,missing_raw_value
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,expense_to_total_revenue,40.07,indicator.csv,expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,operation_profit_to_total_revenue,59.93,indicator.csv,operation_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,net_profit_to_total_revenue,45.6,indicator.csv,net_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,operating_expense_to_total_revenue,,indicator.csv,operating_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,ga_expense_to_total_revenue,26.13,indicator.csv,ga_expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,financing_expense_to_total_revenue,,indicator.csv,financing_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,operating_profit_to_profit,92.66,indicator.csv,operating_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,invesment_profit_to_profit,6.8,indicator.csv,invesment_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,adjusted_profit_to_profit,99.9,indicator.csv,adjusted_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,goods_sale_and_service_to_revenue,,indicator.csv,goods_sale_and_service_to_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,ocf_to_revenue,337.4,indicator.csv,ocf_to_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,ocf_to_operating_profit,606.84,indicator.csv,ocf_to_operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,inc_total_revenue_year_on_year,6.89,indicator.csv,inc_total_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,inc_total_revenue_annual,8.47,indicator.csv,inc_total_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,inc_revenue_year_on_year,6.89,indicator.csv,inc_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,inc_revenue_annual,8.47,indicator.csv,inc_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,inc_operation_profit_year_on_year,2.31,indicator.csv,inc_operation_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,inc_operation_profit_annual,58.23,indicator.csv,inc_operation_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,inc_net_profit_year_on_year,2.57,indicator.csv,inc_net_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,inc_net_profit_annual,61.85,indicator.csv,inc_net_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,inc_net_profit_to_shareholders_year_on_year,2.55,indicator.csv,inc_net_profit_to_shareholders_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-03-31,2014q1,,2014-04-29,inc_net_profit_to_shareholders_annual,61.69,indicator.csv,inc_net_profit_to_shareholders_annual,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,eps,0.1645,indicator.csv,eps,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,adjusted_profit,7651000000.0,indicator.csv,adjusted_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,operating_profit,9770000000.0,indicator.csv,operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,value_change_profit,163000000.0,indicator.csv,value_change_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,roe,4.67,indicator.csv,roe,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,inc_return,4.66,indicator.csv,inc_return,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,roa,0.29,indicator.csv,roa,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,net_profit_margin,39.4,indicator.csv,net_profit_margin,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,gross_profit_margin,,indicator.csv,gross_profit_margin,,identity_q1_or_ytd_diff,missing_raw_value
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,expense_to_total_revenue,48.97,indicator.csv,expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,operation_profit_to_total_revenue,51.03,indicator.csv,operation_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,net_profit_to_total_revenue,39.4,indicator.csv,net_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,operating_expense_to_total_revenue,,indicator.csv,operating_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,ga_expense_to_total_revenue,30.02,indicator.csv,ga_expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,financing_expense_to_total_revenue,,indicator.csv,financing_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,operating_profit_to_profit,97.63,indicator.csv,operating_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,invesment_profit_to_profit,1.63,indicator.csv,invesment_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,adjusted_profit_to_profit,99.65,indicator.csv,adjusted_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,goods_sale_and_service_to_revenue,,indicator.csv,goods_sale_and_service_to_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,ocf_to_revenue,-30.42,indicator.csv,ocf_to_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,ocf_to_operating_profit,-60.79,indicator.csv,ocf_to_operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,inc_total_revenue_year_on_year,14.83,indicator.csv,inc_total_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,inc_total_revenue_annual,8.82,indicator.csv,inc_total_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,inc_revenue_year_on_year,14.83,indicator.csv,inc_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,inc_revenue_annual,8.82,indicator.csv,inc_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,inc_operation_profit_year_on_year,12.06,indicator.csv,inc_operation_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,inc_operation_profit_annual,-7.34,indicator.csv,inc_operation_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,inc_net_profit_year_on_year,10.45,indicator.csv,inc_net_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601818.XSHG,indicator,2014-06-30,2014q2,,2014-08-30,inc_net_profit_annual,-5.97,indicator.csv,inc_net_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
