id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,requested_period
3156348,601577.XSHG,2018-03-31,2018-08-14,2018-03-31,,1229181000.0,1563125000.0,144334000.0,5.15,5.13,0.27,38.94,,51.74,48.26,38.94,,31.92,,90.73,9.23,99.7,,-766.71,-1588.85,,,,,,,,,,,2018q1
247605,601577.XSHG,2018-06-30,2018-08-14,2018-06-30,,1151702000.0,,4172000.0,4.56,4.56,0.25,36.59,,,45.69,36.59,,,,,0.29,99.99,,-153.63,,,-0.76,,-0.76,,-6.04,,-6.77,,-6.57,2018q2
134662,601577.XSHG,2018-09-30,2018-10-30,2018-09-30,0.3929,1332022000.0,,21249000.0,4.82,4.77,0.27,36.54,,,45.41,36.54,,,,,1.27,99.08,,-207.47,,22.42,15.46,22.42,15.46,6.84,14.74,9.36,15.3,10.13,16.71,2018q3
237765,601577.XSHG,2018-12-31,2019-03-25,2018-12-31,0.21899999999999997,750719000.0,920300000.0,246935000.0,2.46,2.46,0.15,20.76,,75.62,24.38,20.76,,38.46,,74.57,27.34,100.17,,-20.85,-85.55,,1.72,,1.72,,-45.39,,-42.2,,-44.25,2018q4
246046,601577.XSHG,2019-03-31,2019-04-29,2019-03-31,0.4001,1375506000.0,823563000.0,894865000.0,4.35,4.37,0.25,33.2,,59.08,40.92,33.2,,31.22,,48.17,52.34,100.49,,291.44,1487.23,29.74,11.32,29.74,11.32,10.03,86.88,10.59,77.97,11.02,82.65,2019q1
253019,601577.XSHG,2019-06-30,2019-08-19,2019-06-30,0.3807,1298633000.0,1057527000.0,563833000.0,4.07,4.05,0.23,33.11,,58.9,41.1,33.11,,28.9,,65.01,34.66,99.69,,-278.91,-1043.13,23.04,-5.89,23.04,-5.89,10.68,-5.48,11.35,-6.12,13.09,-4.83,2019q2
264862,601577.XSHG,2019-09-30,2019-10-30,2019-09-30,0.4315,1471126000.0,1255143000.0,682254000.0,4.48,4.47,0.26,36.09,,54.21,45.79,36.09,,25.26,,64.55,35.09,99.65,,-363.99,-1230.66,14.34,7.29,14.34,7.29,15.31,19.54,12.94,16.95,9.81,13.33,2019q3
284938,601577.XSHG,2019-12-31,2020-03-30,2019-12-31,0.2725,939229000.0,387121000.0,791442000.0,2.51,2.53,0.17,22.15,,74.1,25.9,22.15,,36.85,,33.1,67.66,100.73,,-250.45,-2985.89,22.25,8.76,22.25,8.76,29.91,-38.47,30.39,-33.27,24.42,-36.84,2019q4
295058,601577.XSHG,2020-03-31,2020-04-30,2020-03-31,0.4481,1535679000.0,1925121000.0,1061487000.0,3.69,3.7,0.26,32.92,,59.49,40.51,32.92,,27.46,,44.96,55.25,100.16,,-254.96,-629.42,13.08,2.97,13.08,2.97,11.94,61.02,12.14,53.05,12.01,64.43,2020q1
328128,601577.XSHG,2020-06-30,2020-08-28,2020-06-30,0.3914,1343322000.0,1698739000.0,382217000.0,3.16,3.17,0.22,34.27,,58.32,41.68,34.27,,26.53,,78.28,22.73,100.32,,654.96,1571.35,3.04,-14.24,3.04,-14.24,4.5,-11.76,6.63,-10.73,2.79,-12.67,2020q2
