id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,requested_period
253858,002966.XSHE,2019-06-30,2019-08-23,2019-06-30,0.2418,719060000.0,407398811.0,558988473.0,3.05,3.02,0.23,32.64,,58.36,41.64,32.64,,29.67,,41.42,56.83,99.13,,-370.54,-2153.74,22.82,-4.27,22.82,-4.27,30.13,7.65,15.27,4.8,11.95,2.96,2019q2
265828,002966.XSHE,2019-09-30,2019-10-31,2019-09-30,0.1883,623354000.0,288301362.0,539040505.0,2.44,2.42,0.19,28.99,,63.01,36.99,28.99,,28.79,,34.25,64.04,99.31,,137.98,1090.68,15.7,-3.76,15.7,-3.76,14.91,-14.5,9.3,-14.5,8.63,-13.46,2019q3
286191,002966.XSHE,2019-12-31,2020-03-31,2019-12-31,0.1246,404846000.0,76584193.0,445578183.0,1.51,1.47,0.13,19.08,,76.34,23.66,19.08,,39.63,,13.95,81.16,97.44,,-409.24,-12311.53,12.24,1.1,12.24,1.1,19.67,-35.35,14.95,-33.47,12.45,-33.81,2019q4
293143,002966.XSHE,2020-03-31,2020-04-29,2020-03-31,0.2326,781248439.0,1017616856.0,503790632.0,2.77,2.79,0.23,31.07,,61.63,38.37,31.07,,25.51,,50.9,49.91,100.76,,-353.19,-920.48,7.22,15.11,7.22,15.11,11.11,86.72,11.76,87.45,10.06,86.63,2020q1
329555,002966.XSHE,2020-06-30,2020-08-31,2020-06-30,0.2169,725737348.0,909271570.0,606626228.0,2.55,2.56,0.2,27.42,,67.14,32.86,27.42,,26.38,,33.52,67.18,100.36,,553.82,1685.62,16.87,4.35,16.87,4.35,-7.78,-10.65,-1.82,-7.93,-0.31,-6.74,2020q2
338888,002966.XSHE,2020-09-30,2020-10-30,2020-09-30,0.1811,579748585.0,812859849.0,278732226.0,2.09,2.01,0.17,26.37,,67.45,32.55,26.37,,30.51,,65.69,34.28,96.04,,125.86,386.66,9.58,-9.77,9.58,-9.77,-3.58,-10.6,-0.33,-13.2,-3.83,-16.52,2020q3
375124,002966.XSHE,2020-12-31,2021-04-27,2020-12-31,0.1409,454100541.0,586748939.0,321857519.0,1.6,1.54,0.12,19.78,,76.02,23.98,19.78,,34.96,,45.51,55.3,96.66,,409.94,1709.75,6.22,-2.0,6.22,-2.0,7.66,-27.82,10.09,-26.51,13.08,-22.17,2020q4
375004,002966.XSHE,2021-03-31,2021-04-27,2021-03-31,0.2669,875924603.0,1119193630.0,386181181.0,2.95,2.9,0.23,33.34,,60.83,39.17,33.34,,26.8,,65.64,34.58,98.46,,579.04,1478.41,7.75,16.77,7.75,16.77,9.98,90.74,15.62,96.86,14.74,89.37,2021q1
404395,002966.XSHE,2021-06-30,2021-08-30,2021-06-30,0.2552,823196053.0,999010559.0,493106107.0,2.75,2.67,0.2,33.47,,62.35,37.65,33.47,,30.11,,50.74,49.46,96.77,,-907.36,-2410.03,-4.12,-7.14,-4.12,-7.14,9.87,-10.74,17.06,-6.79,17.64,-4.38,2021q2
416429,002966.XSHE,2021-09-30,2021-10-30,2021-09-30,0.2165,710228000.0,430573120.0,468071430.0,2.29,2.25,0.18,29.96,,64.16,35.84,29.96,,31.94,,46.72,50.78,98.4,,32.8,196.8,3.46,-2.63,3.46,-2.63,13.93,-7.3,17.53,-12.85,19.57,-15.15,2021q3
