id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,deposit_in_ib,cash_equivalents,deposit_client,cash_in_cb,settlement_provi,settlement_provi_client,metal,lend_capital,fairvalue_fianancial_asset,other_grow_asset,bought_sellback_assets,interest_receivable,insurance_receivables,recover_receivable,separate_receivable,not_time_fund,not_decide_fund,response_fund,health_fund,margin_loan,deposit_period,loan_and_advance,margin_out,agent_asset,investment_reveiable,advance_payment,hold_for_sale_assets,hold_to_maturity_investments,longterm_equity_invest,finance_out,capital_margin_out,investment_property,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_cash_flow,invest_withdrawal_cash,invest_proceeds,other_cash_from_invest_act,gain_from_disposal,subtotal_invest_cash_inflow,inventories,fixed_assets,constru_in_process,intangible_assets,trade_fee,long_deferred_expense,fixed_assets_liquidation,independent_account_asset,deferred_tax_assets,other_asset,total_assets,borrowing_from_centralbank,deposit_in_ib_and_other,shortterm_loan,loan_pledge,borrowing_capital,fairvalue_financial_liability,derivative_financial_liability,sold_buyback_secu_proceeds,deposit_absorb,proxy_secu_proceeds,proxy_sell_proceeds,notes_payable,advance_peceipts,insurance_receive_early,commission_payable,insurance_payable,salaries_payable,taxs_payable,interest_payable,proxy_liability,estimate_liability,compensation_payable,interest_insurance_payable,investment_money,not_time_reserve,not_decide_reserve,live_reserve,longterm_reserve,longterm_loan,bonds_payable,independent_account,deferred_tax_liability,other_liability,total_liability,paidin_capital,capital_reserve_fund,treasury_stock,surplus_reserve_fund,equities_parent_company_owners,retained_profit,minority_interests,currency_mis,total_owner_equities,total_liability_equity,perferred_share_liability,account_receivable,other_equity_tools,perferred_share_equity,pep_debt_equity,other_comprehensive_income,good_will,shortterm_loan_payable,accounts_payable,ordinary_risk_reserve_fund,contract_assets,hold_sale_asset,bond_invest,other_bond_invest,other_equity_tools_invest,contract_liability,usufruct_assets,liease_liability
6593,300027389,苏州银行股份有限公司,002966.XSHE,002966,,,2019-10-31,2019-01-01,2019-09-30,2019-09-30,0,321003,定期报告,2611543386.0,,,25264802269.0,,,1313675.0,9759233334.0,48843822680.0,,1317017870.0,,,,,,,,,,,146491685284.0,,,,,,,1650381381.0,,,7301.0,,,,,,,,,,,2775386655.0,50878599.0,371821060.0,,38896994.0,,,1318944556.0,795371862.0,328278068906.0,2299494725.0,12992745826.0,,,5431464844.0,514357377.0,,16769719140.0,212896461665.0,,,,,,,,577253806.0,553215850.0,,,457913535.0,,,,,,,,,47902357055.0,,,1045250239.0,301440234062.0,3333333334.0,10813610902.0,,2337765669.0,26837834844.0,6723299073.0,,,26837834844.0,328278068906.0,,,,,,140361453.0,,,,3489464413.0,,,63817826723.0,23121164281.0,47970996.0,,,
6838,300027389,苏州银行股份有限公司,002966.XSHE,002966,,,2020-03-31,2019-01-01,2019-12-31,2019-12-31,0,321003,定期报告,2589562507.0,,,21948475086.0,,,1285776.0,10997542009.0,37965192928.0,,9742557843.0,,,,,,,,,,,150892267538.0,,,,,,,1696098235.0,,,6818.0,,,,,,,,,,,2753350396.0,57984925.0,397025384.0,,43891730.0,,,1428699765.0,744140460.0,321282973028.0,2462401813.0,9442924552.0,,,3006604459.0,372078703.0,,23229177674.0,215766664510.0,,,,,,,,729193250.0,643908875.0,,,434002181.0,,,,,,,,,37294744854.0,,,671786270.0,294053487141.0,3333333334.0,10806209221.0,,2504432336.0,27229485887.0,6936763208.0,,,27229485887.0,321282973028.0,,,,,,159283375.0,,,,3489464413.0,,,65395487081.0,14575005422.0,54399125.0,,,
6980,300027389,苏州银行股份有限公司,002966.XSHE,002966,,,2020-04-29,2020-01-01,2020-03-31,2020-03-31,0,321003,定期报告,3912915337.0,,,23179448581.0,,,1220975.0,12245164806.0,59218142981.0,,4717414226.0,,,,,,,,,,,159391040480.0,,,,,,,1723886017.0,,,6591.0,,,,,,,,,,,2701429736.0,73315807.0,390078950.0,,38814431.0,,,1512731969.0,480939774.0,359056490319.0,4440299269.0,10850679716.0,,,4226201848.0,243073687.0,,16829758405.0,237237601040.0,,,,,,,,485986249.0,933935763.0,,,458359691.0,,,,,,,,,54503089389.0,,,1319070205.0,331528055262.0,3333333334.0,10806209221.0,,2504432336.0,27528435057.0,6717186290.0,,,27528435057.0,359056490319.0,,,,,,367809463.0,,,,3799464413.0,,,70155852012.0,19259688521.0,54399125.0,,,
7371,300027389,苏州银行股份有限公司,002966.XSHE,002966,,,2020-08-31,2020-01-01,2020-06-30,2020-06-30,0,321003,定期报告,3430372399.0,,,21961049746.0,,,1220560.0,15941975849.0,47315714288.0,,2462616040.0,,,,,,,,,,,168657687562.0,,,,,,,2009573452.0,,,6591.0,,,,,,,,,,,2642510590.0,82018006.0,404376910.0,,,,,1809860531.0,221073737.0,357592938365.0,10076593858.0,4966337554.0,,,5884501739.0,201684979.0,,11768972338.0,247010494476.0,,,,,,,,587622651.0,648641272.0,,,448523169.0,,,,,,,,,47280381902.0,,,708016476.0,329581770414.0,3333333334.0,10806209221.0,,2504432336.0,28011167951.0,7390182795.0,,,28011167951.0,357592938365.0,,,,,,177545852.0,,,,3799464413.0,,,70937933708.0,19658011996.0,56936400.0,,,
7487,300027389,苏州银行股份有限公司,002966.XSHE,002966,,,2020-10-30,2020-01-01,2020-09-30,2020-09-30,0,321003,定期报告,3642146999.0,,,21244009651.0,,,1202689.0,15966946820.0,37634615392.0,,147606676.0,,,,,,,,,,,171848432774.0,,,,,,,2009224919.0,,,6591.0,,,,,,,,,,,2598435472.0,121782171.0,413387088.0,,30351100.0,,,1959727064.0,419366497.0,362448586898.0,12761784841.0,10221656375.0,,,4483022432.0,370147898.0,,18778740045.0,244451070546.0,,,,,,,,737584094.0,735298541.0,,,425314104.0,,,,,,,,,40495004208.0,,,551476903.0,334011099987.0,3333333334.0,10806209221.0,,2504432336.0,28437486911.0,7927960061.0,,,28437486911.0,362448586898.0,,,,,,66087546.0,,,,3799464413.0,,,86422774637.0,17988570358.0,,,,
13866,300027389,苏州银行股份有限公司,002966.XSHE,002966,,,2021-04-27,2021-01-01,2021-03-31,2021-03-31,0,321003,定期报告,3202251088.0,,,24107292289.0,,,370140.0,11298017724.0,44073571454.0,483338234.0,7957235047.0,,,,,,,,,,,184310712729.0,,,,,,,2054749077.0,,,6591.0,,,,,,,,,,,2549226476.0,157122184.0,453370230.0,,38233737.0,,,2230146711.0,205644807.0,403590154834.0,18252043753.0,9511041688.0,,,13056060092.0,,409357884.0,21514675003.0,264315410210.0,,,,,,,,510964624.0,1137442400.0,,,460330848.0,,,,,,,,,43710146785.0,,,576480308.0,373724305469.0,3333333334.0,10820729494.0,,2504432336.0,29865849365.0,9220660453.0,,,29865849365.0,403590154834.0,,,,,,187229335.0,,,,3799464413.0,,,97278096492.0,22894507084.0,,,296262740.0,270351874.0
13871,300027389,苏州银行股份有限公司,002966.XSHE,002966,,,2021-04-27,2020-01-01,2020-12-31,2020-12-31,0,321003,定期报告,2276207848.0,,,20810904353.0,,,1200573.0,9102771144.0,37757685226.0,628318154.0,2230516608.0,,,,,,,,,,,175749460614.0,,,,,,,2027692474.0,,,6591.0,,,,,,,,,,,2591760259.0,131159474.0,464879973.0,,45505423.0,,,2077881177.0,115837776.0,361418489123.0,22037754663.0,5892404826.0,,,10885146018.0,,642377024.0,14297908094.0,243751852959.0,,,,,,,,862316424.0,918504888.0,,,473194516.0,,,,,,,,,31944302093.0,,,720236973.0,332425998478.0,3333333334.0,10820729494.0,,2504432336.0,28992490645.0,8372450387.0,,,28992490645.0,361418489123.0,,,,,,162080681.0,,,,3799464413.0,,,91212808657.0,14193892799.0,,,,
14286,300027389,苏州银行股份有限公司,002966.XSHE,002966,,,2021-08-30,2021-01-01,2021-06-30,2021-06-30,0,321003,定期报告,4462432807.0,,,22092385182.0,,,367171.0,14316448323.0,52598627607.0,408705410.0,1395112914.0,,,,,,,,,,,191085005102.0,,,,,,,2058738902.0,,,6591.0,,,,,,,,,,,2507328822.0,180260746.0,453669792.0,,31538128.0,,,2365583070.0,405495511.0,411094564508.0,19641195992.0,6549447686.0,,,11269239922.0,,403966705.0,18980579519.0,261512018702.0,,,,,,,,661193744.0,495669425.0,,,456365422.0,,,,,,,,,60194752220.0,,,370803815.0,380791397772.0,3333333334.0,10820729494.0,,2504432336.0,30303166736.0,8750498422.0,,,30303166736.0,411094564508.0,,,366988495.0,,,254720242.0,,,,4272464413.0,,,95985638010.0,20471739533.0,,,275480887.0,256164620.0
14443,300027389,苏州银行股份有限公司,002966.XSHE,002966,,,2022-03-29,2021-01-01,2021-12-31,2021-12-31,0,321003,定期报告,5456320598.0,,,19062508402.0,,,357832.0,19854197692.0,46536665583.0,339284497.0,941485915.0,,,,,,,,,,,197671865883.0,,,,,,,2090978097.0,,,6591.0,,,,,,,,,,,2572545256.0,205997159.0,502256911.0,,74057942.0,,,2381200736.0,130299226.0,420485661626.0,24942193914.0,7593131613.0,,,7520686528.0,,313749260.0,8114235357.0,271378494058.0,,,,,,,,867873988.0,689554931.0,,,480229464.0,,,,,,,,,66113313650.0,,,478102364.0,388780136826.0,3333375334.0,10821026901.0,,2504453336.0,31705524800.0,9124370363.0,,,31705524800.0,420485661626.0,,,366963444.0,,,403871009.0,,,,5151464413.0,,,95830853029.0,26523088922.0,,,311691355.0,288571699.0
14861,300027389,苏州银行股份有限公司,002966.XSHE,002966,,,2022-08-23,2022-01-01,2022-06-30,2022-06-30,0,321003,定期报告,3894350280.0,,,19379150839.0,,,274045.0,30131405977.0,57177295053.0,267324983.0,99755004.0,,,,,,,,,,,221166155639.0,,,,,,,2426501314.0,,,6591.0,,,,,,,,,,,2495656880.0,290795566.0,492764518.0,,64104378.0,,,2668864414.0,1205173806.0,471739381247.0,22935327399.0,9782099593.0,,,11361095876.0,,504516848.0,16446794521.0,304062993289.0,,,,,,,,709468213.0,574540303.0,,,595738964.0,,,,,,,,,67952191112.0,,,551946210.0,435760383620.0,3666726065.0,10487773262.0,,2504453336.0,35978997627.0,10291866381.0,,,35978997627.0,471739381247.0,,,3365857260.0,,2998900943.0,510856910.0,,,,5151464413.0,,,95239045565.0,34436314950.0,,,304441445.0,283671292.0
