rebalance_date,code,y_quarter_avg_daily_return_close,y_year_avg_daily_return_close,combo__equal_weight,combo__ic_weight,combo__quarterly_plus_annual,adj__indicator__roe,adj__indicator__inc_net_profit_to_shareholders_annual,adj__derived__log_total_assets,adj__bank_indicator__cost_to_income_ratio,adj__bank_indicator__deposit_loan_ratio,adj__bank_indicator__capital_adequacy_ratio,adj__derived__investment_income_to_operating_revenue
2014-05-05,600000.XSHG,0.0006259282,0.0030109697,-0.1358378056207417,0.02366345698011163,-0.13120214937578634,1.3020259495344852,-0.46235185080626834,-0.4190677116825722,0.8360532706058925,-0.0420613638907968,-1.2821254321852404,-0.883337500920692
2014-05-05,600015.XSHG,0.0007844566,0.0032062352,-0.7718536393398996,-0.5244360569686437,-0.7109652486880373,0.32441086434825006,-0.8055291735736465,-1.191221477590431,-2.047303712935425,0.24066935004532566,-1.5678550882054638,-0.35614623746790597
2014-05-05,600016.XSHG,-0.0001640026,0.0024651978,0.012366904667802452,0.09980901141885817,0.16563346097074277,2.4850565853580657,0.8910913449499879,-0.5503890324663732,-1.0696611826993532,-0.07660723890549946,-1.4821361913993973,-0.11078595216281345
2014-05-05,600036.XSHG,0.001597566,0.0030456304,-0.1293847021457339,-0.11294041023228707,0.011929706684716046,1.7210038431857293,0.3082919617239843,-0.2549100078496401,-1.5130427245810647,-0.17206294618296822,-1.1606903283766457,0.16571728706046787
2014-05-05,601166.XSHG,0.0010823557,0.0031654913,0.44941126613552446,0.7324503902202033,0.5168732050039286,2.4850565853580657,1.5949058893623829,-0.4050283008502573,0.5937080800121612,0.9634054194318771,-1.382130811792319,-0.7040379985732399
2014-05-05,601288.XSHG,0.0010987309,0.0025894146,0.45666355573787554,0.6791616469246767,0.6308515231089682,2.4850565853580657,2.312266907041911,0.9973879111960443,-2.047303712935425,1.0343153734094255,-0.646376947540245,-0.938701226364649
2014-05-05,601328.XSHG,0.002402412,0.003163802,-0.07221867460964669,-0.0076068451188114755,-0.04442240149059164,0.44079361258470623,0.7745916748526411,0.05214820074298909,-0.13332749176903078,-0.07751634087957106,-0.4892256367291219,-1.0729947410701395
2014-05-05,601398.XSHG,0.0012096787,0.0023826105,0.5744308445043232,0.7108742081767608,0.6146094162206243,1.8606631410694772,0.4976415547245815,1.2516129394689717,0.23019029412156522,0.5406730014888007,0.25367146892345743,-0.6134364882665904
2014-05-05,601818.XSHG,0.0019726217,0.0039757499,-0.1340076635229065,-0.046631521629757144,-0.023770767175870594,1.383493873300005,1.5015857401887973,-0.7928778403013093,-0.7474522361145063,-0.003879080979809041,-1.5678550882054638,-0.7110690125480592
2014-05-05,601939.XSHG,0.0011478376,0.0028865347,0.7199227822665026,0.7741346886798959,0.8210518998553556,2.326194134015303,1.8212825092931446,1.0497166219239809,-0.21594517038052904,0.206123475030623,0.4108227797345806,-0.5587348737515845
2014-05-05,601998.XSHG,-0.0001751155,0.0027537916,-0.14190515682818078,-0.13735166117109449,-0.062196407662995196,0.7550270328231395,0.5102849297739059,-0.35634243234528273,-0.7006355515679907,-0.02206112046123197,-1.0892579143715901,-0.09035104164821532
2014-09-01,600000.XSHG,0.0015883744,0.0025618261,0.01203834918796479,0.15808857153718664,0.04218264213742203,1.767556942480312,-0.008093447248396803,-0.3693685913763571,0.8360532706058925,-0.0420613638907968,-1.2821254321852404,-0.8176929340696597
