local_code,report_year,snippet_source,matched_field_count,total_field_count,coverage_ratio,snippet_file
601398_XSHG,2025,windows_ocr_normalized,12,12,1.0,601398_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt
601528_XSHG,2024,direct_pdf_text,12,12,1.0,601528_XSHG_2024_annual_report_bank_indicator_snippets.txt
601528_XSHG,2025,direct_pdf_text,12,12,1.0,601528_XSHG_2025_annual_report_bank_indicator_snippets.txt
601577_XSHG,2025,direct_pdf_text,12,12,1.0,601577_XSHG_2025_annual_report_bank_indicator_snippets.txt
601658_XSHG,2024,direct_pdf_text,12,12,1.0,601658_XSHG_2024_annual_report_bank_indicator_snippets.txt
601658_XSHG,2025,direct_pdf_text,12,12,1.0,601658_XSHG_2025_annual_report_bank_indicator_snippets.txt
601665_XSHG,2024,direct_pdf_text,12,12,1.0,601665_XSHG_2024_annual_report_bank_indicator_snippets.txt
601665_XSHG,2025,direct_pdf_text,12,12,1.0,601665_XSHG_2025_annual_report_bank_indicator_snippets.txt
601818_XSHG,2024,direct_pdf_text,12,12,1.0,601818_XSHG_2024_annual_report_bank_indicator_snippets.txt
601818_XSHG,2025,direct_pdf_text,12,12,1.0,601818_XSHG_2025_annual_report_bank_indicator_snippets.txt
601825_XSHG,2024,direct_pdf_text,12,12,1.0,601825_XSHG_2024_annual_report_bank_indicator_snippets.txt
601825_XSHG,2025,direct_pdf_text,12,12,1.0,601825_XSHG_2025_annual_report_bank_indicator_snippets.txt
601838_XSHG,2024,direct_pdf_text,12,12,1.0,601838_XSHG_2024_annual_report_bank_indicator_snippets.txt
601838_XSHG,2025,direct_pdf_text,12,12,1.0,601838_XSHG_2025_annual_report_bank_indicator_snippets.txt
601860_XSHG,2024,direct_pdf_text,12,12,1.0,601860_XSHG_2024_annual_report_bank_indicator_snippets.txt
601860_XSHG,2025,direct_pdf_text,12,12,1.0,601860_XSHG_2025_annual_report_bank_indicator_snippets.txt
601916_XSHG,2024,direct_pdf_text,12,12,1.0,601916_XSHG_2024_annual_report_bank_indicator_snippets.txt
601916_XSHG,2025,direct_pdf_text,3,12,0.25,601916_XSHG_2025_annual_report_bank_indicator_snippets.txt
601939_XSHG,2024,direct_pdf_text,12,12,1.0,601939_XSHG_2024_annual_report_bank_indicator_snippets.txt
601939_XSHG,2025,direct_pdf_text,2,12,0.1667,601939_XSHG_2025_annual_report_bank_indicator_snippets.txt
601963_XSHG,2024,windows_ocr_normalized,12,12,1.0,601963_XSHG_2024_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt
601963_XSHG,2025,windows_ocr_normalized,12,12,1.0,601963_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt
601988_XSHG,2024,direct_pdf_text,3,12,0.25,601988_XSHG_2024_annual_report_bank_indicator_snippets.txt
601988_XSHG,2025,direct_pdf_text,12,12,1.0,601988_XSHG_2025_annual_report_bank_indicator_snippets.txt
601997_XSHG,2024,direct_pdf_text,12,12,1.0,601997_XSHG_2024_annual_report_bank_indicator_snippets.txt
601997_XSHG,2025,direct_pdf_text,12,12,1.0,601997_XSHG_2025_annual_report_bank_indicator_snippets.txt
601998_XSHG,2024,direct_pdf_text,12,12,1.0,601998_XSHG_2024_annual_report_bank_indicator_snippets.txt
601998_XSHG,2025,direct_pdf_text,12,12,1.0,601998_XSHG_2025_annual_report_bank_indicator_snippets.txt
603323_XSHG,2024,direct_pdf_text,12,12,1.0,603323_XSHG_2024_annual_report_bank_indicator_snippets.txt
603323_XSHG,2025,direct_pdf_text,12,12,1.0,603323_XSHG_2025_annual_report_bank_indicator_snippets.txt
