scenario_name,best_combo_name,validation_rank_ic_mean,validation_rank_ic_ir,validation_top_minus_bottom,train_rank_ic_mean,train_rank_ic_ir,train_top_minus_bottom,added_factors,improvement_factor_count,delta_validation_rank_ic_mean,delta_validation_top_minus_bottom
baseline_core_v2,combo__quarterly_plus_annual,0.229192,1.180207,0.00089657,0.190393,0.552026,0.0009931,,0,0.0,0.0
baseline_plus__improve__annual_delta__bank_indicator__capital_adequacy_ratio,combo__ic_weight,0.30594,3.254834,0.00116028,0.173197,0.508194,0.00046895,improve__annual_delta__bank_indicator__capital_adequacy_ratio,1,0.076748,0.00026371
baseline_plus__improve__snapshot_delta__derived__investment_income_to_operating_revenue,combo__ic_weight,0.267662,2.400427,0.00089976,0.268581,0.769553,0.000609,improve__snapshot_delta__derived__investment_income_to_operating_revenue,1,0.03847,3.19e-06
baseline_plus__top2_together,combo__ic_weight,0.308259,6.625782,0.0009682,0.238568,0.846883,0.0006194,improve__annual_delta__bank_indicator__capital_adequacy_ratio|improve__snapshot_delta__derived__investment_income_to_operating_revenue,2,0.079067,7.163e-05
