pool_rank,factor_name,factor_family,target_label,direction,validation_rank_ic_mean,validation_positive_ic_ratio,validation_top_minus_bottom,final_status,pool_role
1,improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,y_year_avg_daily_return_close,smaller_better,0.315421,1.0,0.00051854,A,controlled_improvement_candidate
2,improve__snapshot_delta__derived__investment_income_to_operating_revenue,improvement_derived,y_quarter_avg_daily_return_close,smaller_better,0.218749,0.666667,0.00068503,A,controlled_improvement_candidate
3,improve__annual_delta__bank_indicator__capital_adequacy_ratio,improvement_bank_indicator,y_year_avg_daily_return_close,smaller_better,0.18855,1.0,0.00018613,A,controlled_improvement_candidate
4,improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improvement_derived,y_quarter_avg_daily_return_close,smaller_better,0.101684,0.666667,0.00018378,A,controlled_improvement_candidate
5,improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,y_quarter_avg_daily_return_close,smaller_better,0.121612,0.833333,0.00046835,A,controlled_improvement_candidate
6,improve__snapshot_delta__indicator__eps,improvement_indicator,y_quarter_avg_daily_return_close,smaller_better,0.112935,0.833333,0.00035552,B,controlled_improvement_candidate
