code,bank_name,source_type,source_file,field_name_english,field_name_chinese,report_year,report_date,notice_date,value_scope,standard_threshold,mapping_target,source_page,raw_snippet_reference,raw_snippet_text,extraction_method,review_status,review_note,confidence,note
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,capital_adequacy_ratio,资本充足率,2024,2024-12-31,2025-03-15,Group,>=10.75,capital_adequacy_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0004,[资本充足率] 项 目 标准值 2024 年12 月31 日 2023 年12 月31 日 2022 年12 月31 日 流动性比例（本外币） ≥25 68.91 68.01 55.19 流动性比例（人民币） ≥25 68.36 67.17 54.16 流动性比例（外币） ≥25 81.87 89.76 79.51 流动性匹配率 ≥100 138.74 144.66 140.39 资本充足率 ≥10.75（注2） 13.11 13.43 13.01 一级资本充足率 ≥8.75（注2） 10.69 10.90 10.40 核心一级资本充足率 ≥7.75（注2） 9.12 9.22 8.64 单一最大客户贷款占资本净额比率 ≤10 1.56 2.58 2.74 最大十家客户贷款占资本净额比率 不适用 11.40 12.77 13.93 累计外汇敞口头寸占资本净额比率 ≤20 4.97 4.42 2.28 正常类贷款迁徙率 不适用 2.89 2.76 2.70 关注类贷款迁徙率 不适用 45.49 41.23 45.54 次级类贷款迁徙率 不适用 74.50 80.18 73.89 可疑类贷款迁徙率 不适用 76.09 85.89 77.08 不良贷款率 ≤5 1.06 1.06 1.05 第二章 会计数据和财务指标 19 平安银行股份有限公司 2024 年年度报告 拨备覆盖率 ≥130（注3） 250.71 277.63 290.28 拨贷比 ≥1.8（注3） 2.66 2.94 3.04 注：（1）以上监管指标根据监管相关规定计算，除资本充足率指标为本集团口径外，其他指标均为本行口径。 （2）根据《系统重要性银行附加监管规定（试行）》以及2023 年我国系统重要性银行名单，本行位列名单内第 一组，执行附加资本0.25%等要求。 （3）根据《关于调整商业银行贷款,direct_pdf_text,unreviewed,Best alias-based snippet match selected for this field/report.,medium,Candidate queue row; numeric value not yet finalized.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,tier_1_capital_adequacy_ratio,一级资本充足率,2024,2024-12-31,2025-03-15,Group,>=8.75,tier_1_capital_adequacy_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0034,[一级资本充足率] 平均生息资产余额。 2.4 补充监管指标 2.4.1 主要监管指标 （单位：%） 项 目 标准值 2024 年12 月31 日 2023 年12 月31 日 2022 年12 月31 日 流动性比例（本外币） ≥25 68.91 68.01 55.19 流动性比例（人民币） ≥25 68.36 67.17 54.16 流动性比例（外币） ≥25 81.87 89.76 79.51 流动性匹配率 ≥100 138.74 144.66 140.39 资本充足率 ≥10.75（注2） 13.11 13.43 13.01 一级资本充足率 ≥8.75（注2） 10.69 10.90 10.40 核心一级资本充足率 ≥7.75（注2） 9.12 9.22 8.64 单一最大客户贷款占资本净额比率 ≤10 1.56 2.58 2.74 最大十家客户贷款占资本净额比率 不适用 11.40 12.77 13.93 累计外汇敞口头寸占资本净额比率 ≤20 4.97 4.42 2.28 正常类贷款迁徙率 不适用 2.89 2.76 2.70 关注类贷款迁徙率 不适用 45.49 41.23 45.54 次级类贷款迁徙率 不适用 74.50 80.18 73.89 可疑类贷款迁徙率 不适用 76.09 85.89 77.08 不良贷款率 ≤5 1.06 1.06 1.05 第二章 会计数据和财务指标 19 平安银行股份有限公司 2024 年年度报告 拨备覆盖率 ≥130（注3） 250.71 277.63 290.28 拨贷比 ≥1.8（注3） 2.66 2.94 3.04 注：（1）以上监管指标根据监管相关规定计算，除资本充足率指标为本集团口径外，其他指标均为本行口径。 （2）根据《系统重要性银行附加监管规定（试行）》以及2023 年我国系统重要性银行名单，本行位列名单,direct_pdf_text,unreviewed,Best alias-based snippet match selected for this field/report.,medium,Candidate queue row; numeric value not yet finalized.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,core_tier_1_capital_adequacy_ratio,核心一级资本充足率,2024,2024-12-31,2025-03-15,Group,>=7.75,core_tier_1_capital_adequacy_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0048,"[核心一级资本充足率] 百分点 净息差 1.87% 2.38% -0.51 个百分点 非利息净收入占比 36.31% 28.36% +7.95 个百分点 2024 年12 月31 日 2023 年12 月31 日 本年末比上年末增减 吸收存款本金 3,533,678 3,407,295 3.7% 发放贷款和垫款本金总额 3,374,103 3,407,509 (1.0%) 不良贷款率 1.06% 1.06% - 拨备覆盖率 250.71% 277.63% -26.92 个百分点 逾期60 天以上贷款偏离度 0.80 0.74 +0.06 核心一级资本充足率 9.12% 9.22% -0.10 个百分点 2.2 主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 □是 √否 （货币单位：人民币百万元） 项 目 2024 年 12 月31 日 2023 年 12 月31 日 2022 年 12 月31 日 本年末比上年末 增减 资产总额 5,769,270 5,587,116 5,321,514 3.3% 股东权益 494,842 472,328 434,680 4.8% 归属于本行普通股股东的股东权益 424,894 402,384 364,736 5.6% 股本 19,406 19,406 19,406 - 归属于本行普通股股东的每股净资产（元/股） 21.89 20.74 18.80 5.6% 项 目 2024 年 2023 年 2022 年 本年同比增减 营业收入 146,695 164,699 179,895 (10.9%) 信用及其他资产减值损失前营业利润 104,634 117,022 128,781 (10.6%) 信用及其他资产减值损失 49,428 59,094 71,306 (16.4%) 营业利润 55,206 57,928 57,475 (",direct_pdf_text,unreviewed,Best alias-based snippet match selected for this field/report.,medium,Candidate queue row; numeric value not yet finalized.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,non_performing_loan_ratio,不良贷款率,2024,2024-12-31,2025-03-15,Bank,<=5,non_performing_loan_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0063,"[不良贷款率] 531 0.40% 10,763 0.32% 25.7% 损失 6,500 0.19% 6,140 0.18% 5.9% 发放贷款和垫款本金总额 3,374,103 100.00% 3,407,509 100.00% (1.0%) 发放贷款和垫款减值准备 (89,600) (100,045) (10.4%) 其中：以摊余成本计量的发放贷 款和垫款减值准备 (88,643) (97,353) (8.9%) 以公允价值计量且其变动 计入其他综合收益的发 放贷款和垫款减值准备 (957) (2,692) (64.5%) 不良贷款率 1.06% 1.06% - 逾期90 天以上贷款偏离度（注1） 0.63 0.59 +0.04 逾期60 天以上贷款偏离度（注2） 0.80 0.74 +0.06 拨备覆盖率 250.71% 277.63% -26.92 个百分点 逾期90 天以上贷款拨备覆盖率 397.09% 469.25% -72.16 个百分点 逾期60 天以上贷款拨备覆盖率 315.02% 374.10% -59.08 个百分点 拨贷比 2.66% 2.94% -0.28 个百分点 注：（1）逾期90 天以上贷款偏离度=逾期90 天以上贷款余额/不良贷款余额。 （2）逾期60 天以上贷款偏离度=逾期60 天以上贷款余额/不良贷款余额。 本行积极落实《商业银行金融资产风险分类办法》，持续加强金融资产风险分类管理，严格认定 资产风险分类，真实反映资产质量。2024 年末，不良贷款率1.06%，与上年末持平；关注贷款占比 1.93%，较上年末上升0.18 个百分点，主要受房地产行业影响，部分涉房业务风险增加所致，此类业 务均有抵押担保，整体风险可控；逾期60 天以上贷款偏离度及逾期90 天以上贷款偏离度分别为0.80 和0.63。 （2）发放贷款和垫款按",direct_pdf_text,unreviewed,Best alias-based snippet match selected for this field/report.,medium,Candidate queue row; numeric value not yet finalized.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,provision_coverage_ratio,拨备覆盖率,2024,2024-12-31,2025-03-15,Bank,>=130,provision_coverage_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0069,"[拨备覆盖率] 0% 3,407,509 100.00% (1.0%) 发放贷款和垫款减值准备 (89,600) (100,045) (10.4%) 其中：以摊余成本计量的发放贷 款和垫款减值准备 (88,643) (97,353) (8.9%) 以公允价值计量且其变动 计入其他综合收益的发 放贷款和垫款减值准备 (957) (2,692) (64.5%) 不良贷款率 1.06% 1.06% - 逾期90 天以上贷款偏离度（注1） 0.63 0.59 +0.04 逾期60 天以上贷款偏离度（注2） 0.80 0.74 +0.06 拨备覆盖率 250.71% 277.63% -26.92 个百分点 逾期90 天以上贷款拨备覆盖率 397.09% 469.25% -72.16 个百分点 逾期60 天以上贷款拨备覆盖率 315.02% 374.10% -59.08 个百分点 拨贷比 2.66% 2.94% -0.28 个百分点 注：（1）逾期90 天以上贷款偏离度=逾期90 天以上贷款余额/不良贷款余额。 （2）逾期60 天以上贷款偏离度=逾期60 天以上贷款余额/不良贷款余额。 本行积极落实《商业银行金融资产风险分类办法》，持续加强金融资产风险分类管理，严格认定 资产风险分类，真实反映资产质量。2024 年末，不良贷款率1.06%，与上年末持平；关注贷款占比 1.93%，较上年末上升0.18 个百分点，主要受房地产行业影响，部分涉房业务风险增加所致，此类业 务均有抵押担保，整体风险可控；逾期60 天以上贷款偏离度及逾期90 天以上贷款偏离度分别为0.80 和0.63。 （2）发放贷款和垫款按产品划分的结构分布及质量情况 （货币单位：人民币百万元） 项 目 2024 年12 月31 日 2023 年12 月31 日 不良率增减 余额 占比 不良率 余额 占比 不良率",direct_pdf_text,unreviewed,Best alias-based snippet match selected for this field/report.,medium,Candidate queue row; numeric value not yet finalized.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,provision_to_loan_ratio,拨贷比,2024,2024-12-31,2025-03-15,Bank,>=1.8,provision_to_loan_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0073,"[拨贷比] 3.93 累计外汇敞口头寸占资本净额比率 ≤20 4.97 4.42 2.28 正常类贷款迁徙率 不适用 2.89 2.76 2.70 关注类贷款迁徙率 不适用 45.49 41.23 45.54 次级类贷款迁徙率 不适用 74.50 80.18 73.89 可疑类贷款迁徙率 不适用 76.09 85.89 77.08 不良贷款率 ≤5 1.06 1.06 1.05 第二章 会计数据和财务指标 19 平安银行股份有限公司 2024 年年度报告 拨备覆盖率 ≥130（注3） 250.71 277.63 290.28 拨贷比 ≥1.8（注3） 2.66 2.94 3.04 注：（1）以上监管指标根据监管相关规定计算，除资本充足率指标为本集团口径外，其他指标均为本行口径。 （2）根据《系统重要性银行附加监管规定（试行）》以及2023 年我国系统重要性银行名单，本行位列名单内第 一组，执行附加资本0.25%等要求。 （3）根据《关于调整商业银行贷款损失准备监管要求的通知》（银监发〔2018〕7 号）规定，对各股份制银行实 行差异化动态调整的拨备监管政策。 2.4.2 资本充足率 （货币单位：人民币百万元） 项 目 2024 年12 月31 日 2023 年12 月31 日 本集团 本行 本集团 本行 核心一级资本净额 405,333 391,556 384,886 373,325 一级资本净额 475,237 461,399 454,830 443,269 资本净额 582,713 567,693 560,773 549,165 风险加权资产合计 4,445,117 4,421,385 4,174,044 4,163,832 信用风险加权资产 3,912,348 3,908,299 3,722,711 3,718,869 表内风险加权资产 3,13",direct_pdf_text,unreviewed,Best alias-based snippet match selected for this field/report.,medium,Candidate queue row; numeric value not yet finalized.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,liquidity_ratio,流动性比例（本外币）,2024,2024-12-31,2025-03-15,Bank,>=25,liquidity_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0076,[流动性比例] .01 -0.29 个百分点 存贷差 2.47 3.23 3.81 -0.76 个百分点 净利差 1.83 2.31 2.67 -0.48 个百分点 净息差 1.87 2.38 2.75 -0.51 个百分点 注：信贷成本=贷款减值损失/平均发放贷款和垫款余额；净利差=平均生息资产收益率-平均计息负债付息率；净息差 =利息净收入/平均生息资产余额。 2.4 补充监管指标 2.4.1 主要监管指标 （单位：%） 项 目 标准值 2024 年12 月31 日 2023 年12 月31 日 2022 年12 月31 日 流动性比例（本外币） ≥25 68.91 68.01 55.19 流动性比例（人民币） ≥25 68.36 67.17 54.16 流动性比例（外币） ≥25 81.87 89.76 79.51 流动性匹配率 ≥100 138.74 144.66 140.39 资本充足率 ≥10.75（注2） 13.11 13.43 13.01 一级资本充足率 ≥8.75（注2） 10.69 10.90 10.40 核心一级资本充足率 ≥7.75（注2） 9.12 9.22 8.64 单一最大客户贷款占资本净额比率 ≤10 1.56 2.58 2.74 最大十家客户贷款占资本净额比率 不适用 11.40 12.77 13.93 累计外汇敞口头寸占资本净额比率 ≤20 4.97 4.42 2.28 正常类贷款迁徙率 不适用 2.89 2.76 2.70 关注类贷款迁徙率 不适用 45.49 41.23 45.54 次级类贷款迁徙率 不适用 74.50 80.18 73.89 可疑类贷款迁徙率 不适用 76.09 85.89 77.08 不良贷款率 ≤5 1.06 1.06 1.05 第二章 会计数据和财务指标 19 平安银行股份有限公司 2024 年年,direct_pdf_text,unreviewed,Best alias-based snippet match selected for this field/report.,medium,Candidate queue row; numeric value not yet finalized.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,liquidity_matching_ratio,流动性匹配率,2024,2024-12-31,2025-03-15,Bank,>=100,liquidity_matching_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0079,[流动性匹配率] 1 个百分点 注：信贷成本=贷款减值损失/平均发放贷款和垫款余额；净利差=平均生息资产收益率-平均计息负债付息率；净息差 =利息净收入/平均生息资产余额。 2.4 补充监管指标 2.4.1 主要监管指标 （单位：%） 项 目 标准值 2024 年12 月31 日 2023 年12 月31 日 2022 年12 月31 日 流动性比例（本外币） ≥25 68.91 68.01 55.19 流动性比例（人民币） ≥25 68.36 67.17 54.16 流动性比例（外币） ≥25 81.87 89.76 79.51 流动性匹配率 ≥100 138.74 144.66 140.39 资本充足率 ≥10.75（注2） 13.11 13.43 13.01 一级资本充足率 ≥8.75（注2） 10.69 10.90 10.40 核心一级资本充足率 ≥7.75（注2） 9.12 9.22 8.64 单一最大客户贷款占资本净额比率 ≤10 1.56 2.58 2.74 最大十家客户贷款占资本净额比率 不适用 11.40 12.77 13.93 累计外汇敞口头寸占资本净额比率 ≤20 4.97 4.42 2.28 正常类贷款迁徙率 不适用 2.89 2.76 2.70 关注类贷款迁徙率 不适用 45.49 41.23 45.54 次级类贷款迁徙率 不适用 74.50 80.18 73.89 可疑类贷款迁徙率 不适用 76.09 85.89 77.08 不良贷款率 ≤5 1.06 1.06 1.05 第二章 会计数据和财务指标 19 平安银行股份有限公司 2024 年年度报告 拨备覆盖率 ≥130（注3） 250.71 277.63 290.28 拨贷比 ≥1.8（注3） 2.66 2.94 3.04 注：（1）以上监管指标根据监管相关规定计算，除资本充足率指标为,direct_pdf_text,unreviewed,Best alias-based snippet match selected for this field/report.,medium,Candidate queue row; numeric value not yet finalized.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,liquidity_coverage_ratio,流动性覆盖率,2024,2024-12-31,2025-03-15,Bank,>=100,liquidity_coverage_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0082,"[流动性覆盖率] 报告期末本集团杠杆率较2024 年9 月末下降。有关杠杆率的更详细信息，请 查阅本行网站（http://bank.pingan.com）。 2.4.4 流动性覆盖率 （货币单位：人民币百万元） 项 目 2024 年12 月31 日 2024 年9 月30 日 2023 年12 月31 日 流动性覆盖率 136.15% 112.65% 112.34% 合格优质流动性资产 661,716 616,902 604,708 净现金流出 486,021 547,646 538,304 注：以上数据为本集团口径，根据《商业银行流动性覆盖率信息披露办法》披露流动性覆盖率信息。 2.4.5 净稳定资金比例 （货币单位：人民币百万元） 注：以上数据为本集团口径，根据《商业银行净稳定资金比例信息披露办法》披露净稳定资金比例信息。 2.5 分部经营数据 2.5.1 盈利与规模 （货币单位：人民币百万元） 项 目 零售金融业务 批发金融业务 其他业务 合计 2024 年 2023 年 2024 年 2023 年 2024 年 2023 年 2024 年 2023 年 营 业 收 入 金额 71,255 96,161 63,841 53,581 11,599 14,957 146,695 164,699 占比% 48.6 58.4 43.5 32.5 7.9 9.1 100.0 100.0 营 业 支 出 金额 22,036 30,114 19,040 16,885 985 678 42,061 47,677 占比% 52.4 63.2 45.3 35.4 2.3 1.4 100.0 100.0 减值损失前营 业利润 金额 49,219 66,047 44,801 36,696 10,614 14,279 104,634 117,022 占比% 47.0 56.4 42.",direct_pdf_text,unreviewed,Best alias-based snippet match selected for this field/report.,medium,Candidate queue row; numeric value not yet finalized.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,2024,2024-12-31,2025-03-15,Bank,<=10,single_largest_customer_loan_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0085,[单一最大客户贷款占资本净额比率] 2 月31 日 2022 年12 月31 日 流动性比例（本外币） ≥25 68.91 68.01 55.19 流动性比例（人民币） ≥25 68.36 67.17 54.16 流动性比例（外币） ≥25 81.87 89.76 79.51 流动性匹配率 ≥100 138.74 144.66 140.39 资本充足率 ≥10.75（注2） 13.11 13.43 13.01 一级资本充足率 ≥8.75（注2） 10.69 10.90 10.40 核心一级资本充足率 ≥7.75（注2） 9.12 9.22 8.64 单一最大客户贷款占资本净额比率 ≤10 1.56 2.58 2.74 最大十家客户贷款占资本净额比率 不适用 11.40 12.77 13.93 累计外汇敞口头寸占资本净额比率 ≤20 4.97 4.42 2.28 正常类贷款迁徙率 不适用 2.89 2.76 2.70 关注类贷款迁徙率 不适用 45.49 41.23 45.54 次级类贷款迁徙率 不适用 74.50 80.18 73.89 可疑类贷款迁徙率 不适用 76.09 85.89 77.08 不良贷款率 ≤5 1.06 1.06 1.05 第二章 会计数据和财务指标 19 平安银行股份有限公司 2024 年年度报告 拨备覆盖率 ≥130（注3） 250.71 277.63 290.28 拨贷比 ≥1.8（注3） 2.66 2.94 3.04 注：（1）以上监管指标根据监管相关规定计算，除资本充足率指标为本集团口径外，其他指标均为本行口径。 （2）根据《系统重要性银行附加监管规定（试行）》以及2023 年我国系统重要性银行名单，本行位列名单内第 一组，执行附加资本0.25%等要求。 （3）根据《关于调整商业银行贷款损失准备监管要求的通知》（银监发〔2018〕7 号）规定，对各股份制银行实 行差异,direct_pdf_text,unreviewed,Best alias-based snippet match selected for this field/report.,medium,Candidate queue row; numeric value not yet finalized.
