code,bank_name,report_year,field_name_english,field_name_chinese,source_file,reason,detail,raw_snippet_reference,extraction_method
000001.XSHE,平安银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,000001_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0084,direct_pdf_text
000001.XSHE,平安银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,000001_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,000001_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0084,direct_pdf_text
001227.XSHE,兰州银行,2024,liquidity_matching_ratio,流动性匹配率,001227_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,001227_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0015,direct_pdf_text
001227.XSHE,兰州银行,2025,liquidity_matching_ratio,流动性匹配率,001227_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,001227_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0014,direct_pdf_text
002142.XSHE,宁波银行,2024,liquidity_matching_ratio,流动性匹配率,002142_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002142_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002142.XSHE,宁波银行,2024,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,002142_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002142_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002142.XSHE,宁波银行,2024,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,002142_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002142_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002142.XSHE,宁波银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,002142_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002142_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002142.XSHE,宁波银行,2025,liquidity_matching_ratio,流动性匹配率,002142_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002142_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0008,direct_pdf_text
002142.XSHE,宁波银行,2025,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,002142_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002142_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0008,direct_pdf_text
