rebalance_date,quarter_key,code,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,turnover_ratio
2016-10-31,2016q3,002142.XSHE,289555478.854000,29752472.250000,654.7754,579.6683,0.4092
2016-10-31,2016q3,600000.XSHG,239367062.550000,26120353.700000,3517.2941,3338.4118,0.0715
2016-10-31,2016q3,600016.XSHG,315365316.200000,64391283.550000,3356.6521,2718.7628,0.1646
2016-10-31,2016q3,600036.XSHG,260136407.800000,20873234.700000,4504.2644,3684.3295,0.0625
2016-10-31,2016q3,601009.XSHG,288177133.650000,61950062.400000,635.5597,604.6363,0.3932
2016-10-31,2016q3,601166.XSHG,444651817.250000,45087651.900000,3107.4361,3107.4361,0.1977
2016-10-31,2016q3,601288.XSHG,224340551.800000,120147705.900000,10263.4941,9292.1473,0.02
2016-10-31,2016q3,601328.XSHG,251596141.400000,76738102.300000,4173.5652,2205.8986,0.1269
2016-10-31,2016q3,601398.XSHG,273206234.050000,101319717.650000,15788.7972,11943.821,0.0251
2016-10-31,2016q3,601818.XSHG,214136997.000000,91522455.000000,1778.4735,1516.7747,0.084
2016-10-31,2016q3,601939.XSHG,267594849.350000,82790275.400000,13150.5774,504.6264,0.3607
2016-10-31,2016q3,601988.XSHG,306386012.850000,148823722.600000,9979.7461,7144.951,0.0416
2016-10-31,2016q3,601998.XSHG,138149998.600000,36796942.150000,2970.3422,1936.6435,0.0457
2017-08-31,2017q2,002142.XSHE,376807217.226500,30091789.350000,806.5944,715.7457,0.3376
2017-08-31,2017q2,002807.XSHE,305132038.081500,47197269.000000,216.3242,25.6361,9.5666
2017-08-31,2017q2,600000.XSHG,762351589.100000,81537215.150000,3571.9884,3571.9884,0.1594
2017-08-31,2017q2,600015.XSHG,478113176.750000,74228071.450000,1220.7198,1220.7198,0.4099
2017-08-31,2017q2,600016.XSHG,704202463.200000,156529031.250000,3064.7693,2482.3486,0.2297
2017-08-31,2017q2,600036.XSHG,1141908459.300000,61587947.700000,6746.3087,5518.2426,0.2864
2017-08-31,2017q2,600908.XSHG,157505916.400000,17992488.250000,216.7839,21.6784,6.5362
2017-08-31,2017q2,600919.XSHG,449183545.550000,83878131.300000,1014.7572,509.3662,0.7709
2017-08-31,2017q2,600926.XSHG,144601598.700000,18447995.500000,547.8321,54.7843,2.615
2017-08-31,2017q2,601009.XSHG,424140453.100000,83104488.300000,683.666,650.402,0.776
2017-08-31,2017q2,601128.XSHG,124550270.100000,20065663.050000,248.0564,24.8056,6.2335
2017-08-31,2017q2,601166.XSHG,1300129064.850000,116533599.450000,3666.6447,3362.7374,0.4391
2017-08-31,2017q2,601229.XSHG,194679203.100000,30102033.700000,1476.8545,147.6867,0.8596
2017-08-31,2017q2,601328.XSHG,669155215.500000,169229777.400000,4886.4874,2582.7069,0.3532
2017-08-31,2017q2,601818.XSHG,537706127.550000,205218207.300000,1960.522,1672.0351,0.2903
2017-08-31,2017q2,601997.XSHG,242823218.400000,32895966.000000,362.2581,190.318,1.0185
2017-08-31,2017q2,601998.XSHG,313737908.200000,75539925.700000,3195.4422,2083.4072,0.1596
2017-08-31,2017q2,603323.XSHG,81745673.700000,11250859.000000,174.4942,17.4665,12.5495
2017-10-31,2017q3,002142.XSHE,340327766.796500,25779330.000000,869.4591,771.5297,0.5043
2017-10-31,2017q3,002807.XSHE,149968123.975000,28292386.950000,161.5362,65.5073,2.1752
2017-10-31,2017q3,600000.XSHG,384733952.400000,40450984.000000,3701.2973,3543.8846,0.0716
2017-10-31,2017q3,600036.XSHG,1478669158.850000,77765875.350000,6834.5782,5590.4439,0.3026
2017-10-31,2017q3,600926.XSHG,112418284.450000,15670895.500000,471.2456,188.4835,0.552
2017-10-31,2017q3,601009.XSHG,242573750.400000,47172786.950000,676.032,643.1394,0.4553
2017-10-31,2017q3,601128.XSHG,203156212.200000,41966627.750000,178.0405,79.3268,1.1451
2017-10-31,2017q3,601166.XSHG,1345201715.500000,119292168.400000,3623.0189,3322.7275,0.3229
2017-10-31,2017q3,601229.XSHG,99908065.300000,16398472.600000,1375.3793,137.5391,0.7273
2017-10-31,2017q3,601328.XSHG,507496313.600000,130395446.750000,4619.1416,2441.4037,0.1638
2017-10-31,2017q3,601939.XSHG,485722655.350000,105115512.200000,17900.786,686.9059,0.5613
2017-10-31,2017q3,601998.XSHG,163719686.300000,40104958.150000,3043.7443,1984.5012,0.0724
2017-10-31,2017q3,603323.XSHG,59060002.300000,8850863.350000,143.65,14.379,2.7785
2018-08-31,2018q2,002142.XSHE,318374527.402000,23388172.350000,850.7024,753.6584,0.3984
2018-08-31,2018q2,002807.XSHE,41697398.368000,13654468.500000,98.4434,40.0107,0.7631
2018-08-31,2018q2,002839.XSHE,109202070.816500,30637262.750000,102.4868,47.8474,1.6504
2018-08-31,2018q2,600000.XSHG,182865103.700000,24355687.600000,3032.0699,2903.1188,0.1328
2018-08-31,2018q2,600015.XSHG,145599800.950000,28148662.800000,993.7582,993.7582,0.5496
2018-08-31,2018q2,600036.XSHG,980362346.250000,47974740.550000,7134.6943,5835.9284,0.2234
2018-08-31,2018q2,600908.XSHG,30508700.350000,6938415.300000,106.2666,46.249,0.6845
2018-08-31,2018q2,600919.XSHG,114495351.800000,29388273.550000,726.1459,377.9174,0.5881
2018-08-31,2018q2,601009.XSHG,273286136.200000,55776118.450000,625.1387,625.1387,0.3466
2018-08-31,2018q2,601128.XSHG,64162405.950000,18776600.750000,131.5867,59.0348,1.3459
2018-08-31,2018q2,601166.XSHG,598990226.250000,59556802.100000,3132.748,2873.0924,0.2647
2018-08-31,2018q2,601169.XSHG,148686776.900000,39072919.500000,1232.636,1063.859,0.3231
2018-08-31,2018q2,601229.XSHG,239497739.100000,42600100.300000,1279.6804,608.4021,0.511
2018-08-31,2018q2,601288.XSHG,675825821.700000,289192895.050000,12704.3841,10674.2072,0.0713
2018-08-31,2018q2,601328.XSHG,255606419.500000,71215874.350000,4173.5652,2205.8986,0.1924
2018-08-31,2018q2,601818.XSHG,189910809.950000,80067991.150000,1957.8496,1484.9327,0.2397
2018-08-31,2018q2,601939.XSHG,547257779.950000,118862103.200000,17200.7553,660.0436,0.759
2018-08-31,2018q2,601988.XSHG,307123733.400000,131062654.500000,10450.7666,7482.1758,0.0705
2018-08-31,2018q2,601997.XSHG,85918707.750000,14582433.150000,273.5324,147.4368,0.8812
2018-08-31,2018q2,601998.XSHG,79306254.300000,20047153.600000,2921.4074,1904.7383,0.0523
2018-08-31,2018q2,603323.XSHG,99237341.200000,23719281.400000,92.6774,38.8434,1.6978
2018-10-31,2018q3,002142.XSHE,374692759.921000,26639632.900000,917.2263,815.4523,0.4333
2018-10-31,2018q3,002807.XSHE,73779278.077500,25417698.350000,95.6169,38.8627,2.6985
2018-10-31,2018q3,002839.XSHE,231307290.522000,66002969.400000,110.2591,51.6339,9.3532
2018-10-31,2018q3,600919.XSHG,218186787.500000,55192745.650000,749.2348,389.9339,0.6307
2018-10-31,2018q3,601128.XSHG,156266864.000000,41954324.850000,147.1486,66.018,2.7055
2018-10-31,2018q3,601166.XSHG,975022440.300000,94239162.050000,3348.7995,3071.2367,0.2718
2018-10-31,2018q3,601229.XSHG,294805378.350000,50176799.150000,1334.3209,634.38,0.4326
2018-10-31,2018q3,601328.XSHG,500872498.600000,134256675.750000,4455.7636,2355.0518,0.236
2018-10-31,2018q3,601939.XSHG,779433507.400000,163542008.300000,17875.7849,685.9465,0.7268
2018-10-31,2018q3,601988.XSHG,549952913.900000,227359814.500000,10951.2258,7840.4772,0.0623
2018-10-31,2018q3,601997.XSHG,163989147.350000,28705890.650000,274.222,147.8085,1.4436
2018-10-31,2018q3,601998.XSHG,171823322.650000,43900126.300000,2896.94,1888.7857,0.0613
2019-04-30,2018q4,002936.XSHE,194014192.575000,46184597.850000,322.1531,32.64,2.1514
2019-04-30,2018q4,600000.XSHG,630672074.950000,72727073.900000,3513.444,3364.0205,0.4394
2019-04-30,2018q4,600015.XSHG,484161443.050000,82184555.600000,1234.0554,1028.3795,0.6499
2019-04-30,2018q4,600016.XSHG,1029863578.950000,237009154.450000,2802.0748,2269.5759,0.3365
2019-04-30,2018q4,600036.XSHG,2171372877.150000,83597195.450000,8688.2368,7106.6714,0.4623
