factor_name,factor_family,layer,direction,target_label,train_rank_ic_mean,test_rank_ic_mean,train_positive_ic_ratio,test_positive_ic_ratio,train_top_minus_bottom,test_top_minus_bottom,keep_flag,keep_reason,priority_score,fold_id
derived__log_total_assets,derived,base_core,larger_better,y_quarter_avg_daily_return_close,0.156735,0.090022,0.666667,0.833333,0.00030478,7.513e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,98.355405,annual_02
bank_indicator__Nonperforming_loan_rate,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.202109,0.071982,0.75,0.5,0.00026767,0.00030618,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,76.982306,annual_02
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.165653,0.09986,0.625,0.5,0.00012188,0.00027588,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,104.860276,annual_02
bank_indicator__deposit_loan_ratio,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.303511,0.232858,1.0,1.0,0.00039397,0.00039556,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,242.858396,annual_02
bank_indicator__capital_adequacy_ratio,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.268493,0.195137,0.75,0.833333,0.0004142,0.00028938,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,203.470619,annual_02
improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.151418,-0.103876,0.75,0.5,0.00023479,-0.00018266,0,fail_threshold_rule,-98.876183,annual_02
improve__snapshot_delta__derived__investment_income_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.040745,0.042476,0.533333,0.5,0.00016757,0.00013616,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,47.476136,annual_02
bank_indicator__non_interest_income_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.093588,-0.096074,0.6875,0.5,0.00017106,-0.00025389,0,fail_threshold_rule,-91.074254,annual_02
bank_indicator__net_interest_margin,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.258773,-0.347375,0.9375,0.0,0.00028828,-0.0005245,0,fail_threshold_rule,-347.375524,annual_02
indicator__inc_net_profit_to_shareholders_annual,indicator,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.037528,0.009777,0.533333,0.666667,0.00011565,-0.0001469,0,fail_threshold_rule,16.443523,annual_02
