combo_name,window_name,rebalance_date,bucket,avg_return
combo__ic_weight,train,2016-10-31,1,0.0003776186
combo__ic_weight,train,2016-10-31,2,0.0003465766
combo__ic_weight,train,2016-10-31,3,0.0013346175
combo__ic_weight,train,2016-10-31,4,0.0019190005
combo__ic_weight,train,2016-10-31,5,0.0013648937
combo__ic_weight,train,2017-08-31,1,-0.0006721705
combo__ic_weight,train,2017-08-31,2,-0.0016780293
combo__ic_weight,train,2017-08-31,3,-0.0006132932
combo__ic_weight,train,2017-08-31,4,-0.0003481705
combo__ic_weight,train,2017-08-31,5,3.84446e-05
combo__ic_weight,train,2017-10-31,1,-0.0003023801
combo__ic_weight,train,2017-10-31,2,-0.0004111635
combo__ic_weight,train,2017-10-31,3,-0.0006439729
combo__ic_weight,train,2017-10-31,4,0.0002918543
combo__ic_weight,train,2017-10-31,5,0.0002827971
combo__ic_weight,train,2018-08-31,1,0.0016128354
combo__ic_weight,train,2018-08-31,2,0.0014713552
combo__ic_weight,train,2018-08-31,3,0.001687927
combo__ic_weight,train,2018-08-31,4,0.0006344887
combo__ic_weight,train,2018-08-31,5,0.0016070046
combo__ic_weight,train,2018-10-31,1,0.0009363967
combo__ic_weight,train,2018-10-31,2,0.0005599667
combo__ic_weight,train,2018-10-31,3,0.0020234461
combo__ic_weight,train,2018-10-31,4,0.0009765834
combo__ic_weight,train,2018-10-31,5,0.0014414485
combo__ic_weight,train,2019-04-30,1,0.0003955576
combo__ic_weight,train,2019-04-30,2,0.0002398353
combo__ic_weight,train,2019-04-30,3,0.0004130453
combo__ic_weight,train,2019-04-30,4,0.0002037908
combo__ic_weight,train,2019-04-30,5,0.0006177737
combo__ic_weight,validation,2019-10-31,1,-0.0011416027
combo__ic_weight,validation,2019-10-31,2,-0.0012864632
combo__ic_weight,validation,2019-10-31,3,-0.0010614167
combo__ic_weight,validation,2019-10-31,4,-0.0011874532
combo__ic_weight,validation,2019-10-31,5,-0.0009267243
combo__ic_weight,validation,2020-04-30,1,0.0007879622
combo__ic_weight,validation,2020-04-30,2,0.0014296223
combo__ic_weight,validation,2020-04-30,3,0.0004159601
combo__ic_weight,validation,2020-04-30,4,0.0009216964
combo__ic_weight,validation,2020-04-30,5,0.0018800346
combo__ic_weight,validation,2020-08-31,1,-0.0002755217
combo__ic_weight,validation,2020-08-31,2,0.0002662155
combo__ic_weight,validation,2020-08-31,3,0.000687819
combo__ic_weight,validation,2020-08-31,4,-0.0005068859
