rebalance_date,quarter_key,code,active_quarter_key,effective_data_flag,avg_traded_amount_lookback,market_cap,circulating_market_cap,avg_traded_volume_lookback,liquidity_top_80_flag,market_cap_top_80_flag,rebalance_stock_pool_flag
2016-08-31,2016q2,600016.XSHG,2016q2,1,771115804.300000,3396.786,2751.2697,158115156.250000,1,1,1
2016-08-31,2016q2,600036.XSHG,2016q2,1,500901983.100000,4698.4572,3843.1723,39934713.450000,1,1,1
2016-08-31,2016q2,601166.XSHG,2016q2,1,896500137.950000,3061.7105,3061.7105,91269347.900000,1,1,1
2016-08-31,2016q2,601288.XSHG,2016q2,1,391208471.300000,10425.8912,9439.1749,207028942.350000,1,1,1
2016-08-31,2016q2,601328.XSHG,2016q2,1,321350009.900000,4307.2381,2276.5501,94425273.150000,0,1,0
2016-08-31,2016q2,601818.XSHG,2016q2,1,368798399.400000,1834.4884,1564.5471,149805631.700000,1,1,1
2016-08-31,2016q2,601939.XSHG,2016q2,1,441245666.900000,13175.5785,505.5858,134938647.250000,1,1,1
2016-08-31,2016q2,601998.XSHG,2016q2,1,244621795.400000,3107.3596,2025.9779,61910834.050000,0,1,0
2016-10-31,2016q3,002142.XSHE,2016q3,1,289555478.854000,654.7754,579.6683,29752472.250000,1,0,0
2016-10-31,2016q3,600000.XSHG,2016q3,1,239367062.550000,3517.2941,3338.4118,26120353.700000,1,1,1
2016-10-31,2016q3,600016.XSHG,2016q3,1,315365316.200000,3356.6521,2718.7628,64391283.550000,1,1,1
2016-10-31,2016q3,600036.XSHG,2016q3,1,260136407.800000,4504.2644,3684.3295,20873234.700000,1,1,1
2016-10-31,2016q3,601009.XSHG,2016q3,1,288177133.650000,635.5597,604.6363,61950062.400000,1,0,0
2016-10-31,2016q3,601166.XSHG,2016q3,1,444651817.250000,3107.4361,3107.4361,45087651.900000,1,1,1
2016-10-31,2016q3,601288.XSHG,2016q3,1,224340551.800000,10263.4941,9292.1473,120147705.900000,1,1,1
2016-10-31,2016q3,601328.XSHG,2016q3,1,251596141.400000,4173.5652,2205.8986,76738102.300000,1,1,1
