rebalance_date,quarter_key,code,active_quarter_key,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,y_quarter_avg_daily_return_close,y_quarter_end_date,y_year_avg_daily_return_close,y_year_end_date,derived__log_total_assets,derived__staff_cash_to_operating_revenue,derived__investment_income_to_operating_revenue
2014-11-03,2014q3,600036.XSHG,2014q3,825478355.200000,123752741.600000,2696.0015,2205.2342,0.0053225580,2015-04-29,0.0027836474,2015-11-02,29.1833907752,0.1282164496,0.0329187823
2014-11-03,2014q3,601166.XSHG,2014q3,1220968115.200000,206286978.900000,2050.0314,1740.9268,0.0057458567,2015-04-29,0.0020592145,2015-11-02,29.0162091153,0.1164684180,-0.0241396858
2014-11-03,2014q3,601169.XSHG,2014q3,280076053.200000,102919894.400000,876.4959,744.3182,0.0043546268,2015-04-29,0.0017369569,2015-11-02,28.0302353949,0.1389352818,0.0129436326
2014-11-03,2014q3,601288.XSHG,2014q3,413262108.000000,309457966.550000,8249.7706,7217.7536,0.0042859541,2015-04-29,0.0014205243,2015-11-02,30.4010596517,0.2039801776,0.0112541329
2014-11-03,2014q3,601328.XSHG,2014q3,427174838.400000,185798180.300000,3245.2812,1429.3856,0.0045676072,2015-04-29,0.0022446344,2015-11-02,29.4576195973,0.1094176016,0.0303267331
2014-11-03,2014q3,601398.XSHG,2014q3,304382977.600000,155589374.850000,12759.8793,9609.2554,0.0038821543,2015-04-29,0.0014289147,2015-11-02,30.6342728474,0.1572388302,0.0077420644
2014-11-03,2014q3,601818.XSHG,2014q3,448343308.000000,286238402.000000,1367.6975,1166.4435,0.0062123480,2015-04-29,0.0021951365,2015-11-02,28.5793599763,0.1285295554,0.0017098192
2014-11-03,2014q3,601998.XSHG,2014q3,527489133.600000,187806025.000000,2269.1854,1547.4005,0.0049680106,2015-04-29,0.0017134133,2015-11-02,29.0287219255,0.1333792922,0.0100453023
2015-04-29,2014q4,600000.XSHG,2014q4,7847276211.200000,948323625.950000,3456.4883,2765.1906,-0.0152582160,2015-05-04,0.0005028122,2016-04-29,29.0651346938,0.2265026341,-0.0006585249
2015-04-29,2014q4,600036.XSHG,2014q4,6656250231.466666,583921096.533333,4660.6275,3812.2289,-0.0034305317,2015-05-04,0.0003432406,2016-04-29,29.1853329245,0.3191791556,0.0048486629
2015-04-29,2014q4,601288.XSHG,2014q4,6649005324.800000,3171363599.450000,13056.7235,11423.3739,0.0000000000,2015-05-04,-0.0005380495,2016-04-29,30.4019930318,0.2721605775,0.0169199004
