code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601998.XSHG,income,2017-03-31,2017q1,,2017-04-26,np_parent_company_owners,11389000000.0,finance_income_statement_current_only.csv,np_parent_company_owners,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-03-31,2017q1,,2017-04-26,minority_profit,3000000.0,finance_income_statement_current_only.csv,minority_profit,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,operating_revenue,38802000000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,interest_income,55391000000.0,finance_income_statement_current_only.csv,interest_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,interest_expense,31005000000.0,finance_income_statement_current_only.csv,interest_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,commission_income,13017000000.0,finance_income_statement_current_only.csv,commission_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,commission_expense,1061000000.0,finance_income_statement_current_only.csv,commission_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,asset_impairment_loss,11624000000.0,finance_income_statement_current_only.csv,asset_impairment_loss,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,investment_income,1278000000.0,finance_income_statement_current_only.csv,investment_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,operating_profit,16233000000.0,finance_income_statement_current_only.csv,operating_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,total_profit,16306000000.0,finance_income_statement_current_only.csv,total_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,income_tax_expense,3534000000.0,finance_income_statement_current_only.csv,income_tax_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,net_profit,12772000000.0,finance_income_statement_current_only.csv,net_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,np_parent_company_owners,12622000000.0,finance_income_statement_current_only.csv,np_parent_company_owners,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-06-30,2017q2,,2017-08-25,minority_profit,150000000.0,finance_income_statement_current_only.csv,minority_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,operating_revenue,38727000000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,interest_income,54971000000.0,finance_income_statement_current_only.csv,interest_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,interest_expense,30192000000.0,finance_income_statement_current_only.csv,interest_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,commission_income,12703000000.0,finance_income_statement_current_only.csv,commission_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,commission_expense,1248000000.0,finance_income_statement_current_only.csv,commission_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,asset_impairment_loss,15062000000.0,finance_income_statement_current_only.csv,asset_impairment_loss,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,investment_income,1780000000.0,finance_income_statement_current_only.csv,investment_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,operating_profit,13297000000.0,finance_income_statement_current_only.csv,operating_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,total_profit,13318000000.0,finance_income_statement_current_only.csv,total_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,income_tax_expense,2587000000.0,finance_income_statement_current_only.csv,income_tax_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,net_profit,10731000000.0,finance_income_statement_current_only.csv,net_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,np_parent_company_owners,10727000000.0,finance_income_statement_current_only.csv,np_parent_company_owners,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-09-30,2017q3,,2017-10-25,minority_profit,4000000.0,finance_income_statement_current_only.csv,minority_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,operating_revenue,41401000000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,interest_income,55506000000.0,finance_income_statement_current_only.csv,interest_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,interest_expense,30134000000.0,finance_income_statement_current_only.csv,interest_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,commission_income,14235000000.0,finance_income_statement_current_only.csv,commission_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,commission_expense,1593000000.0,finance_income_statement_current_only.csv,commission_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,asset_impairment_loss,16311000000.0,finance_income_statement_current_only.csv,asset_impairment_loss,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,investment_income,2756000000.0,finance_income_statement_current_only.csv,investment_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,operating_profit,8028000000.0,finance_income_statement_current_only.csv,operating_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,total_profit,7842000000.0,finance_income_statement_current_only.csv,total_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,income_tax_expense,-141000000.0,finance_income_statement_current_only.csv,income_tax_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,net_profit,7983000000.0,finance_income_statement_current_only.csv,net_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,np_parent_company_owners,7828000000.0,finance_income_statement_current_only.csv,np_parent_company_owners,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2017-12-31,2017q4,,2018-03-27,minority_profit,155000000.0,finance_income_statement_current_only.csv,minority_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,operating_revenue,39638000000.0,finance_income_statement_current_only.csv,operating_revenue,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,interest_income,54982000000.0,finance_income_statement_current_only.csv,interest_income,single_quarter,identity_q1_or_ytd_diff,
