code,statement_family,report_period_end,quarter_key,year_key,standard_field_name,source_table,source_field,raw_primary_value,raw_fallback_value,raw_value_used,prior_cumulative_value_used,transformation_rule,conversion_success,missing_reason
601528.XSHG,bank_indicator,2021-12-31,,2021,total_loan,bank_indicator.csv,total_loan,85034312000.0,85034312000.0,85034312000.0,,identity_q1_or_ytd_diff,True,
601528.XSHG,bank_indicator,2021-12-31,,2021,total_deposit,bank_indicator.csv,total_deposit,102358896000.0,102358896000.0,102358896000.0,,identity_q1_or_ytd_diff,True,
601528.XSHG,bank_indicator,2021-12-31,,2021,interest_earning_assets,bank_indicator.csv,interest_earning_assets,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601528.XSHG,bank_indicator,2021-12-31,,2021,non_interest_earning_assets,bank_indicator.csv,non_interest_earning_assets,136867516000.0,136867516000.0,136867516000.0,,identity_q1_or_ytd_diff,True,
601528.XSHG,bank_indicator,2021-12-31,,2021,interest_earning_assets_yield,bank_indicator.csv,interest_earning_assets_yield,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601528.XSHG,bank_indicator,2021-12-31,,2021,interest_bearing_liabilities,bank_indicator.csv,interest_bearing_liabilities,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601528.XSHG,bank_indicator,2021-12-31,,2021,non_interest_bearing_liabilities,bank_indicator.csv,non_interest_bearing_liabilities,123051420000.0,123051420000.0,123051420000.0,,identity_q1_or_ytd_diff,True,
601528.XSHG,bank_indicator,2021-12-31,,2021,interest_bearing_liabilities_interest_rate,bank_indicator.csv,interest_bearing_liabilities_interest_rate,0.0,0.0,0.0,,identity_q1_or_ytd_diff,True,
601528.XSHG,bank_indicator,2021-12-31,,2021,non_interest_income,bank_indicator.csv,non_interest_income,314603000.0,314603000.0,314603000.0,,identity_q1_or_ytd_diff,True,
601528.XSHG,bank_indicator,2021-12-31,,2021,non_interest_income_ratio,bank_indicator.csv,non_interest_income_ratio,9.5039,9.5039,9.5039,,identity_q1_or_ytd_diff,True,
601528.XSHG,bank_indicator,2021-12-31,,2021,net_interest_margin,bank_indicator.csv,net_interest_margin,2.34,2.34,2.34,,identity_q1_or_ytd_diff,True,
