factor_name,factor_family,layer,direction,target_label,train_rank_ic_mean,test_rank_ic_mean,train_positive_ic_ratio,test_positive_ic_ratio,train_top_minus_bottom,test_top_minus_bottom,keep_flag,keep_reason,priority_score,fold_id,train_anchor_years
derived__investment_income_to_operating_revenue,derived,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.032737,-0.011143,0.5625,0.333333,6.748e-05,-8.242e-05,0,fail_threshold_rule,-7.809752,expanding_01,5
improve__annual_delta__bank_indicator__capital_adequacy_ratio,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.223725,0.18855,0.642857,1.0,0.0002383,0.00024866,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,198.550249,expanding_01,5
improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.072977,0.101684,0.583333,0.666667,0.00047818,0.00012597,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,108.350796,expanding_01,5
improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.037665,0.121612,0.466667,0.833333,7.168e-05,0.00070606,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,129.946036,expanding_01,5
improve__snapshot_delta__indicator__eps,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.002178,0.112935,0.6,0.833333,0.00021072,0.00025419,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,121.268584,expanding_01,5
indicator__roe,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.120472,0.174252,0.684211,0.833333,-0.00049003,0.00038995,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,182.58572,expanding_02,6
indicator__eps,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.082579,0.122645,0.578947,0.666667,0.00031283,0.00050732,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,129.312177,expanding_02,6
derived__log_total_assets,derived,base_core,larger_better,y_quarter_avg_daily_return_close,0.115672,0.090348,0.631579,0.833333,0.00077893,7.513e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,98.681405,expanding_02,6
bank_indicator__Nonperforming_loan_rate,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.232146,0.071982,0.8,0.5,0.00030649,0.00030618,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,76.982306,expanding_02,6
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.135596,0.09986,0.6,0.5,7.018e-05,0.00027588,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,104.860276,expanding_02,6
