code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_net_profit_to_shareholders_annual,-20.38,indicator.csv,inc_net_profit_to_shareholders_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,eps,0.3228,indicator.csv,eps,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,adjusted_profit,3100576000.0,indicator.csv,adjusted_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,operating_profit,3924894000.0,indicator.csv,operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,value_change_profit,613269000.0,indicator.csv,value_change_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,roe,3.27,indicator.csv,roe,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,inc_return,3.26,indicator.csv,inc_return,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,roa,0.27,indicator.csv,roa,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,net_profit_margin,50.56,indicator.csv,net_profit_margin,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,gross_profit_margin,,indicator.csv,gross_profit_margin,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,expense_to_total_revenue,38.25,indicator.csv,expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,operation_profit_to_total_revenue,61.75,indicator.csv,operation_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,net_profit_to_total_revenue,50.56,indicator.csv,net_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,operating_expense_to_total_revenue,,indicator.csv,operating_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,ga_expense_to_total_revenue,26.63,indicator.csv,ga_expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,financing_expense_to_total_revenue,,indicator.csv,financing_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,operating_profit_to_profit,84.09,indicator.csv,operating_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,invesment_profit_to_profit,15.57,indicator.csv,invesment_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,adjusted_profit_to_profit,99.6,indicator.csv,adjusted_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,goods_sale_and_service_to_revenue,,indicator.csv,goods_sale_and_service_to_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,ocf_to_revenue,697.36,indicator.csv,ocf_to_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,ocf_to_operating_profit,1129.39,indicator.csv,ocf_to_operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,inc_total_revenue_year_on_year,9.05,indicator.csv,inc_total_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,inc_total_revenue_annual,5.73,indicator.csv,inc_total_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,inc_revenue_year_on_year,9.05,indicator.csv,inc_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,inc_revenue_annual,5.73,indicator.csv,inc_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,inc_operation_profit_year_on_year,31.68,indicator.csv,inc_operation_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,inc_operation_profit_annual,53.72,indicator.csv,inc_operation_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,inc_net_profit_year_on_year,28.66,indicator.csv,inc_net_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,inc_net_profit_annual,52.23,indicator.csv,inc_net_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,inc_net_profit_to_shareholders_year_on_year,29.05,indicator.csv,inc_net_profit_to_shareholders_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-03-31,2022q1,,2022-04-30,inc_net_profit_to_shareholders_annual,53.34,indicator.csv,inc_net_profit_to_shareholders_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,eps,0.2835,indicator.csv,eps,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,adjusted_profit,2725707000.0,indicator.csv,adjusted_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,operating_profit,3394651000.0,indicator.csv,operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,value_change_profit,836468000.0,indicator.csv,value_change_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,roe,2.83,indicator.csv,roe,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,inc_return,2.82,indicator.csv,inc_return,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,roa,0.24,indicator.csv,roa,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,net_profit_margin,43.61,indicator.csv,net_profit_margin,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,gross_profit_margin,,indicator.csv,gross_profit_margin,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,expense_to_total_revenue,47.85,indicator.csv,expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,operation_profit_to_total_revenue,52.15,indicator.csv,operation_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,net_profit_to_total_revenue,43.61,indicator.csv,net_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,operating_expense_to_total_revenue,,indicator.csv,operating_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,ga_expense_to_total_revenue,30.07,indicator.csv,ga_expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,financing_expense_to_total_revenue,,indicator.csv,financing_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,operating_profit_to_profit,75.25,indicator.csv,operating_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,invesment_profit_to_profit,24.6,indicator.csv,invesment_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
