schedule,rebalance_count,traded_periods,avg_hold_count,avg_turnover_ratio,total_return,annualized_return_proxy,max_drawdown_proxy,return_2019,return_2020
daily,486,486,5.0,0.53786,0.047563,0.023554,-0.292171,0.150717,-0.089643
weekly,102,102,5.0,0.703922,0.140259,0.068263,-0.217548,0.246256,-0.085052
