rebalance_date,reference_rebalance_date,stock_count,deterioration_ratio,severe_deterioration_ratio,score_delta_mean,score_delta_median,score_delta_std,score_delta_bottom_quartile_mean,score_delta_top_quartile_mean,score_delta_top_bottom_spread,current_score_mean,reference_score_mean
2014-09-01,2014-05-05,9,0.7777777778,0.3333333333,-0.0962647084,-0.0843182928,0.0920880749,-0.2050282063,-0.000712406,0.2043158003,0.3411286755,0.437393384
2014-11-03,2014-09-01,10,0.8,0.3,-0.0436614479,-0.038626866,0.1191316066,-0.169185531,0.0768979975,0.2460835285,0.3163325313,0.3599939793
2015-04-29,2014-11-03,6,0.8333333333,0.3333333333,-0.3471951082,-0.3759669769,0.2414112342,-0.5740476252,-0.0915707226,0.4824769026,-0.0448990467,0.3022960615
2015-05-04,2015-04-29,8,0.25,0.25,0.1397496848,0.1588364931,0.1832327309,-0.1087609008,0.3534695614,0.4622304622,0.122306763,-0.0174429218
2015-09-01,2015-05-04,10,0.7,0.3,-0.0456412079,-0.0553099617,0.1000916166,-0.1468687985,0.0733673257,0.2202361241,0.0745631434,0.1202043514
2015-11-02,2015-09-01,9,0.4444444444,0.3333333333,0.0401504803,0.0126588199,0.0899278795,-0.0408322821,0.1555994444,0.1964317266,0.0867528029,0.0466023226
2016-04-29,2015-11-02,6,1.0,0.3333333333,-0.5410418252,-0.4251367205,0.2527525915,-0.8909300737,-0.3070586814,0.5838713923,-0.4239251657,0.1171166596
2016-05-03,2016-04-29,7,0.2857142857,0.2857142857,0.1514866397,0.1664358174,0.157699213,-0.0782866438,0.3166483898,0.3949350336,-0.2417561133,-0.393242753
2016-09-01,2016-05-03,9,0.5555555556,0.3333333333,0.014630651,-0.0005312413,0.1656007586,-0.1285954233,0.1688365645,0.2974319878,-0.1963340243,-0.2109646753
2016-11-01,2016-09-01,8,0.5,0.25,0.0746740583,0.0056514854,0.2572808751,-0.1944220254,0.4482924233,0.6427144487,-0.0815131342,-0.1561871925
2017-05-02,2016-11-01,9,0.3333333333,0.3333333333,0.0551999705,0.144480993,0.2592931036,-0.2499397919,0.3005781254,0.5505179173,-0.0677699111,-0.1229698817
2017-09-01,2017-05-02,15,0.7333333333,0.2666666667,-0.0422642315,-0.0288848997,0.1186927149,-0.1920269701,0.0800743403,0.2721013103,-0.0780602582,-0.0357960268
2017-11-01,2017-09-01,16,0.6875,0.25,-0.0408489662,-0.0265564632,0.095398978,-0.1654163531,0.0745843612,0.2400007144,-0.1791702456,-0.1383212794
2018-05-02,2017-11-01,16,0.3125,0.25,0.0716383665,0.0717140648,0.2450888415,-0.247511695,0.3779742724,0.6254859674,-0.1075318791,-0.1791702456
2018-09-03,2018-05-02,17,0.5294117647,0.2941176471,0.0852138414,-0.0024376496,0.2008141218,-0.0662227382,0.3379837018,0.4042064401,0.0654053496,-0.0198084918
2018-11-01,2018-09-03,17,0.5294117647,0.2941176471,-0.0389908676,-0.0041890007,0.170609128,-0.2387446121,0.1455733418,0.3843179539,0.0264144819,0.0654053496
2019-05-06,2018-11-01,18,0.5555555556,0.2777777778,-0.051764743,-0.0969199245,0.2505282908,-0.3437110948,0.2684771683,0.6121882631,-0.0391212696,0.0126434734
2019-09-02,2019-05-06,19,0.2631578947,0.2631578947,0.1068676305,0.0951729061,0.2031684218,-0.1321882682,0.3675530872,0.4997413553,0.0706786802,-0.0361889503
2019-11-01,2019-09-02,19,0.6315789474,0.2631578947,-0.0168430135,-0.0269231619,0.1810939562,-0.2255314243,0.2210685945,0.4466000188,0.0538356668,0.0706786802
2020-05-06,2019-11-01,19,0.4736842105,0.2631578947,-0.0028289271,0.0303589342,0.2567553033,-0.3321947861,0.2742262603,0.6064210464,0.0510067397,0.0538356668
2020-09-01,2020-05-06,25,0.72,0.28,-0.0644510492,-0.1228649387,0.2186276437,-0.2673314639,0.2121985591,0.4795300229,-0.0274722607,0.0369787885
2020-11-02,2020-09-01,24,0.2083333333,0.25,0.1108360594,0.1336071409,0.2997472413,-0.2125642781,0.4372852931,0.6498495712,0.0817252813,-0.0291107782
