fold_id,candidate_name,rebalance_date,train_start,validation_start,validation_end,formula,universe_count,state_score,low_cut,high_cut,state_bucket,fundamental_budget,momentum_budget,portfolio_return,invested_weight,cash_weight,fundamental_stock_count,momentum_stock_count,final_stock_count,overlap_stock_count
fold_01,breadth_only,2019-09-02,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio,13,1.375329,-0.315637,0.760228,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,severe_breadth_only,2019-09-02,2013-11-01,2018-11-01,2019-11-01,- 1.0*severe_deterioration_ratio,13,0.63617,-0.433721,0.884993,neutral_flat,0.8,0.2,0.0021474162,0.85,0.15,13,13,13,13
fold_01,delta_mean_only,2019-09-02,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_mean,13,0.990499,-0.301595,0.484785,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,delta_median_only,2019-09-02,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_median,13,0.816588,-0.499993,0.257937,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,bottom_quartile_only,2019-09-02,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_bottom_quartile_mean,13,0.202108,-0.543024,0.453242,neutral_flat,0.8,0.2,0.0021474162,0.85,0.15,13,13,13,13
fold_01,top_bottom_spread_only,2019-09-02,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_top_bottom_spread,13,0.767551,-0.681512,0.405892,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,breadth_plus_mean,2019-09-02,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean,13,1.298537,-0.260072,0.598636,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,breadth_plus_median,2019-09-02,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_median,13,1.229915,-0.376215,0.681223,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,breadth_plus_bottom,2019-09-02,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_bottom_quartile_mean,13,1.346621,-0.276944,0.405134,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,severe_plus_mean,2019-09-02,2013-11-01,2018-11-01,2019-11-01,- 1.0*severe_deterioration_ratio + 1.0*score_delta_mean,13,1.16596,-0.687044,0.740997,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,severe_plus_bottom,2019-09-02,2013-11-01,2018-11-01,2019-11-01,- 1.0*severe_deterioration_ratio + 1.0*score_delta_bottom_quartile_mean,13,0.538727,-0.383766,0.67456,neutral_flat,0.8,0.2,0.0021474162,0.85,0.15,13,13,13,13
fold_01,mean_plus_bottom,2019-09-02,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_mean + 1.0*score_delta_bottom_quartile_mean,13,0.727954,-0.768465,0.641728,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,median_plus_bottom,2019-09-02,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_median + 1.0*score_delta_bottom_quartile_mean,13,0.762582,-0.756006,0.324203,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,breadth_mean_bottom,2019-09-02,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean + 1.0*score_delta_bottom_quartile_mean,13,1.271233,-0.228434,0.425327,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,breadth_median_bottom,2019-09-02,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_median + 1.0*score_delta_bottom_quartile_mean,13,1.244394,-0.332498,0.523265,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,breadth_mean_stdneg,2019-09-02,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean - 1.0*score_delta_std,13,1.327119,-0.409263,0.572448,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_01,fixed_blend_60_40,2019-11-01,2013-11-01,2018-11-01,2019-11-01,fixed_60_40,14,<NA>,<NA>,<NA>,fixed,0.6,0.4,-0.0009460834,0.932308,0.067692,14,14,14,14
fold_01,v1_base,2019-11-01,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean + 1.0*score_delta_bottom_quartile_mean,14,-1.127,-0.228434,0.425327,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
