strategy_name,traded_periods,total_return,annualized_return_proxy,max_drawdown_proxy,return_2021_2022,return_2023_2024,return_2025_2026,avg_overlay_eligible_count,avg_approved_pool_count
annual_pool_baseline,250,0.584687,0.098381,-0.217589,-0.056581,0.386706,0.211309,6.872,7.612
annual_pool_overlay_rev5_abnvol,250,0.568945,0.096148,-0.234235,-0.069005,0.327931,0.269067,6.872,7.612
