year,factor_name,pool_rows,rebalance_dates,usable_dates,rank_ic_mean,positive_ic_ratio,top_minus_bottom,log_avg_money_spearman_mean,log_avg_market_cap_spearman_mean,pb_ratio_spearman_mean,pe_ratio_spearman_mean
2015,mom_12_1,91,12,12,-0.06884920634920638,0.25,-0.012499766077812067,0.3710317460317461,-0.22519841269841276,-0.0396825396825397,0.3662698412698413
2015,mom_3_1,91,12,12,-0.08690476190476193,0.4166666666666667,-0.013926927424153268,0.16488095238095238,-0.1761904761904762,0.09325396825396827,0.07361111111111111
2015,mom_6_1,91,12,12,-0.11825396825396828,0.3333333333333333,-0.013183286059297458,0.39444444444444454,-0.16726190476190475,0.09126984126984128,0.3065476190476191
2016,mom_12_1,79,12,12,-0.23387202132256113,0.16666666666666666,-0.006672917868509147,0.19861111111111115,-0.32162698412698415,0.6940476190476191,0.3561507936507937
2016,mom_3_1,79,12,12,-0.13438913752650264,0.4166666666666667,-0.008763880559321311,0.09166666666666669,-0.11388888888888891,0.16984126984126993,0.027777777777777776
2016,mom_6_1,79,12,12,0.0007325913996326002,0.5833333333333334,0.007293703914651433,0.11051587301587307,-0.1734126984126985,0.4509920634920636,0.1547619047619048
2017,mom_12_1,113,12,12,0.3122696747696749,0.8333333333333334,0.024851110987981206,-0.04126290376290376,0.5731851481851481,0.42315518654139855,0.5599303474303474
2017,mom_3_1,113,12,12,0.174465811965812,0.75,0.013870166183016267,-0.014747752247752238,0.48850871350871355,0.2554639979770175,0.3493742368742369
2017,mom_6_1,113,12,12,0.3398740148740149,0.8333333333333334,0.028721783107111088,0.017657342657342673,0.5067349317349318,0.37324911582192405,0.5393453768453769
2018,mom_12_1,149,12,12,-0.08235731550378823,0.4166666666666667,-0.0028636884778721907,0.6212953712953713,0.6100566100566102,0.616966366966367,0.5232683982683983
2018,mom_3_1,149,12,12,-0.10531135531135528,0.25,-0.019871058896065306,0.05140692640692642,-0.056235431235431226,0.1829420579420579,0.20712620712620713
2018,mom_6_1,149,12,12,-0.14185738444081664,0.4166666666666667,-0.011744235217009458,0.3019559157427171,0.2692389338357977,0.4657050193755148,0.4124397912537017
2019,mom_12_1,167,12,12,0.1608495670995671,0.6666666666666666,0.02328496519742194,0.2717990342990343,-0.1711788211788212,0.5212832098909053,0.4818431568431569
2019,mom_3_1,167,12,12,0.0783882783882784,0.5,0.012232819019240589,0.21915584415584413,-0.12256285381285381,0.3299427304055157,0.3152035464535465
2019,mom_6_1,167,12,12,0.20643523143523146,0.6666666666666666,0.026750540427000754,0.2836600899100899,-0.1769875957375958,0.36960451401369393,0.3786567599067599
2020,mom_12_1,199,12,12,-0.02499785001719988,0.5833333333333334,0.016276972648882657,0.3630073959408326,-0.15163183694530444,0.6752063983488132,0.6428321007460086
2020,mom_3_1,199,12,12,0.04498409012727896,0.4166666666666667,0.01502972335422014,0.14643962848297215,-0.10099544203646367,0.2954484864121087,0.28901611631451335
2020,mom_6_1,199,12,12,-0.07652811155679172,0.4166666666666667,0.008806244726239745,0.21603660142861655,-0.15790127700482687,0.4561151524821212,0.4850846529316281
