fold_id,rebalance_date,validation_start,validation_end,code,fundamental_score,momentum_score,fundamental_weight,momentum_weight,selected_f,selected_m,selection_bucket,forward_return
fold_01,2019-09-02,2018-11-01,2019-11-01,601328.XSHG,-0.1796340329384776,-0.5359119133838017,0.05,0.02272727272727273,1,1,both_selected,0.001109482
fold_01,2019-09-02,2018-11-01,2019-11-01,601398.XSHG,0.31276852606396643,-0.46171656371189296,0.05,0.036363636363636376,1,1,both_selected,0.0025669823
fold_01,2019-09-02,2018-11-01,2019-11-01,601818.XSHG,-0.3065903294879068,-0.47976067085999374,0.05000000000000001,0.03181818181818182,1,1,both_selected,0.0050613561
fold_01,2019-09-02,2018-11-01,2019-11-01,601939.XSHG,0.40616162973279096,-0.341221435650668,0.05,0.04090909090909091,1,1,both_selected,0.0016439147
fold_01,2019-09-02,2018-11-01,2019-11-01,601988.XSHG,0.2241923203945556,-0.48517667723108393,0.05,0.02727272727272728,1,1,both_selected,0.0011911514
fold_01,2019-11-01,2018-11-01,2019-11-01,002142.XSHE,1.1059317518068223,1.102178887174676,0.05,0.05,1,1,both_selected,-0.000479848
fold_01,2019-11-01,2018-11-01,2019-11-01,600000.XSHG,-0.33802128910642854,-0.3077461327870591,0.040000000000000015,0.04230769230769232,1,1,both_selected,-0.0015320304
fold_01,2019-11-01,2018-11-01,2019-11-01,600016.XSHG,-0.9727278771872838,-0.6487903086111488,0.010000000000000004,0.015384615384615389,1,1,both_selected,-0.0004355141
fold_01,2019-11-01,2018-11-01,2019-11-01,600036.XSHG,0.9259538762160413,0.0520220259718998,0.05,0.05000000000000001,1,1,both_selected,-0.0004410725
fold_01,2019-11-01,2018-11-01,2019-11-01,600919.XSHG,-0.08370433260763704,-0.3488701882872539,0.05,0.038461538461538464,1,1,both_selected,-0.0015043149
fold_01,2019-11-01,2018-11-01,2019-11-01,601166.XSHG,0.19615036738842181,-0.18886384261145817,0.05,0.046153846153846156,1,1,both_selected,-0.0014749075
fold_01,2019-11-01,2018-11-01,2019-11-01,601169.XSHG,-0.6693726320454609,-0.9748600510433789,0.020000000000000007,0.0038461538461538472,1,1,both_selected,-0.0010716752
fold_01,2019-11-01,2018-11-01,2019-11-01,601229.XSHG,0.25446119753270074,-0.535911913383801,0.05,0.026923076923076928,1,1,both_selected,-0.0010529767
fold_01,2019-11-01,2018-11-01,2019-11-01,601288.XSHG,0.4920039417058355,-0.8524720903217848,0.05,0.0076923076923076945,1,1,both_selected,-0.0005088714
fold_01,2019-11-01,2018-11-01,2019-11-01,601328.XSHG,-0.14832204035876892,-0.8247022985623829,0.05,0.011538461538461539,1,1,both_selected,-0.0007691666
fold_01,2019-11-01,2018-11-01,2019-11-01,601398.XSHG,0.28708935141202696,-0.5498683454023998,0.05,0.023076923076923078,1,1,both_selected,-0.0011396074
fold_01,2019-11-01,2018-11-01,2019-11-01,601818.XSHG,-0.5470280752468785,-0.5093079404628523,0.030000000000000006,0.034615384615384624,1,1,both_selected,-0.0016120191
fold_01,2019-11-01,2018-11-01,2019-11-01,601939.XSHG,0.36230105438464705,-0.5266634734387035,0.05,0.030769230769230778,1,1,both_selected,-0.0011386619
fold_01,2019-11-01,2018-11-01,2019-11-01,601988.XSHG,0.055384072570137124,-0.5990590484187721,0.05,0.019230769230769232,1,1,both_selected,-0.0005586554
fold_02,2019-09-02,2019-09-02,2020-09-01,002142.XSHE,0.9981229506368324,0.9260454776715286,0.05,0.05,1,1,both_selected,0.005492629
