code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,net_deposit_increase,6398203000.0,finance_cashflow_statement_current_only.csv,net_deposit_increase,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,net_borrowing_from_central_bank,,finance_cashflow_statement_current_only.csv,net_borrowing_from_central_bank,,identity_q1_or_ytd_diff,missing_prior_cumulative_report
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,net_borrowing_from_finance_co,,finance_cashflow_statement_current_only.csv,net_borrowing_from_finance_co,,identity_q1_or_ytd_diff,missing_raw_value
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,interest_and_commission_cashin,3224395000.0,finance_cashflow_statement_current_only.csv,interest_and_commission_cashin,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,net_increase_in_placements,-150404000.0,finance_cashflow_statement_current_only.csv,net_increase_in_placements,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,net_buyback,,finance_cashflow_statement_current_only.csv,net_buyback,,identity_q1_or_ytd_diff,missing_raw_value
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,tax_levy_refund,,finance_cashflow_statement_current_only.csv,tax_levy_refund,,identity_q1_or_ytd_diff,missing_raw_value
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,goods_and_services_cash_paid,,finance_cashflow_statement_current_only.csv,goods_and_services_cash_paid,,identity_q1_or_ytd_diff,missing_raw_value
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,net_loan_and_advance_increase,6478370000.0,finance_cashflow_statement_current_only.csv,net_loan_and_advance_increase,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,net_deposit_in_cb_and_ib,-139216000.0,finance_cashflow_statement_current_only.csv,net_deposit_in_cb_and_ib,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,original_compensation_paid,,finance_cashflow_statement_current_only.csv,original_compensation_paid,,identity_q1_or_ytd_diff,missing_raw_value
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,policy_dividend_cash_paid,,finance_cashflow_statement_current_only.csv,policy_dividend_cash_paid,,identity_q1_or_ytd_diff,missing_raw_value
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,staff_behalf_paid,180775000.0,finance_cashflow_statement_current_only.csv,staff_behalf_paid,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,tax_payments,331816000.0,finance_cashflow_statement_current_only.csv,tax_payments,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,subtotal_operate_cash_inflow,17413122000.0,finance_cashflow_statement_current_only.csv,subtotal_operate_cash_inflow,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,subtotal_operate_cash_outflow,6281777000.0,finance_cashflow_statement_current_only.csv,subtotal_operate_cash_outflow,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,net_operate_cash_flow,11131345000.0,finance_cashflow_statement_current_only.csv,net_operate_cash_flow,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,invest_withdrawal_cash,16713787000.0,finance_cashflow_statement_current_only.csv,invest_withdrawal_cash,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,invest_proceeds,243747000.0,finance_cashflow_statement_current_only.csv,invest_proceeds,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,fix_intan_other_asset_acqui_cash,27790000.0,finance_cashflow_statement_current_only.csv,fix_intan_other_asset_acqui_cash,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,invest_cash_paid,9348704000.0,finance_cashflow_statement_current_only.csv,invest_cash_paid,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,impawned_loan_net_increase,,finance_cashflow_statement_current_only.csv,impawned_loan_net_increase,,identity_q1_or_ytd_diff,missing_raw_value
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,subtotal_invest_cash_inflow,16963157000.0,finance_cashflow_statement_current_only.csv,subtotal_invest_cash_inflow,converted_from_ytd,identity_q1_or_ytd_diff,
600928.XSHG,cash_flow,2019-06-30,2019q2,,2019-08-28,subtotal_invest_cash_outflow,9376494000.0,finance_cashflow_statement_current_only.csv,subtotal_invest_cash_outflow,converted_from_ytd,identity_q1_or_ytd_diff,
