code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,eps,0.1425,indicator.csv,eps,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,adjusted_profit,630233000.0,indicator.csv,adjusted_profit,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,operating_profit,751311000.0,indicator.csv,operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,value_change_profit,111403000.0,indicator.csv,value_change_profit,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,roe,2.8,indicator.csv,roe,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,inc_return,2.79,indicator.csv,inc_return,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,roa,0.25,indicator.csv,roa,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,net_profit_margin,37.29,indicator.csv,net_profit_margin,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,gross_profit_margin,,indicator.csv,gross_profit_margin,,identity_q1_or_ytd_diff,missing_raw_value
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,expense_to_total_revenue,55.66,indicator.csv,expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,operation_profit_to_total_revenue,44.34,indicator.csv,operation_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,net_profit_to_total_revenue,37.29,indicator.csv,net_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,operating_expense_to_total_revenue,,indicator.csv,operating_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,ga_expense_to_total_revenue,26.36,indicator.csv,ga_expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,financing_expense_to_total_revenue,,indicator.csv,financing_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,operating_profit_to_profit,85.23,indicator.csv,operating_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,invesment_profit_to_profit,14.84,indicator.csv,invesment_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
600928.XSHG,indicator,2019-06-30,2019q2,,2019-08-28,adjusted_profit_to_profit,99.52,indicator.csv,adjusted_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
