id,code,statDate,pubDate,statDate.1,total_operating_revenue,operating_revenue,interest_income,premiums_earned,commission_income,total_operating_cost,operating_cost,interest_expense,commission_expense,refunded_premiums,net_pay_insurance_claims,withdraw_insurance_contract_reserve,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,sale_expense,administration_expense,financial_expense,asset_impairment_loss,fair_value_variable_income,investment_income,invest_income_associates,exchange_income,operating_profit,non_operating_revenue,non_operating_expense,disposal_loss_non_current_liability,total_profit,income_tax_expense,net_profit,np_parent_company_owners,minority_profit,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,rd_expenses,asset_deal_income,sust_operate_net_profit,discon_operate_net_profit,credit_impairment_loss,net_open_hedge_income,interest_cost_fin,interest_income_fin,other_earnings,other_composite_income_mino_at,requested_period
441903,601077.XSHG,2019-03-31,2019-09-10,2019-03-31,6666465000.0,6666465000.0,5839526000.0,,578686000.0,2591505000.0,,,,,0.0,0.0,,0.0,52601000.0,,1084881000.0,,,-165586000.0,403200000.0,,3102000.0,4074960000.0,3032000.0,1027000.0,,4076965000.0,729358000.0,3347607000.0,3307679000.0,39928000.0,0.33,0.33,74758000.0,3422365000.0,3382437000.0,39928000.0,,139000.0,3347607000.0,,1454023000.0,,,,,,2019q1
442980,601077.XSHG,2019-06-30,2019-09-10,2019-06-30,6600535000.0,6600535000.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,-3102000.0,2957040000.0,,,,2958035000.0,,2493393000.0,2443321000.0,,0.2464,,,,,,,,,,,,,,,,2019q2
444482,601077.XSHG,2019-09-30,2019-10-28,2019-09-30,6723582000.0,6723582000.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,11691000.0,3587031000.0,,,,3591180000.0,,2954010000.0,2876594000.0,,0.2867,,,,,,,,,,4296661000.0,,,,,,2019q3
162820,601077.XSHG,2019-12-31,2020-03-27,2019-12-31,6639226000.0,6639226000.0,5983580000.0,,330091000.0,5037854000.0,,,,,0.0,0.0,,0.0,83869000.0,,2677156000.0,,847000.0,260129000.0,-54468000.0,,52433000.0,1601372000.0,12939000.0,7563000.0,,1606748000.0,413648000.0,1193100000.0,1132299000.0,60801000.0,0.1102,0.95,-89242000.0,1103858000.0,1043057000.0,60801000.0,,38340000.0,,,6572643000.0,,,,,,2019q4
166768,601077.XSHG,2020-03-31,2020-04-25,2020-03-31,6969586000.0,6969586000.0,5930487000.0,,709336000.0,2997782000.0,,,,,0.0,0.0,,0.0,57031000.0,,1750552000.0,,,156847000.0,155148000.0,,14060000.0,3971804000.0,2256000.0,20828000.0,,3953232000.0,808930000.0,3144302000.0,3079565000.0,64737000.0,0.27,0.27,249487000.0,3393789000.0,3329052000.0,64737000.0,,196000.0,3144302000.0,,1190199000.0,,,,,,2020q1
189163,601077.XSHG,2020-06-30,2020-08-27,2020-06-30,6956007000.0,6956007000.0,6085897000.0,,734597000.0,4525362000.0,,,,,0.0,0.0,,0.0,79467000.0,,1922433000.0,,,-143724000.0,264866000.0,,6202000.0,2430645000.0,24119000.0,8156000.0,,2446608000.0,325776000.0,2120832000.0,2103141000.0,17691000.0,0.1867,0.19,-279936000.0,1840896000.0,1823205000.0,17691000.0,,4548000.0,2120832000.0,,3713661000.0,,,,,,2020q2
193691,601077.XSHG,2020-09-30,2020-10-30,2020-09-30,7071936000.0,7071936000.0,6196402000.0,,711187000.0,3905647000.0,,,,,0.0,0.0,,0.0,53940000.0,,1905778000.0,,,-4804000.0,162431000.0,,-19331000.0,3166289000.0,4516000.0,11403000.0,,3159402000.0,480628000.0,2678774000.0,2586173000.0,92601000.0,0.2264,0.22,-433370000.0,2245404000.0,2152803000.0,92601000.0,,20042000.0,2678774000.0,,5659590000.0,,,,,,2020q3
198869,601077.XSHG,2020-12-31,2021-03-31,2020-12-31,7188647000.0,7188647000.0,6036084000.0,,747744000.0,6690322000.0,,,,,0.0,0.0,,0.0,83205000.0,,2057027000.0,,1087000.0,-127818000.0,346656000.0,,-35922000.0,498325000.0,14090000.0,8864000.0,,503551000.0,-117314000.0,620865000.0,632318000.0,-11453000.0,0.0557,0.06,219963000.0,840828000.0,852281000.0,-11453000.0,,71550000.0,620865000.0,,10208593000.0,,,,,,2020q4
205330,601077.XSHG,2021-03-31,2021-04-30,2021-03-31,7487010000.0,7487010000.0,6527204000.0,,586659000.0,3438193000.0,,,,,0.0,0.0,,0.0,52544000.0,,1955418000.0,,,-12857000.0,277878000.0,,16580000.0,4048817000.0,3740000.0,3580000.0,,4048977000.0,748032000.0,3300945000.0,3248349000.0,52596000.0,0.29,0.29,60823000.0,3361768000.0,3309172000.0,52596000.0,,9036000.0,3300945000.0,,1430231000.0,,,,,,2021q1
208830,601077.XSHG,2021-06-30,2021-08-26,2021-06-30,7685446000.0,7685446000.0,6576777000.0,,675870000.0,4719271000.0,,,,,0.0,0.0,,0.0,97990000.0,,2098553000.0,,,144035000.0,174330000.0,,-11991000.0,2966175000.0,4520000.0,5686000.0,,2965009000.0,448067000.0,2516942000.0,2484901000.0,32041000.0,0.2167,0.21,48677000.0,2565619000.0,2533578000.0,32041000.0,,9527000.0,2516942000.0,,3952959000.0,,,,,,2021q2
