id,code,statDate,pubDate,statDate.1,goods_sale_and_service_render_cash,net_deposit_increase,net_borrowing_from_central_bank,net_borrowing_from_finance_co,net_original_insurance_cash,net_cash_received_from_reinsurance_business,net_insurer_deposit_investment,net_deal_trading_assets,interest_and_commission_cashin,net_increase_in_placements,net_buyback,tax_levy_refund,other_cashin_related_operate,subtotal_operate_cash_inflow,goods_and_services_cash_paid,net_loan_and_advance_increase,net_deposit_in_cb_and_ib,original_compensation_paid,handling_charges_and_commission,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_withdrawal_cash,invest_proceeds,fix_intan_other_asset_dispo_cash,net_cash_deal_subcompany,other_cash_from_invest_act,subtotal_invest_cash_inflow,fix_intan_other_asset_acqui_cash,invest_cash_paid,impawned_loan_net_increase,net_cash_from_sub_company,other_cash_to_invest_act,subtotal_invest_cash_outflow,net_invest_cash_flow,cash_from_invest,cash_from_mino_s_invest_sub,cash_from_borrowing,cash_from_bonds_issue,other_finance_act_cash,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,proceeds_from_sub_to_mino_s,other_finance_act_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end,requested_period
96746,002142.XSHE,2016-09-30,2016-10-22,2016-09-30,,-33836992512.0,-5800000000.0,,,,,,5798532096.0,12831462400.0,,,8935573504.0,-12071425024.0,,10885309440.0,6215047168.0,,4364682752.0,,772390976.0,355710016.0,222314000.0,-4932418048.0,-7139006976.0,42863616000.0,4605563904.0,,,242000.0,47469424640.0,253412992.0,44706996224.0,,,-924000.0,44959485952.0,2509936896.0,,,,,,,7120000000.0,2133006976.0,,,9253007360.0,-9253007360.0,13752000.0,-13868324864.0,,-13868324864.0,2016q3
104985,002142.XSHE,2016-12-31,2017-04-28,2016-12-31,,17195188224.0,24299999232.0,,,,,,5503094784.0,-10014318592.0,,,-11971085312.0,25012879360.0,,11140230144.0,3463706112.0,,-822857984.0,,938115968.0,1415261056.0,-14390384640.0,1044070016.0,23968808960.0,3507335200768.0,24408983552.0,,,372000.0,3531744477184.0,920006016.0,3521111392256.0,,,,3522031517696.0,9713097728.0,,,,226939994112.0,,226939994112.0,234780000256.0,2757412096.0,,,237537411072.0,-10597411840.0,-325748000.0,22758746112.0,,22758746112.0,2016q4
104823,002142.XSHE,2017-03-31,2017-04-28,2017-03-31,,19814674432.0,1500000000.0,,,,,,6206899200.0,8958769152.0,,,119321000.0,37055307776.0,,11766392832.0,,,3738326016.0,,2356569088.0,496039008.0,6979329024.0,25336655872.0,11718652928.0,77367787520.0,4621514752.0,,,,81989304320.0,172119008.0,119836033024.0,,,134000.0,120008286208.0,-38018985984.0,199998000.0,,,24899000320.0,,25098997760.0,,,,,,25098997760.0,-39100000.0,-1240435968.0,51735867392.0,50495430656.0,2017q1
106538,002142.XSHE,2017-06-30,2017-08-18,2017-06-30,,11590173696.0,-1500000000.0,,,,,,6577559040.0,-8958769152.0,,,1141836032.0,8395154944.0,,14980303872.0,537368000.0,,4954557952.0,,1015958976.0,816417024.0,215892992.0,40334422016.0,-31939264512.0,102357155840.0,4223771904.0,,,81821000.0,106662748160.0,111417000.0,110192181248.0,,,-134000.0,110303461376.0,-3640717056.0,299988000.0,,,24960999424.0,,25260988416.0,,752200000.0,,,752200000.0,24508788736.0,-68528000.0,-11139722240.0,50495430656.0,39355711488.0,2017q2
110490,002142.XSHE,2017-09-30,2017-10-27,2017-09-30,,17895000.0,,,,,,,6430794000.0,,,,15742729000.0,24018666000.0,,2442022000.0,-537368000.0,,5029348000.0,,854202000.0,636112000.0,11192983000.0,23259977000.0,758689000.0,84419200000.0,4069595000.0,,,-81821000.0,88406974000.0,625093000.0,88302844000.0,,,360316000.0,89288253000.0,-881279000.0,-499986000.0,,,680000000.0,,180014000.0,,1763628000.0,,,1763628000.0,-1583614000.0,-85989000.0,-1792193000.0,39355710000.0,37563517000.0,2017q3
116812,002142.XSHE,2017-12-31,2018-03-29,2017-12-31,,21953444000.0,,,,,,,7865498000.0,29961600000.0,,,-9385638000.0,49412616000.0,,16004839000.0,,,1037362000.0,,1095183000.0,1390048000.0,-9621119000.0,11949714000.0,37462902000.0,2931493059000.0,8518924000.0,,,203944000.0,2940215927000.0,89541000.0,2977813210000.0,,,-360316000.0,2977542435000.0,-37326508000.0,1895254000.0,,,405960000000.0,,407855254000.0,395930000000.0,5880519000.0,,,401810519000.0,6044735000.0,400403000.0,6581532000.0,37563517000.0,44145049000.0,2017q4
125880,002142.XSHE,2018-03-31,2018-04-28,2018-03-31,,58726063000.0,,,,,,,6735603000.0,,,,17688900000.0,83150566000.0,,17031207000.0,4636239000.0,,5503812000.0,,2562342000.0,124041000.0,19663488000.0,82387707000.0,762859000.0,293632905000.0,3583373000.0,,,,297216278000.0,1731904000.0,282488209000.0,,,1267820000.0,285487933000.0,11728345000.0,,,,116370000000.0,,116370000000.0,121690000000.0,,,,121690000000.0,-5320000000.0,-178446000.0,6992758000.0,44145049000.0,51137807000.0,2018q1
128444,002142.XSHE,2018-06-30,2018-08-22,2018-06-30,,3974515000.0,4000000000.0,,,,,,6520886000.0,,,,-10678302000.0,3817099000.0,,15860086000.0,-3947665000.0,,6061823000.0,,1303322000.0,2326137000.0,-226888000.0,42703366000.0,-38886267000.0,78510685000.0,4479260000.0,,,,82989945000.0,-99680000.0,92178853000.0,,,222576000.0,92301749000.0,-9311804000.0,,,,51630000000.0,,51630000000.0,7930141000.0,752763000.0,,,8682904000.0,42947096000.0,268437000.0,-4982538000.0,51137807000.0,46155269000.0,2018q2
134579,002142.XSHE,2018-09-30,2018-10-30,2018-09-30,,-1332374000.0,9000000000.0,,,,,,7262168000.0,,,,-3469561000.0,11631463000.0,,24174949000.0,,,5109758000.0,,936262000.0,55393000.0,-1624496000.0,39877923000.0,-28246460000.0,85801484000.0,5609694000.0,,,,91411178000.0,426179000.0,73197665000.0,,,6469000.0,73630313000.0,17780865000.0,,,,11520000000.0,,11520000000.0,9999859000.0,2426507000.0,,,12426366000.0,-906366000.0,196222000.0,-11175739000.0,46155269000.0,34979530000.0,2018q3
137136,002142.XSHE,2018-12-31,2019-03-30,2018-12-31,,22768970000.0,0.0,,,,,,10367373000.0,,,,5341874000.0,39140466000.0,,25211049000.0,,,-1717372000.0,,1376657000.0,1766145000.0,-10249556000.0,23749745000.0,15390721000.0,4385494003000.0,3459396000.0,,,,4389340964000.0,-767916000.0,4418621284000.0,,,,4416356503000.0,-27015539000.0,,,,272750000000.0,,282936457000.0,273625942000.0,7039426000.0,,,280665368000.0,2271089000.0,-52586000.0,-9406315000.0,34979530000.0,25573215000.0,2018q4
