id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,requested_period
103148,601128.XSHG,2016-09-30,2016-10-28,2016-09-30,0.12,246936703.21,312350000.0,41870000.0,2.7,2.69,0.2,22.12,,69.09,30.91,22.12,,31.7,,87.89,11.78,99.88,,227.95,836.33,28.42,3.22,28.42,3.22,-6.63,19.73,3.23,1.06,4.14,1.23,2016q3
105324,601128.XSHG,2016-12-31,2017-03-31,2016-12-31,0.1194,259206000.0,220985000.0,39118000.0,2.71,2.64,0.2,20.37,,78.79,21.21,20.37,,45.37,,81.63,14.45,97.67,,71.42,396.11,11.44,6.95,11.44,6.95,1.57,-26.6,5.04,-1.53,12.21,7.35,2016q4
108926,601128.XSHG,2017-03-31,2017-04-28,2017-03-31,0.1423,307390016.0,400796992.0,11721000.0,3.17,3.0805,0.2505,29.2716,,64.0018,35.9982,29.2716,,38.5956,,93.0442,2.721,97.1769,,-106.89,-305.6151,15.3709,-6.5011,15.3709,-6.5011,9.4532,58.665,11.564,34.3739,11.5126,19.1866,2017q1
110873,601128.XSHG,2017-06-30,2017-08-11,2017-06-30,0.1146,254652992.0,256806000.0,51034000.0,2.5483,2.5485,0.1935,22.1412,,73.5926,26.4074,22.1412,,35.2548,,80.456,15.9887,100.0075,,-352.23199999999997,-1667.9236,9.5326,6.1183,9.5326,6.1183,8.5468,-22.1542,7.3377,-19.7314,4.265,-19.5011,2017q2
115497,601128.XSHG,2017-09-30,2017-10-27,2017-09-30,0.15,323134000.0,453482000.0,8107000.0,3.2152,3.2197,0.2368,26.6519,,62.6427,37.3573,26.6519,,35.2315,,96.69,1.7285,100.1385,,-60.4617,-167.5637,9.6687,3.3491,9.6687,3.3491,32.5426,46.2031,32.1268,24.4038,30.5236,26.7258,2017q3
121797,601128.XSHG,2017-12-31,2018-03-31,2017-12-31,0.1668,365904000.0,357706000.0,50161000.0,3.5883,3.5423,0.2652,27.74,,67.0158,32.9842,27.74,,39.3105,,79.6437,11.1684,98.7185,,-31.0097,-119.4559,12.4149,9.642000000000001,12.4149,9.642000000000001,74.7083,-3.1928,53.1263,14.1183,39.6592,14.8649,2017q4
125817,601128.XSHG,2018-03-31,2018-04-27,2018-03-31,0.1662,368790000.0,488001000.0,8582000.0,3.3566,3.3517,0.2691,31.0899,,60.0799,39.9201,31.0899,,38.5331,,94.6608,1.6647,99.8538,,500.548,1322.3784,12.5041,-6.4391,12.5041,-6.4391,24.7611,13.2347,19.4929,4.8594,16.7583,-0.3572,2018q1
129587,601128.XSHG,2018-06-30,2018-08-24,2018-06-30,0.1538,345828000.0,315110000.0,115658000.0,2.95,2.98,0.24,25.51,,69.58,30.42,25.51,,34.03,,71.92,26.4,101.18,,-95.32,-440.94,19.87,13.07,19.87,13.07,38.07,-13.85,38.13,-7.21,34.23,-7.45,2018q2
131977,601128.XSHG,2018-09-30,2018-10-23,2018-09-30,0.18,407029000.0,498983000.0,80913000.0,3.44,3.42,0.26,28.32,,61.08,38.92,28.32,,33.75,,83.49,13.54,99.56,,-265.29,-814.98,21.97,5.16,21.97,5.16,27.06,34.55,29.6,16.73,26.69,19.61,2018q3
244310,601128.XSHG,2018-12-31,2019-04-26,2018-12-31,0.1618,365401000.0,329186000.0,53337000.0,2.93,2.93,0.23,24.48,,72.45,27.55,24.48,,39.85,,77.32,12.53,99.83,,29.03,136.15,12.04,0.71,12.04,0.71,-6.44,-28.71,-1.13,-12.94,-1.25,-10.47,2018q4
