id,code,statDate,pubDate,statDate.1,total_operating_revenue,operating_revenue,interest_income,premiums_earned,commission_income,total_operating_cost,operating_cost,interest_expense,commission_expense,refunded_premiums,net_pay_insurance_claims,withdraw_insurance_contract_reserve,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,sale_expense,administration_expense,financial_expense,asset_impairment_loss,fair_value_variable_income,investment_income,invest_income_associates,exchange_income,operating_profit,non_operating_revenue,non_operating_expense,disposal_loss_non_current_liability,total_profit,income_tax_expense,net_profit,np_parent_company_owners,minority_profit,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,rd_expenses,asset_deal_income,sust_operate_net_profit,discon_operate_net_profit,credit_impairment_loss,net_open_hedge_income,interest_cost_fin,interest_income_fin,other_earnings,other_composite_income_mino_at,requested_period
100793,601128.XSHG,2016-09-30,2016-10-28,2016-09-30,1145978524.81,1145978524.81,1030233481.24,,73677860.63,791753432.51,,,,,0.0,0.0,,0.0,5659649.36,,363296111.6,,1032254000.0,-746333.03,38410925.48,4000434.3,4205322.3,354225092.3,2712414.53,1549714.8,,355387792.03,101876121.04,253511670.99,247226111.41,6285559.58,0.1244,0.13,44594011.16,298105682.15,291820122.57,6285559.58,,,,,,,,,,,2016q3
102988,601128.XSHG,2016-12-31,2017-03-31,2016-12-31,1225620000.0,1225620000.0,1094413000.0,,91461000.0,965627000.0,,,,,0.0,0.0,,0.0,-1930000.0,,556059000.0,,1443862000.0,-4046000.0,37332000.0,9202000.0,5832000.0,259993000.0,12919000.0,2190000.0,,270722000.0,21094000.0,249628000.0,265399000.0,-15771000.0,0.1301,0.12,-179509000.0,70119000.0,85890000.0,-15771000.0,,,,,,,,,,,2016q4
106594,601128.XSHG,2017-03-31,2017-04-28,2017-03-31,1145941000.0,1145941000.0,1040280000.0,,90651000.0,733423000.0,,,,,0.0,0.0,,0.0,9419000.0,,442283000.0,,281721000.0,-473000.0,8881000.0,8000000.0,3313000.0,412518000.0,18428000.0,186000.0,,430760000.0,95325000.0,335435000.0,316320000.0,19115000.0,0.14,0.14,-67150000.0,268285000.0,249170000.0,19115000.0,,,,,,,,,,,2017q1
108551,601128.XSHG,2017-06-30,2017-08-11,2017-06-30,1216053000.0,1216053000.0,1054832000.0,,94115000.0,894925000.0,,,,,0.0,0.0,,0.0,9401000.0,,428717000.0,,738528000.0,-1090000.0,48491000.0,15200000.0,3633000.0,321128000.0,2395000.0,4335000.0,,319188000.0,49939000.0,269249000.0,254634000.0,14615000.0,0.11599999999999999,0.12,-76135000.0,193114000.0,178499000.0,14615000.0,,,,,,,,,,,2017q2
113163,601128.XSHG,2017-09-30,2017-10-27,2017-09-30,1256780000.0,1256780000.0,1079053000.0,,107905000.0,787281000.0,,,,,0.0,0.0,,0.0,10366000.0,,442783000.0,,1072660000.0,394000.0,3267000.0,8800000.0,4446000.0,469499000.0,1527000.0,2020000.0,,469006000.0,134050000.0,334956000.0,322687000.0,12269000.0,0.1444,0.14,-11158000.0,323798000.0,311529000.0,12269000.0,,,,,,,,,7910000.0,,2017q3
119492,601128.XSHG,2017-12-31,2018-03-31,2017-12-31,1377959000.0,1377959000.0,1149809000.0,,131270000.0,923450000.0,,,,,0.0,0.0,,0.0,10871000.0,,541682000.0,,1442997000.0,-1273000.0,47339000.0,7000000.0,4095000.0,454509000.0,3115000.0,8491000.0,,449133000.0,66887000.0,382246000.0,370654000.0,11592000.0,0.1671,0.17,-93529000.0,288717000.0,277125000.0,11592000.0,,,,,,,,,33317000.0,,2017q4
123702,601128.XSHG,2018-03-31,2018-04-27,2018-03-31,1289231000.0,1289231000.0,1135745000.0,,124860000.0,774569000.0,,,,,0.0,0.0,,0.0,8794000.0,,496781000.0,,267094000.0,1101000.0,5069000.0,12400000.0,2412000.0,514662000.0,1601000.0,737000.0,,515526000.0,114705000.0,400821000.0,369330000.0,31491000.0,0.17,0.16,50196000.0,451017000.0,419526000.0,31491000.0,,,400821000.0,,,,,,16179000.0,,2018q1
127462,601128.XSHG,2018-06-30,2018-08-24,2018-06-30,1457691000.0,1457691000.0,1221520000.0,,104391000.0,1014318000.0,,,,,0.0,0.0,,0.0,9784000.0,,496060000.0,,775567000.0,9824000.0,98778000.0,7600000.0,7056000.0,443373000.0,1348000.0,6603000.0,,438118000.0,66213000.0,371905000.0,341802000.0,30103000.0,0.1538,0.12,162863000.0,534768000.0,504665000.0,30103000.0,,,371905000.0,,,,,,12603000.0,,2018q2
130016,601128.XSHG,2018-09-30,2018-10-23,2018-09-30,1532874000.0,1532874000.0,1363029000.0,,71434000.0,936329000.0,,,,,0.0,0.0,,0.0,9479000.0,,517359000.0,,1185058000.0,-4110000.0,76826000.0,18000000.0,8197000.0,596545000.0,3141000.0,2040000.0,,597646000.0,163538000.0,434108000.0,408816000.0,25292000.0,0.1825,0.16,95003000.0,529111000.0,503819000.0,25292000.0,,1151000.0,434108000.0,,,,,,15498000.0,,2018q3
145841,601128.XSHG,2018-12-31,2019-04-26,2018-12-31,1543821000.0,1543821000.0,1379043000.0,,66366000.0,1118568000.0,,,,,0.0,0.0,,0.0,9732000.0,,615259000.0,,1678636000.0,-2860000.0,50137000.0,3400000.0,6060000.0,425253000.0,4032000.0,3546000.0,,425739000.0,47824000.0,377915000.0,366016000.0,11899000.0,0.165,0.14,141169000.0,519084000.0,507185000.0,11899000.0,,14000.0,377915000.0,,,,,,42717000.0,,2018q4
