id,code,statDate,pubDate,statDate.1,goods_sale_and_service_render_cash,net_deposit_increase,net_borrowing_from_central_bank,net_borrowing_from_finance_co,net_original_insurance_cash,net_cash_received_from_reinsurance_business,net_insurer_deposit_investment,net_deal_trading_assets,interest_and_commission_cashin,net_increase_in_placements,net_buyback,tax_levy_refund,other_cashin_related_operate,subtotal_operate_cash_inflow,goods_and_services_cash_paid,net_loan_and_advance_increase,net_deposit_in_cb_and_ib,original_compensation_paid,handling_charges_and_commission,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_withdrawal_cash,invest_proceeds,fix_intan_other_asset_dispo_cash,net_cash_deal_subcompany,other_cash_from_invest_act,subtotal_invest_cash_inflow,fix_intan_other_asset_acqui_cash,invest_cash_paid,impawned_loan_net_increase,net_cash_from_sub_company,other_cash_to_invest_act,subtotal_invest_cash_outflow,net_invest_cash_flow,cash_from_invest,cash_from_mino_s_invest_sub,cash_from_borrowing,cash_from_bonds_issue,other_finance_act_cash,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,proceeds_from_sub_to_mino_s,other_finance_act_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end,requested_period
98389,601128.XSHG,2016-09-30,2016-10-28,2016-09-30,,-638277312.0,-136000000.0,,,,,,1849329664.0,4187897856.0,,,183112016.0,5446062080.0,,1683746432.0,78745296.0,,676401792.0,,196388768.0,84818472.0,113692848.0,2833793536.0,2612268544.0,193794801664.0,50543760.0,,,379067.5312,193845739520.0,149913152.0,197168021504.0,,,,197317935104.0,-3472210176.0,929222784.0,3532768.0,,11411718144.0,,12340940800.0,12740964352.0,-432537.2812,,14611000.0,12755142656.0,-414202368.0,2319613.5,-1271824256.0,214.94,-1271824128.0,2016q3
100581,601128.XSHG,2016-12-31,2017-03-31,2016-12-31,,1799080960.0,960000000.0,,,,,,1782078976.0,318160992.0,,,-241955008.0,4617366016.0,,2840880128.0,182556000.0,,252324992.0,,198492992.0,102564000.0,165206000.0,3742023936.0,875342016.0,146223300608.0,4151000.0,,,37000.0,146227494912.0,271862016.0,146498895872.0,,,,146770755584.0,-543257984.0,1400000.0,1400000.0,,9837065216.0,,9838465024.0,9561064448.0,433000.0,,-98000.0,9561399296.0,277065984.0,7631000.0,616780992.0,,616780992.0,2016q4
104188,601128.XSHG,2017-03-31,2017-04-28,2017-03-31,,5346839040.0,1218000000.0,,,,,,2024952960.0,-5037232128.0,,,213468000.0,3766028032.0,,2237221888.0,1002326976.0,,828166016.0,,371112992.0,127905000.0,424191008.0,4990923776.0,-1224896000.0,27202891776.0,881000.0,,,,27203772416.0,35219000.0,34172409856.0,,,,34207629312.0,-7003855872.0,1400000.0,1400000.0,,23412475904.0,,23413876736.0,16869999616.0,43500000.0,,,16913500160.0,6500376064.0,-3293000.0,-1731668992.0,8562475008.0,6830806016.0,2017q1
106146,601128.XSHG,2017-06-30,2017-08-11,2017-06-30,,928257024.0,-1755000064.0,,,,,,2230198016.0,-1356910976.0,,,138458000.0,185002000.0,,3356436992.0,-127226000.0,,684497024.0,,218280000.0,233483008.0,102859000.0,4468329984.0,-4283328000.0,55457140736.0,20927000.0,,,1000.0,55478071296.0,21523000.0,54155329536.0,,,,54176849920.0,1301218944.0,14400000.0,14400000.0,,28442927104.0,,28457328640.0,23270000640.0,408296992.0,,,23678296064.0,4779031040.0,-12036000.0,1784886016.0,6830806016.0,8615692288.0,2017q2
110818,601128.XSHG,2017-09-30,2017-10-27,2017-09-30,,-2907821000.0,1897000000.0,,,,,,2622274000.0,2106025000.0,,,598370000.0,4315848000.0,,3114612000.0,255848000.0,,1259449000.0,,207713000.0,100296000.0,137801000.0,5075719000.0,-759871000.0,23695337000.0,19764000.0,,,7000.0,23715108000.0,29219000.0,24050451000.0,,,,24079670000.0,-364562000.0,-2400000.0,-2400000.0,,20081835000.0,,20079435000.0,20020000000.0,297000.0,,,20020297000.0,59138000.0,-14892000.0,-1080187000.0,8615692000.0,7535505000.0,2017q3
117136,601128.XSHG,2017-12-31,2018-03-31,2017-12-31,,839449000.0,247000000.0,,,,,,2382554000.0,1347087000.0,,,-252053000.0,4564037000.0,,3169545000.0,635382000.0,,667198000.0,,227886000.0,188726000.0,102601000.0,4991338000.0,-427301000.0,8477579000.0,67801000.0,,,13526000.0,8558906000.0,20578000.0,10021808000.0,,,,10042386000.0,-1483480000.0,0.0,0.0,,16582325000.0,,16582325000.0,15700000000.0,803000.0,,,15700803000.0,881522000.0,-11631000.0,-1040890000.0,7535505000.0,6494615000.0,2017q4
124719,601128.XSHG,2018-03-31,2018-04-27,2018-03-31,,12312861000.0,-1966000000.0,,,,,,2158980000.0,-232005000.0,,,71032000.0,12344868000.0,,3117439000.0,1060621000.0,,895122000.0,,432181000.0,62336000.0,323949000.0,5891648000.0,6453220000.0,13538253000.0,1325000.0,,,,13539578000.0,18221000.0,13157274000.0,,,,13175495000.0,364083000.0,,,,5339890000.0,,5339890000.0,8830000000.0,52883000.0,,,8882883000.0,-3542993000.0,-18601000.0,3255709000.0,6494615000.0,9750324000.0,2018q1
128743,601128.XSHG,2018-06-30,2018-08-24,2018-06-30,,6365461000.0,703570000.0,,,,,,2582786000.0,-1306207000.0,,,37713000.0,8383323000.0,,6610558000.0,1458476000.0,,870956000.0,,240570000.0,381870000.0,210352000.0,9772782000.0,-1389459000.0,20226782000.0,47587000.0,,,1000.0,20274370000.0,8271000.0,26483514000.0,,,,26491785000.0,-6217415000.0,,,,20912880000.0,,20912880000.0,15250000000.0,403341000.0,,,15653341000.0,5259539000.0,24392000.0,-2322943000.0,9750324000.0,7427381000.0,2018q2
132621,601128.XSHG,2018-09-30,2018-10-23,2018-09-30,,-983565000.0,892000000.0,,,,,,2569759000.0,,,,-23439000.0,1606873000.0,,4591271000.0,-255995000.0,,781424000.0,,248278000.0,124849000.0,183657000.0,5673484000.0,-4066611000.0,17111577000.0,103268000.0,,,1381000.0,17216226000.0,33176000.0,17547176000.0,,,,17580352000.0,-364126000.0,,,,18774761000.0,,18778361000.0,18130000000.0,-56000.0,,,18129944000.0,648417000.0,22369000.0,-3759951000.0,7427381000.0,3667430000.0,2018q3
141554,601128.XSHG,2018-12-31,2019-04-26,2018-12-31,,-2791434000.0,121000000.0,,,,,,2411115000.0,,,,186370000.0,2556014000.0,,1033568000.0,-213528000.0,,573835000.0,,272242000.0,173992000.0,267710000.0,2107819000.0,448195000.0,12954384000.0,42630000.0,,,20941000.0,13017955000.0,30628000.0,12328414000.0,,,,12359042000.0,658913000.0,0.0,0.0,,13720291000.0,,13720291000.0,12870000000.0,50129000.0,,,12920129000.0,800162000.0,-2406000.0,1904864000.0,3667430000.0,5572294000.0,2018q4
141077,601128.XSHG,2019-03-31,2019-04-26,2019-03-31,,10145870000.0,116663000.0,,,,,,2909689000.0,490085000.0,,,199386000.0,10981935000.0,,2632375000.0,-3542613000.0,,1262362000.0,,520241000.0,117600000.0,605716000.0,5324811000.0,5657124000.0,12047656000.0,96542000.0,,,,12144198000.0,56147000.0,7634825000.0,,,,7690972000.0,4453226000.0,,,,369083000.0,,369083000.0,8370000000.0,52761000.0,,,8422761000.0,-8053678000.0,-21524000.0,2035148000.0,5572294000.0,7607442000.0,2019q1
148116,601128.XSHG,2019-06-30,2019-08-28,2019-06-30,,2451368000.0,228335000.0,,,,,,2892162000.0,1155927000.0,,,-116029000.0,8385384000.0,,8327491000.0,597223000.0,,697198000.0,,351722000.0,506098000.0,-75570000.0,5086301000.0,3299083000.0,13082601000.0,153189000.0,,,,13235965000.0,43739000.0,13824880000.0,,,,13868619000.0,-632654000.0,,,,7906260000.0,,7906260000.0,8298193000.0,509523000.0,,,8807716000.0,-901456000.0,23509000.0,1788482000.0,7607442000.0,9395924000.0,2019q2
