id,code,pubDate,statDate,total_loan,total_deposit,interest_earning_assets,non_interest_earning_assets,interest_earning_assets_yield,interest_bearing_liabilities,non_interest_bearing_liabilities,interest_bearing_liabilities_interest_rate,non_interest_income,non_interest_income_ratio,net_interest_margin,net_profit_margin,core_level_capital,net_core_level_capital,core_level_capital_adequacy_ratio,net_level_1_capital,level_1_capital_adequacy_ratio,net_capital,capital_adequacy_ratio,weighted_risky_asset,deposit_loan_ratio,short_term_asset_liquidity_ratio_CNY,short_term_asset_liquidity_ratio_FC,Nonperforming_loan_rate,single_largest_customer_loan_ratio,top_ten_customer_loan_ratio,bad_debts_reserve,non_performing_loan_provision_coverage,cost_to_income_ratio,former_core_capital,former_net_core_capital,former_net_core_capital_adequacy_ratio,former_net_capital,former_capital_adequacy_ratio,former_weighted_risky_asset,normal_amount,normal_amount_ratio,concerned_amount,concerned_amount_ratio,secondary_amount,secondary_amount_ratio,suspicious_amount,suspicious_amount_ratio,loss_amount,loss_amount_ratio,short_term_loan_average_balance,short_term_loan_annualized_average_interest_rate,mid_term_loan_annualized_average_balance,mid_term_loan_annualized_average_interest_rate,enterprise_deposits_average_balance,enterprise_deposits_average_interest_rate,savings_deposit_average_balance,savings_deposit_average_interest_rate,requested_year
110538,600000.XSHG,2015-03-19,2014-12-31,2028380000000.0,2724004000000.0,,4195924000000.0,,,3932639000000.0,0.0,24998000000.0,20.29,2.5,2.27,247473000000.0,246905000000.0,8.61,261985000000.0,9.13,324906000000.0,11.33,2868897000000.0,71.99,30.68,,1.06,1.54,11.69,53766000000.0,249.09,23.12,,,8.61,,11.86,,1963781000000.0,96.82,43014000000.0,2.12,11949000000.0,0.59,7956000000.0,0.39,1680000000.0,0.08,,,,,1745694000000.0,,447404000000.0,,2014
110609,600000.XSHG,2016-04-07,2015-12-31,2245518000000.0,2954149000000.0,,5044352000000.0,,,4725752000000.0,0.0,33541000000.0,22.89,2.45,2.26,288760000000.0,288195000000.0,8.56,318213000000.0,9.45,413741000000.0,12.29,3367834000000.0,76.0123,34.06,,1.56,1.43,10.87,74105000000.0,211.4,21.78,,,,,,,2145796000000.0,95.56,64668000000.0,2.88,19823000000.0,0.89,9542000000.0,0.42,5689000000.0,0.25,1113321000000.0,5.87,990533000000.0,6.06,2047800000000.0,,480267000000.0,,2015
110515,600000.XSHG,2017-04-01,2016-12-31,2762806000000.0,3002015000000.0,5340698000000.0,516565000000.0,4.02,4991874000000.0,492455000000.0,2.14,52672000000.0,32.76,2.03,1.89,340728000000.0,330696000000.0,8.53,360799000000.0,9.02,451681000000.0,11.37,3878740000000.0,92.0317,37.67,,1.89,1.58,10.93,88249000000.0,169.13,23.16,,,,,,,2605124000000.0,94.29,105504000000.0,3.82,20625000000.0,0.75,15781000000.0,0.57,15772000000.0,0.57,1166830000000.0,4.92,1229904000000.0,4.82,,,,,2016
110759,600000.XSHG,2018-04-28,2017-12-31,3194600000000.0,3037936000000.0,5746915000000.0,390325000000.0,4.28,5493769000000.0,212486000000.0,2.53,61707000000.0,36.6,1.86,1.75,398143000000.0,388200000000.0,9.5,418425000000.0,10.24,490884000000.0,12.02,4084499000000.0,105.1569,58.87,,2.14,2.13,12.43,90747000000.0,132.44,24.34,,,,,,,3021194000000.0,94.57,104887000000.0,3.29,26076000000.0,0.81,26860000000.0,0.84,15583000000.0,0.49,,,,,1424617000000.0,1.05,1429811000000.0,5.12,2017
110772,600000.XSHG,2019-03-26,2018-12-31,3598474000000.0,3253315000000.0,5769971000000.0,519635000000.0,4.64,5613262000000.0,197964000000.0,2.77,59021000000.0,34.8,2.13,2.06,444926000000.0,435120000000.0,10.09,465398000000.0,10.79,589308000000.0,13.67,4311886000000.0,110.6095,56.05,,1.9,1.75,10.18,105421000000.0,156.08,24.9,,,,,,,3376345000000.0,95.13,104717000000.0,2.95,27784000000.0,0.78,19063000000.0,0.54,21296000000.0,0.6,,,,,,,,,2018
110926,600000.XSHG,2020-04-25,2019-12-31,4025901000000.0,3661842000000.0,6186865000000.0,819064000000.0,4.81,6025301000000.0,419577000000.0,2.54,61838000000.0,32.43,2.34,2.27,496289000000.0,485260000000.0,10.26,545555000000.0,11.53,655695000000.0,13.86,4731354000000.0,109.94200000000001,52.18,,2.03,1.48,8.6,110179000000.0,134.94,22.58,,,,,,,3790250000000.0,95.42,100483000000.0,2.53,39667000000.0,1.0,22201000000.0,0.56,19485000000.0,0.49,,,,,2553591000000.0,3.99,776096000000.0,4.0,2019
110986,600000.XSHG,2021-03-27,2020-12-31,4533973000000.0,4122407000000.0,6859766000000.0,1090452000000.0,4.3,6701999000000.0,602402000000.0,2.33,57803000000.0,29.43,2.02,1.97,530953000000.0,519268000000.0,9.51,629653000000.0,11.54,798859000000.0,14.64,5458504000000.0,109.9836,46.0,,1.73,1.31,8.49,119321000000.0,152.77,23.78,,,,,,,4338449000000.0,95.69,117063000000.0,2.58,33191000000.0,0.73,27480000000.0,0.61,17790000000.0,0.39,,,,,,,,,2020
111125,600000.XSHG,2022-04-28,2021-12-31,4786040000000.0,4463608000000.0,,8136757000000.0,4.06,,7458539000000.0,2.29,55024000000.0,28.81,1.83,1.77,563849000000.0,548486000000.0,9.4,658929000000.0,11.29,817715000000.0,14.01,5835947000000.0,107.2236,49.94,,1.61,1.69,11.47,110343000000.0,143.96,26.17,,,,,,,4605516000000.0,96.22,103695000000.0,2.17,35937000000.0,0.75,23222000000.0,0.49,17670000000.0,0.37,,,,,3235034000000.0,,981370000000.0,,2021
111362,600000.XSHG,2023-04-19,2022-12-31,4900662000000.0,4893812000000.0,7572982000000.0,1131669000000.0,3.96,7395544000000.0,602332000000.0,2.24,54953000000.0,29.1339,1.77,1.72,590209000000.0,568299000000.0,9.19,678802000000.0,10.98,843761000000.0,13.65,6182036000000.0,100.14,50.67,,1.52,2.54,12.76,118083000000.0,159.04,27.89,,,,,,,4718603000000.0,96.29,107440000000.0,2.19,34688000000.0,0.71,25813000000.0,0.52,14118000000.0,0.29,,,,,3494069000000.0,,1116721000000.0,,2022
112107,600000.XSHG,2024-04-30,2023-12-31,5017754000000.0,4984630000000.0,7787347000000.0,1219900000000.0,3.82,7691213000000.0,583150000000.0,2.33,54999000000.0,31.7118,1.52,1.49,617628000000.0,597925000000.0,8.97,708482000000.0,10.63,844452000000.0,12.67,6667213000000.0,100.6645,50.62,,1.48,3.05,14.71,128424000000.0,173.51,29.65,,,,,,,4826437000000.0,96.19,117119000000.0,2.33,24640000000.0,0.49,22353000000.0,0.45,27205000000.0,0.54,,,,,3520061000000.0,4.26,1364175000000.0,3.09,2023
