id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,operating_revenue,interest_net_revenue,interest_income,interest_expense,commission_net_income,commission_income,commission_expense,agent_security_income,sell_security_income,manage_income,premiums_earned,assurance_income,premiums_income,premiums_expense,prepare_money,investment_income,invest_income_associates,fair_value_variable_income,exchange_income,other_income,operation_expense,refunded_premiums,compensate_loss,compensation_back,insurance_reserve,insurance_reserve_back,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,commission_expense2,operation_manage_fee,separate_fee,asset_impairment_loss,other_cost,operating_profit,subsidy_income,non_operating_revenue,non_operating_expense,other_items_influenced_profit,total_profit,income_tax_expense,other_influence_net_profit,net_profit,np_parent_company_owners,minority_profit,eps,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,other_earnings,asset_deal_income,sust_operate_net_profit,discon_operate_net_profit,credit_impairment_loss
7351,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2019-08-24,2019-01-01,2019-06-30,2019-06-30,0,321003,定期报告,25150585000.0,14293675000.0,37748607000.0,23454932000.0,3404260000.0,3753694000.0,349434000.0,,,,,,,,,5926999000.0,,1559064000.0,-133394000.0,70697000.0,13145829000.0,,,,,,,,225731000.0,,4613373000.0,,,625000.0,12004756000.0,,98112000.0,34310000.0,,12068558000.0,1328873000.0,,10739685000.0,10713567000.0,26118000.0,,0.75,0.75,496321000.0,11236006000.0,11209888000.0,26118000.0,29561000.0,-277000.0,,,8306100000.0
7516,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2019-10-26,2019-01-01,2019-09-30,2019-09-30,0,321003,定期报告,37881297000.0,22021086000.0,57883092000.0,35862006000.0,4957640000.0,5519902000.0,562262000.0,,,,,,,,,8578986000.0,,1945908000.0,233804000.0,94698000.0,19584442000.0,,,,,,,,347536000.0,,7057249000.0,,,981000.0,18296855000.0,,188945000.0,49784000.0,,18436016000.0,2039902000.0,,16396114000.0,16359160000.0,36954000.0,,1.15,1.15,883227000.0,17279341000.0,17242387000.0,36954000.0,50144000.0,-969000.0,,,12178676000.0
7934,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2020-04-25,2019-01-01,2019-12-31,2019-12-31,0,321003,定期报告,49800292000.0,30320609000.0,78611095000.0,48290486000.0,6567199000.0,7408355000.0,841156000.0,,,,,,,,,11075168000.0,,1363173000.0,306655000.0,109209000.0,27569879000.0,,,,,,,,470956000.0,,9948556000.0,,,1266000.0,22230413000.0,,240460000.0,93784000.0,,22377089000.0,2044230000.0,,20332859000.0,20297588000.0,35271000.0,,1.36,1.36,1409140000.0,21741999000.0,21706728000.0,35271000.0,66764000.0,-8485000.0,20332859000.0,,17149101000.0
8052,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2020-04-29,2020-01-01,2020-03-31,2020-03-31,0,321003,定期报告,13085767000.0,8215478000.0,20472947000.0,12257469000.0,1934035000.0,2068289000.0,134254000.0,,,,,,,,,2157964000.0,,1232639000.0,-467604000.0,11964000.0,7442979000.0,,,,,,,,132275000.0,,2091756000.0,,,248000.0,5642788000.0,,53624000.0,23080000.0,,5673332000.0,428339000.0,,5244993000.0,5237204000.0,7789000.0,,0.37,0.37,353644000.0,5598637000.0,5590848000.0,7789000.0,944000.0,347000.0,5244993000.0,,5218700000.0
8308,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2020-08-22,2020-01-01,2020-06-30,2020-06-30,0,321003,定期报告,25411782000.0,17046696000.0,40929289000.0,23882593000.0,3688959000.0,4018852000.0,329893000.0,,,,,,,,,5026385000.0,,-276120000.0,-146999000.0,25714000.0,13222203000.0,,,,,,,,266803000.0,,4376578000.0,,,146000.0,12189579000.0,,102562000.0,36772000.0,,12255369000.0,1107243000.0,,11148126000.0,11131242000.0,16884000.0,,0.78,0.78,491004000.0,11639130000.0,11622246000.0,16884000.0,47179000.0,-32000.0,11148126000.0,,8578676000.0
8483,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2020-10-24,2020-01-01,2020-09-30,2020-09-30,0,321003,定期报告,37535511000.0,26094874000.0,61675147000.0,35580273000.0,5320742000.0,5915814000.0,595072000.0,,,,,,,,,6595712000.0,,-54267000.0,-522549000.0,41241000.0,21649566000.0,,,,,,,,406539000.0,,6648293000.0,,,251000.0,15885945000.0,,148561000.0,39454000.0,,15995052000.0,918294000.0,,15076758000.0,15051909000.0,24849000.0,,1.06,1.06,738035000.0,15814793000.0,15789944000.0,24849000.0,60042000.0,-284000.0,15076758000.0,,14594483000.0
9128,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2021-04-24,2020-01-01,2020-12-31,2020-12-31,0,321003,定期报告,50746123000.0,36394280000.0,84185991000.0,47791711000.0,5608546000.0,6338962000.0,730416000.0,,,,,,,,,8066980000.0,,1363876000.0,-824509000.0,56624000.0,28424744000.0,,,,,,,,543217000.0,,9607345000.0,,,449000.0,22321379000.0,,184338000.0,95788000.0,,22409929000.0,1495058000.0,,20914871000.0,20885062000.0,29809000.0,,1.4,1.4,-473173000.0,20441698000.0,20411889000.0,29809000.0,86329000.0,-6003000.0,20914871000.0,,18273733000.0
13251,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2021-04-30,2021-01-01,2021-03-31,2021-03-31,0,321003,定期报告,13821572000.0,9381602000.0,21873593000.0,12491991000.0,1957416000.0,2086204000.0,128788000.0,,,,,,,,,1468643000.0,,1237553000.0,-245162000.0,13824000.0,7698272000.0,,,,,,,,147098000.0,,2382097000.0,,,416000.0,6123300000.0,,8595000.0,10815000.0,,6121080000.0,557880000.0,,5563200000.0,5553711000.0,9489000.0,,0.39,0.37,-1436622000.0,4126578000.0,4116775000.0,9803000.0,8183000.0,-487000.0,5563200000.0,,5168661000.0
13326,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2021-08-20,2021-01-01,2021-06-30,2021-06-30,0,321003,定期报告,27704556000.0,19138091000.0,44648847000.0,25510756000.0,4290570000.0,4538211000.0,247641000.0,,,,,,,,,3384653000.0,,1101842000.0,-268214000.0,28329000.0,14178571000.0,,,,,,,,289283000.0,,5145211000.0,,,1025000.0,13525985000.0,,37347000.0,28456000.0,,13534876000.0,1237522000.0,,12297354000.0,12278102000.0,19252000.0,,0.86,0.8,-1097480000.0,11199874000.0,11180308000.0,19566000.0,31126000.0,-1841000.0,12297354000.0,,8743052000.0
13549,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2021-10-28,2021-01-01,2021-09-30,2021-09-30,0,321003,定期报告,41455916000.0,28885865000.0,67723058000.0,38837193000.0,6090224000.0,6501271000.0,411047000.0,,,,,,,,,6240292000.0,,462434000.0,-309365000.0,38295000.0,23606537000.0,,,,,,,,437473000.0,,7911619000.0,,,1127000.0,17849379000.0,,52048000.0,56811000.0,,17844616000.0,1173096000.0,,16671520000.0,16644310000.0,27210000.0,,1.17,1.07,-938819000.0,15732701000.0,15705177000.0,27524000.0,50141000.0,-1970000.0,16671520000.0,,15256318000.0
