id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,deposit_in_ib,cash_equivalents,deposit_client,cash_in_cb,settlement_provi,settlement_provi_client,metal,lend_capital,fairvalue_fianancial_asset,other_grow_asset,bought_sellback_assets,interest_receivable,insurance_receivables,recover_receivable,separate_receivable,not_time_fund,not_decide_fund,response_fund,health_fund,margin_loan,deposit_period,loan_and_advance,margin_out,agent_asset,investment_reveiable,advance_payment,hold_for_sale_assets,hold_to_maturity_investments,longterm_equity_invest,finance_out,capital_margin_out,investment_property,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_cash_flow,invest_withdrawal_cash,invest_proceeds,other_cash_from_invest_act,gain_from_disposal,subtotal_invest_cash_inflow,inventories,fixed_assets,constru_in_process,intangible_assets,trade_fee,long_deferred_expense,fixed_assets_liquidation,independent_account_asset,deferred_tax_assets,other_asset,total_assets,borrowing_from_centralbank,deposit_in_ib_and_other,shortterm_loan,loan_pledge,borrowing_capital,fairvalue_financial_liability,derivative_financial_liability,sold_buyback_secu_proceeds,deposit_absorb,proxy_secu_proceeds,proxy_sell_proceeds,notes_payable,advance_peceipts,insurance_receive_early,commission_payable,insurance_payable,salaries_payable,taxs_payable,interest_payable,proxy_liability,estimate_liability,compensation_payable,interest_insurance_payable,investment_money,not_time_reserve,not_decide_reserve,live_reserve,longterm_reserve,longterm_loan,bonds_payable,independent_account,deferred_tax_liability,other_liability,total_liability,paidin_capital,capital_reserve_fund,treasury_stock,surplus_reserve_fund,equities_parent_company_owners,retained_profit,minority_interests,currency_mis,total_owner_equities,total_liability_equity,perferred_share_liability,account_receivable,other_equity_tools,perferred_share_equity,pep_debt_equity,other_comprehensive_income,good_will,shortterm_loan_payable,accounts_payable,ordinary_risk_reserve_fund,contract_assets,hold_sale_asset,bond_invest,other_bond_invest,other_equity_tools_invest,contract_liability,usufruct_assets,liease_liability
1103,300022955,贵阳银行股份有限公司,601997.XSHG,601997,,,2016-10-28,2016-01-01,2016-09-30,2016-09-30,0,321003,定期报告,2731966000.0,,,36030126000.0,,,,,2372726000.0,,13220000000.0,1363772000.0,,,,,,,,,,92142680000.0,,,45300110000.0,,66638073000.0,50968995000.0,1499120000.0,,,,,,,,,,,,,,1837999000.0,,91658000.0,,,,,926652000.0,2650386000.0,317774263000.0,200000000.0,3262639000.0,,,,,,1478290000.0,250791789000.0,,,,,,,,569434000.0,166690000.0,2056416000.0,,,,,,,,,,,36857231000.0,,68310000.0,1806007000.0,297256806000.0,2298592000.0,4854193000.0,,1170468000.0,20517457000.0,9393330000.0,,,20517457000.0,317774263000.0,,,,,,204929000.0,,,,2595945000.0,,,,,,,,
1104,300022955,贵阳银行股份有限公司,601997.XSHG,601997,,,2017-04-15,2016-01-01,2016-12-31,2016-12-31,0,321003,定期报告,4686323000.0,,,41210720000.0,,,,,943518000.0,,7952415000.0,1374832000.0,,,,,,,,,,95729808000.0,,,55202463000.0,,94516665000.0,51574655000.0,1499120000.0,,,,,,,,,,,,,,2455630000.0,,98614000.0,,,,,946880000.0,2227592000.0,360419235000.0,200000000.0,18075693000.0,,,,,,10479570000.0,257119175000.0,,,,,,,,685941000.0,272000.0,1828677000.0,,,,,,,,,,,48107648000.0,,,2841389000.0,339338365000.0,2298592000.0,4861949000.0,,1533068000.0,21080870000.0,9945843000.0,,,21080870000.0,360419235000.0,,,,,,-154527000.0,,,,2595945000.0,,,,,,,,
1108,300022955,贵阳银行股份有限公司,601997.XSHG,601997,,,2017-04-29,2017-01-01,2017-03-31,2017-03-31,0,321003,定期报告,1671008000.0,,,45190725000.0,,,,0.0,5828089000.0,,5500500000.0,1872498000.0,,,,,,,,,,97697270000.0,,,63817108000.0,,95509662000.0,52043293000.0,1499120000.0,,,,,,,,,,,,,,2471728000.0,,98001000.0,,,,,1193487000.0,2668836000.0,377061325000.0,200000000.0,28748253000.0,,,0.0,,,1495400000.0,265450150000.0,,,,,,,,558033000.0,77659000.0,2248777000.0,,,,,,,,,,,54079898000.0,,,2272088000.0,355130258000.0,2298592000.0,4861949000.0,,1533068000.0,21931067000.0,10903163000.0,,,21931067000.0,377061325000.0,,,,,,-261650000.0,,,,2595945000.0,,,,,,,,
1109,300022955,贵阳银行股份有限公司,601997.XSHG,601997,,,2017-08-29,2017-01-01,2017-06-30,2017-06-30,0,321003,定期报告,3079912000.0,,,44468565000.0,,,,0.0,2916100000.0,,17650891000.0,1828679000.0,,,,,,,,,,101894730000.0,,,76407627000.0,,83072135000.0,58777682000.0,,,,,,,,,,,,,,,2466862000.0,,99942000.0,,,,,1341358000.0,3260395000.0,397264878000.0,,28787179000.0,,,300000000.0,0.0,,6347711000.0,266094834000.0,,,,,,,,610401000.0,94957000.0,2398812000.0,,,,,,,,,,,68436921000.0,,,1998006000.0,375068821000.0,2298592000.0,4861949000.0,,1533068000.0,22196057000.0,9536938000.0,,,22196057000.0,397264878000.0,,,,,,-331088000.0,,,,4296598000.0,,,,,,,,
1110,300022955,贵阳银行股份有限公司,601997.XSHG,601997,,,2017-10-31,2017-01-01,2017-09-30,2017-09-30,0,321003,定期报告,1562387000.0,,,40485599000.0,,,,0.0,2973109000.0,,11061880000.0,2024450000.0,,,,,,,,,,109901667000.0,,,97179615000.0,,75917274000.0,61070023000.0,1499120000.0,,,,,,,,,,,,,,2442937000.0,,104205000.0,,,,,1437483000.0,7497936000.0,415157685000.0,,23406682000.0,,,0.0,0.0,,7874846000.0,268699406000.0,,,,,,,,649999000.0,14798000.0,2771661000.0,,,,,,,,,,,82037689000.0,,,6254572000.0,391709653000.0,2298592000.0,4861949000.0,,1533068000.0,23448032000.0,10787672000.0,,,23448032000.0,415157685000.0,,,,,,-329847000.0,,,,4296598000.0,,,,,,,,
3590,300022955,贵阳银行股份有限公司,601997.XSHG,601997,,,2018-04-28,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,1939023000.0,,,49605239000.0,,,,1100000000.0,1761228000.0,,11686467000.0,2404093000.0,,,,,,,,,,117038275000.0,,,110865461000.0,,59977659000.0,79947361000.0,1499120000.0,,,,,,,,,,,,,,2502370000.0,,110474000.0,,,,,1577098000.0,2557117000.0,444570985000.0,3100000000.0,37415072000.0,,,520909000.0,,,2580440000.0,289973255000.0,,,,,,,,1054591000.0,92287000.0,2621387000.0,,,,,,,,,,,80229340000.0,,,2404155000.0,419991436000.0,2298592000.0,4861949000.0,,1978312000.0,24579549000.0,11654749000.0,,,24579549000.0,444570985000.0,,,,,,-510651000.0,,,,4296598000.0,,,,,,,,
3614,300022955,贵阳银行股份有限公司,601997.XSHG,601997,,,2018-04-28,2018-01-01,2018-03-31,2018-03-31,0,321003,定期报告,2118378000.0,,,39795808000.0,,,,1201219000.0,1217522000.0,,7476998000.0,3373500000.0,,,,,,,,,,123652337000.0,,,118544949000.0,,48205009000.0,82512764000.0,1499120000.0,,,,,,,,,,,,,,2449162000.0,,109110000.0,,,,,1704605000.0,4521218000.0,438381699000.0,2600000000.0,27905133000.0,,,750000000.0,0.0,,2798300000.0,282457767000.0,,,,,,,,832138000.0,154717000.0,2489481000.0,,,,,,,,,,,89660471000.0,,,2859114000.0,412507121000.0,2298592000.0,4861949000.0,,1978312000.0,25874578000.0,12792299000.0,,,25874578000.0,438381699000.0,,,,,,-353172000.0,,,,4296598000.0,,,,,,,,
3701,300022955,贵阳银行股份有限公司,601997.XSHG,601997,,,2018-08-25,2018-01-01,2018-06-30,2018-06-30,0,321003,定期报告,2597227000.0,,,46553533000.0,,,,0.0,1174569000.0,,6356424000.0,3215054000.0,,,,,,,,,,130193642000.0,,,116523209000.0,,50851656000.0,87199783000.0,1499120000.0,,,,,,,,,,,,,,2407484000.0,,119935000.0,,,,,1734565000.0,3230531000.0,453656732000.0,600000000.0,21642679000.0,,,500000000.0,0.0,,400000000.0,297827229000.0,,,,,,,,958418000.0,125897000.0,2760263000.0,,,,,,,,,,,98458180000.0,,,3287604000.0,426560270000.0,2298592000.0,4861949000.0,,1978312000.0,27096462000.0,12887007000.0,,,27096462000.0,453656732000.0,,,,,,-215106000.0,,,,5285708000.0,,,,,,,,
3853,300022955,贵阳银行股份有限公司,601997.XSHG,601997,,,2018-10-30,2018-01-01,2018-09-30,2018-09-30,0,321003,定期报告,4230555000.0,,,39587579000.0,,,,800000000.0,1686405000.0,,16277517000.0,2979918000.0,,,,,,,,,,150211674000.0,,,100090996000.0,,56965107000.0,85821172000.0,1499120000.0,,,,,,,,,,,,,,2375589000.0,,132254000.0,,,,,1812196000.0,2670166000.0,467140248000.0,1000000000.0,19810458000.0,,,500000000.0,0.0,,400000000.0,303089215000.0,,,,,,,,960332000.0,343299000.0,2864036000.0,,,,,,,,,,,106124998000.0,,,4194516000.0,439286854000.0,2298592000.0,4861949000.0,,1978312000.0,27853394000.0,13544112000.0,,,27853394000.0,467140248000.0,,,,,,-115279000.0,,,,5285708000.0,,,,,,,,
4047,300022955,贵阳银行股份有限公司,601997.XSHG,601997,,,2019-04-16,2018-01-01,2018-12-31,2018-12-31,0,321003,定期报告,3230707000.0,,,41967852000.0,,,,,1123019000.0,,4747590000.0,2830515000.0,,,,,,,,,,159614366000.0,,,104234160000.0,,64483354000.0,85497065000.0,1499120000.0,,,,,,,,,,,,,,2745777000.0,,158173000.0,,,,,1661527000.0,2127781000.0,475921006000.0,2500000000.0,24503529000.0,,,129605000.0,,,2844196000.0,303412500000.0,,,,,,,,1066990000.0,166044000.0,2977635000.0,,,,,,,,,,,101688749000.0,,,2085337000.0,441374585000.0,2298592000.0,4861949000.0,0.0,2477507000.0,34546421000.0,14399860000.0,,,34546421000.0,475921006000.0,,,4992896000.0,,,229909000.0,,,,5285708000.0,,,,,,,,
