statement_family,standard_field_name,tier,row_count,missing_count,available_count,missing_ratio
balance,capital_reserve_fund,primary,1665,126,1539,0.07567567567567568
balance,cash_equivalents,primary,1665,126,1539,0.07567567567567568
balance,deferred_tax_assets,primary,1665,126,1539,0.07567567567567568
balance,equities_parent_company_owners,primary,1665,126,1539,0.07567567567567568
balance,lend_capital,primary,1665,126,1539,0.07567567567567568
balance,ordinary_risk_reserve_fund,primary,1665,126,1539,0.07567567567567568
balance,paidin_capital,primary,1665,126,1539,0.07567567567567568
balance,retained_profit,primary,1665,126,1539,0.07567567567567568
balance,salaries_payable,primary,1665,126,1539,0.07567567567567568
balance,surplus_reserve_fund,primary,1665,126,1539,0.07567567567567568
balance,taxs_payable,primary,1665,126,1539,0.07567567567567568
balance,total_assets,primary,1665,126,1539,0.07567567567567568
balance,total_liability,primary,1665,126,1539,0.07567567567567568
balance,total_owner_equities,primary,1665,126,1539,0.07567567567567568
bank_indicator,Nonperforming_loan_rate,annual_primary,433,126,307,0.2909930715935335
bank_indicator,capital_adequacy_ratio,annual_primary,433,126,307,0.2909930715935335
bank_indicator,core_level_capital_adequacy_ratio,annual_primary,433,126,307,0.2909930715935335
bank_indicator,cost_to_income_ratio,annual_primary,433,126,307,0.2909930715935335
bank_indicator,deposit_loan_ratio,annual_primary,433,126,307,0.2909930715935335
bank_indicator,net_interest_margin,annual_primary,433,127,306,0.29330254041570436
bank_indicator,non_interest_income_ratio,annual_primary,433,126,307,0.2909930715935335
bank_indicator,non_performing_loan_provision_coverage,annual_primary,433,126,307,0.2909930715935335
bank_indicator,total_deposit,annual_primary,433,126,307,0.2909930715935335
bank_indicator,total_loan,annual_primary,433,126,307,0.2909930715935335
bank_indicator,weighted_risky_asset,annual_primary,433,126,307,0.2909930715935335
cash_flow,cash_and_equivalents_at_end,primary,1665,126,1539,0.07567567567567568
cash_flow,cash_equivalent_increase,primary,1665,126,1539,0.07567567567567568
cash_flow,cash_equivalents_at_beginning,primary,1665,126,1539,0.07567567567567568
cash_flow,exchange_rate_change_effect,primary,1665,154,1511,0.09249249249249249
cash_flow,fix_intan_other_asset_acqui_cash,primary,1665,131,1534,0.07867867867867868
cash_flow,interest_and_commission_cashin,primary,1665,130,1535,0.07807807807807808
cash_flow,invest_cash_paid,primary,1665,126,1539,0.07567567567567568
cash_flow,invest_proceeds,primary,1665,149,1516,0.0894894894894895
cash_flow,invest_withdrawal_cash,primary,1665,130,1535,0.07807807807807808
cash_flow,net_finance_cash_flow,primary,1665,128,1537,0.07687687687687687
cash_flow,net_invest_cash_flow,primary,1665,126,1539,0.07567567567567568
cash_flow,net_loan_and_advance_increase,primary,1665,139,1526,0.08348348348348349
cash_flow,net_operate_cash_flow,primary,1665,126,1539,0.07567567567567568
cash_flow,staff_behalf_paid,primary,1665,126,1539,0.07567567567567568
cash_flow,subtotal_finance_cash_outflow,primary,1665,130,1535,0.07807807807807808
cash_flow,subtotal_invest_cash_inflow,primary,1665,126,1539,0.07567567567567568
cash_flow,subtotal_invest_cash_outflow,primary,1665,126,1539,0.07567567567567568
cash_flow,subtotal_operate_cash_inflow,primary,1665,126,1539,0.07567567567567568
cash_flow,subtotal_operate_cash_outflow,primary,1665,126,1539,0.07567567567567568
cash_flow,tax_payments,primary,1665,140,1525,0.08408408408408409
income,commission_expense,primary,1665,126,1539,0.07567567567567568
income,commission_income,primary,1665,126,1539,0.07567567567567568
income,income_tax_expense,primary,1665,126,1539,0.07567567567567568
income,interest_expense,primary,1665,126,1539,0.07567567567567568
income,interest_income,primary,1665,126,1539,0.07567567567567568
income,investment_income,primary,1665,126,1539,0.07567567567567568
income,minority_profit,secondary,1665,244,1421,0.14654654654654656
income,net_profit,primary,1665,126,1539,0.07567567567567568
income,np_parent_company_owners,primary,1665,126,1539,0.07567567567567568
income,operating_profit,primary,1665,126,1539,0.07567567567567568
income,operating_revenue,primary,1665,126,1539,0.07567567567567568
income,total_profit,primary,1665,126,1539,0.07567567567567568
indicator,adjusted_profit,primary,1665,126,1539,0.07567567567567568
indicator,eps,primary,1665,126,1539,0.07567567567567568
indicator,expense_to_total_revenue,primary,1665,140,1525,0.08408408408408409
indicator,inc_net_profit_annual,primary,1665,126,1539,0.07567567567567568
indicator,inc_net_profit_to_shareholders_annual,primary,1665,126,1539,0.07567567567567568
indicator,inc_operation_profit_annual,primary,1665,126,1539,0.07567567567567568
indicator,inc_return,primary,1665,126,1539,0.07567567567567568
indicator,inc_revenue_annual,primary,1665,126,1539,0.07567567567567568
indicator,inc_total_revenue_annual,primary,1665,126,1539,0.07567567567567568
indicator,net_profit_margin,primary,1665,126,1539,0.07567567567567568
indicator,net_profit_to_total_revenue,primary,1665,126,1539,0.07567567567567568
indicator,ocf_to_revenue,primary,1665,126,1539,0.07567567567567568
indicator,operating_profit,primary,1665,128,1537,0.07687687687687687
indicator,operation_profit_to_total_revenue,primary,1665,126,1539,0.07567567567567568
indicator,roa,primary,1665,126,1539,0.07567567567567568
indicator,roe,primary,1665,126,1539,0.07567567567567568
indicator,value_change_profit,primary,1665,126,1539,0.07567567567567568
