code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,eps,0.3021,indicator.csv,eps,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,adjusted_profit,1091774000.0,indicator.csv,adjusted_profit,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,operating_profit,1185964000.0,indicator.csv,operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,value_change_profit,474911000.0,indicator.csv,value_change_profit,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,roe,3.83,indicator.csv,roe,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,inc_return,3.83,indicator.csv,inc_return,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,roa,0.24,indicator.csv,roa,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,net_profit_margin,38.14,indicator.csv,net_profit_margin,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,gross_profit_margin,,indicator.csv,gross_profit_margin,,identity_q1_or_ytd_diff,missing_raw_value
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,expense_to_total_revenue,58.59,indicator.csv,expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,operation_profit_to_total_revenue,41.41,indicator.csv,operation_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,net_profit_to_total_revenue,38.14,indicator.csv,net_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,operating_expense_to_total_revenue,,indicator.csv,operating_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,ga_expense_to_total_revenue,23.48,indicator.csv,ga_expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,financing_expense_to_total_revenue,,indicator.csv,financing_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,operating_profit_to_profit,60.3,indicator.csv,operating_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,invesment_profit_to_profit,40.28,indicator.csv,invesment_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,adjusted_profit_to_profit,100.04,indicator.csv,adjusted_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,goods_sale_and_service_to_revenue,,indicator.csv,goods_sale_and_service_to_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,ocf_to_revenue,950.28,indicator.csv,ocf_to_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601838.XSHG,indicator,2018-06-30,2018q2,,2018-08-22,ocf_to_operating_profit,2295.04,indicator.csv,ocf_to_operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
