code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,operating_revenue,2864250000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,interest_income,4522674000.0,finance_income_statement_current_only.csv,interest_income,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,interest_expense,2211552000.0,finance_income_statement_current_only.csv,interest_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,commission_income,91352000.0,finance_income_statement_current_only.csv,commission_income,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,commission_expense,25844000.0,finance_income_statement_current_only.csv,commission_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,asset_impairment_loss,981205000.0,finance_income_statement_current_only.csv,asset_impairment_loss,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,investment_income,454843000.0,finance_income_statement_current_only.csv,investment_income,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,operating_profit,1185964000.0,finance_income_statement_current_only.csv,operating_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,total_profit,1179109000.0,finance_income_statement_current_only.csv,total_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,income_tax_expense,86647000.0,finance_income_statement_current_only.csv,income_tax_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,net_profit,1092462000.0,finance_income_statement_current_only.csv,net_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,np_parent_company_owners,1091355000.0,finance_income_statement_current_only.csv,np_parent_company_owners,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-06-30,2018q2,,2018-08-22,minority_profit,1107000.0,finance_income_statement_current_only.csv,minority_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,operating_revenue,2984927000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,interest_income,4961567000.0,finance_income_statement_current_only.csv,interest_income,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,interest_expense,2392609000.0,finance_income_statement_current_only.csv,interest_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,commission_income,97015000.0,finance_income_statement_current_only.csv,commission_income,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,commission_expense,18528000.0,finance_income_statement_current_only.csv,commission_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,asset_impairment_loss,884685000.0,finance_income_statement_current_only.csv,asset_impairment_loss,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,investment_income,323909000.0,finance_income_statement_current_only.csv,investment_income,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,operating_profit,1390986000.0,finance_income_statement_current_only.csv,operating_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,total_profit,1388667000.0,finance_income_statement_current_only.csv,total_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,income_tax_expense,113755000.0,finance_income_statement_current_only.csv,income_tax_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,net_profit,1274912000.0,finance_income_statement_current_only.csv,net_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,np_parent_company_owners,1272811000.0,finance_income_statement_current_only.csv,np_parent_company_owners,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-09-30,2018q3,,2018-10-31,minority_profit,2101000.0,finance_income_statement_current_only.csv,minority_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-12-31,2018q4,,2019-04-25,operating_revenue,3171985000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-12-31,2018q4,,2019-04-25,interest_income,5048462000.0,finance_income_statement_current_only.csv,interest_income,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-12-31,2018q4,,2019-04-25,interest_expense,2308562000.0,finance_income_statement_current_only.csv,interest_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-12-31,2018q4,,2019-04-25,commission_income,126064000.0,finance_income_statement_current_only.csv,commission_income,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-12-31,2018q4,,2019-04-25,commission_expense,24538000.0,finance_income_statement_current_only.csv,commission_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601838.XSHG,income,2018-12-31,2018q4,,2019-04-25,asset_impairment_loss,737915000.0,finance_income_statement_current_only.csv,asset_impairment_loss,converted_from_ytd,identity_q1_or_ytd_diff,
