code,statement_family,report_period_end,quarter_key,year_key,standard_field_name,source_table,source_field,raw_primary_value,raw_fallback_value,raw_value_used,prior_cumulative_value_used,transformation_rule,conversion_success,missing_reason
002142.XSHE,indicator,2014-03-31,2014q1,,eps,indicator.csv,eps,0.5209,0.5209,0.5209,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,adjusted_profit,indicator.csv,adjusted_profit,1503183000.0,1503183000.0,1503183000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,operating_profit,indicator.csv,operating_profit,1872177000.0,1872177000.0,1872177000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,value_change_profit,indicator.csv,value_change_profit,-262993000.0,-262993000.0,-262993000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,roe,indicator.csv,roe,5.68,5.68,5.68,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,inc_return,indicator.csv,inc_return,5.69,5.69,5.69,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,roa,indicator.csv,roa,0.3,0.3,0.3,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,net_profit_margin,indicator.csv,net_profit_margin,42.55,42.55,42.55,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,gross_profit_margin,indicator.csv,gross_profit_margin,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,indicator,2014-03-31,2014q1,,expense_to_total_revenue,indicator.csv,expense_to_total_revenue,46.96,46.96,46.96,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,operation_profit_to_total_revenue,indicator.csv,operation_profit_to_total_revenue,53.04,53.04,53.04,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,net_profit_to_total_revenue,indicator.csv,net_profit_to_total_revenue,42.55,42.55,42.55,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,operating_expense_to_total_revenue,indicator.csv,operating_expense_to_total_revenue,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,indicator,2014-03-31,2014q1,,ga_expense_to_total_revenue,indicator.csv,ga_expense_to_total_revenue,31.57,31.57,31.57,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,financing_expense_to_total_revenue,indicator.csv,financing_expense_to_total_revenue,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,indicator,2014-03-31,2014q1,,operating_profit_to_profit,indicator.csv,operating_profit_to_profit,114.13,114.13,114.13,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,invesment_profit_to_profit,indicator.csv,invesment_profit_to_profit,-14.06,-14.06,-14.06,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,adjusted_profit_to_profit,indicator.csv,adjusted_profit_to_profit,100.07,100.07,100.07,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,goods_sale_and_service_to_revenue,indicator.csv,goods_sale_and_service_to_revenue,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,indicator,2014-03-31,2014q1,,ocf_to_revenue,indicator.csv,ocf_to_revenue,770.93,770.93,770.93,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,ocf_to_operating_profit,indicator.csv,ocf_to_operating_profit,1453.48,1453.48,1453.48,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,inc_total_revenue_year_on_year,indicator.csv,inc_total_revenue_year_on_year,20.17,20.17,20.17,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,inc_total_revenue_annual,indicator.csv,inc_total_revenue_annual,1.3,1.3,1.3,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,inc_revenue_year_on_year,indicator.csv,inc_revenue_year_on_year,20.17,20.17,20.17,,identity_q1_or_ytd_diff,True,
002142.XSHE,indicator,2014-03-31,2014q1,,inc_revenue_annual,indicator.csv,inc_revenue_annual,1.3,1.3,1.3,,identity_q1_or_ytd_diff,True,
