id,code,statDate,pubDate,statDate.1,cash_equivalents,settlement_provi,lend_capital,trading_assets,bill_receivable,account_receivable,advance_payment,insurance_receivables,reinsurance_receivables,reinsurance_contract_reserves_receivable,interest_receivable,dividend_receivable,other_receivable,bought_sellback_assets,inventories,non_current_asset_in_one_year,other_current_assets,total_current_assets,loan_and_advance,hold_for_sale_assets,hold_to_maturity_investments,longterm_receivable_account,longterm_equity_invest,investment_property,fixed_assets,constru_in_process,construction_materials,fixed_assets_liquidation,biological_assets,oil_gas_assets,intangible_assets,development_expenditure,good_will,long_deferred_expense,deferred_tax_assets,other_non_current_assets,total_non_current_assets,total_assets,shortterm_loan,borrowing_from_centralbank,deposit_in_interbank,borrowing_capital,trading_liability,notes_payable,accounts_payable,advance_peceipts,sold_buyback_secu_proceeds,commission_payable,salaries_payable,taxs_payable,interest_payable,dividend_payable,other_payable,reinsurance_payables,insurance_contract_reserves,proxy_secu_proceeds,receivings_from_vicariously_sold_securities,non_current_liability_in_one_year,other_current_liability,total_current_liability,longterm_loan,bonds_payable,longterm_account_payable,specific_account_payable,estimate_liability,deferred_tax_liability,other_non_current_liability,total_non_current_liability,total_liability,paidin_capital,capital_reserve_fund,treasury_stock,specific_reserves,surplus_reserve_fund,ordinary_risk_reserve_fund,retained_profit,foreign_currency_report_conv_diff,equities_parent_company_owners,minority_interests,total_owner_equities,total_sheet_owner_equities,other_comprehensive_income,deferred_earning,loan_and_advance_current_assets,derivative_financial_asset,hold_sale_asset,loan_and_advance_noncurrent_assets,derivative_financial_liability,hold_sale_liability,estimate_liability_current,deferred_earning_current,preferred_shares_noncurrent,pepertual_liability_noncurrent,longterm_salaries_payable,other_equity_tools,preferred_shares_equity,pepertual_liability_equity,receivable_fin,usufruct_assets,contract_assets,bond_invest,other_bond_invest,other_equity_tools_invest,other_non_current_financial_assets,contract_liability,lease_liability,requested_period
51344,600016.XSHG,2014-03-31,2014-04-26,2014-03-31,513255000000.0,,103779000000.0,27460000000.0,,,,,,0.0,14146000000.0,,,486531000000.0,,,,,,136606000000.0,144689000000.0,,147000000.0,,24919000000.0,,,,,,5294000000.0,,,,10496000000.0,,,3282119000000.0,0.0,410000000.0,2713470000000.0,15781000000.0,,,,,68750000000.0,,7349000000.0,4871000000.0,27996000000.0,,,,0.0,,,,,,,112131000000.0,,,2145000000.0,,,,3064238000000.0,28366000000.0,47032000000.0,,,16456000000.0,42484000000.0,76702000000.0,5000000.0,211045000000.0,6836000000.0,217881000000.0,3282119000000.0,,,,2435000000.0,,,2504000000.0,,,,,,,,,,,,,,,,,,,2014q1
51343,600016.XSHG,2014-06-30,2014-08-29,2014-06-30,556557000000.0,,162707000000.0,27396000000.0,,,,,,0.0,15174000000.0,,,561158000000.0,,,,,,138383000000.0,151799000000.0,,,,27870000000.0,,,,,,5263000000.0,,,,10171000000.0,,,3571451000000.0,0.0,495000000.0,2936771000000.0,42598000000.0,,,,,78920000000.0,,8669000000.0,5446000000.0,30401000000.0,,,,0.0,,,,,,,117078000000.0,,,2325000000.0,,,,3342152000000.0,34040000000.0,48129000000.0,,,17020000000.0,42554000000.0,80451000000.0,5000000.0,222199000000.0,7100000000.0,229299000000.0,3571451000000.0,,,,1998000000.0,,,2308000000.0,,,,,,,,,,,,,,,,,,,2014q2
51342,600016.XSHG,2014-09-30,2014-10-31,2014-09-30,539027000000.0,,170943000000.0,27479000000.0,,,,,,0.0,15490000000.0,,,657257000000.0,,,,,,137843000000.0,167927000000.0,,,,29275000000.0,,,,,,5184000000.0,,,,10568000000.0,,,3769341000000.0,0.0,630000000.0,3139751000000.0,40051000000.0,,,,,50037000000.0,,9277000000.0,4810000000.0,32783000000.0,,,,0.0,,,,,,,129829000000.0,,,2348000000.0,,,,3528538000000.0,34040000000.0,48309000000.0,,,17020000000.0,42563000000.0,91650000000.0,-5000000.0,233577000000.0,7226000000.0,240803000000.0,3769341000000.0,,,,2938000000.0,,,2318000000.0,,,,,,,,,,,,,,,,,,,2014q3
51341,600016.XSHG,2014-12-31,2015-03-31,2014-12-31,547094000000.0,,176416000000.0,27213000000.0,,,,,,0.0,16593000000.0,,,675878000000.0,,,,,,159724000000.0,176834000000.0,,,,33375000000.0,,,,,,5273000000.0,,,,11764000000.0,,,4015136000000.0,0.0,50745000000.0,3282481000000.0,43048000000.0,21000000.0,,,,83291000000.0,,7996000000.0,6078000000.0,33805000000.0,,,,0.0,,,,,,,129279000000.0,,,1931000000.0,,,,3767380000000.0,34153000000.0,49949000000.0,,,17077000000.0,49344000000.0,90019000000.0,,240142000000.0,7614000000.0,247756000000.0,4015136000000.0,-400000000.0,,,3231000000.0,,,2558000000.0,,,,,,,,,,,,,,,,,,,2014q4
51340,600016.XSHG,2015-03-31,2015-04-22,2015-03-31,563028000000.0,,217542000000.0,32717000000.0,,,,,,0.0,17859000000.0,,,508290000000.0,,,,,,154653000000.0,186296000000.0,,,,34149000000.0,,,,,,5238000000.0,,,,12542000000.0,,,4016757000000.0,0.0,106679000000.0,3207124000000.0,38232000000.0,,,,,74129000000.0,,8018000000.0,7598000000.0,34277000000.0,,,,0.0,,,,,,,147984000000.0,,,1727000000.0,,,,3754979000000.0,34231000000.0,50433000000.0,,,17077000000.0,49349000000.0,103391000000.0,,254079000000.0,7699000000.0,261778000000.0,4016757000000.0,-402000000.0,,,3232000000.0,,,2055000000.0,,,,,,,,,,,,,,,,,,,2015q1
51339,600016.XSHG,2015-06-30,2015-08-29,2015-06-30,583795000000.0,,243818000000.0,32842000000.0,,,,,,0.0,18563000000.0,,,568392000000.0,,,,,,176159000000.0,196118000000.0,,,,35233000000.0,,,,,,5195000000.0,,,,12803000000.0,,,4301073000000.0,0.0,6432000000.0,3495531000000.0,38246000000.0,,,,,102541000000.0,,9759000000.0,5034000000.0,33554000000.0,,,,0.0,,,,,,,180901000000.0,,,1995000000.0,,,,4012760000000.0,36485000000.0,64756000000.0,,,23460000000.0,52835000000.0,102743000000.0,,280279000000.0,8034000000.0,288313000000.0,4301073000000.0,,,,3098000000.0,,,1976000000.0,,,,,,,,,,,,,,,,,,,2015q2
51338,600016.XSHG,2015-09-30,2015-10-31,2015-09-30,572461000000.0,,319001000000.0,30901000000.0,,,,,,0.0,18925000000.0,,,470009000000.0,,,,,,170588000000.0,233907000000.0,,,,35542000000.0,,,,,,5251000000.0,,,,15057000000.0,,,4374847000000.0,0.0,17979000000.0,3608289000000.0,40553000000.0,,,,,18001000000.0,,10325000000.0,7539000000.0,34003000000.0,,,,0.0,,,,,,,194993000000.0,,,2021000000.0,,,,4074112000000.0,36485000000.0,64744000000.0,,,23460000000.0,53473000000.0,114339000000.0,,292501000000.0,8234000000.0,300735000000.0,4374847000000.0,,,,6344000000.0,,,4894000000.0,,,,,,,,,,,,,,,,,,,2015q3
51337,600016.XSHG,2015-12-31,2016-03-31,2015-12-31,534259000000.0,,229217000000.0,26959000000.0,,,,,,0.0,19164000000.0,,,570657000000.0,,,,,,157000000000.0,278364000000.0,,13000000.0,,37726000000.0,,,,,,5293000000.0,,,,15863000000.0,,,4520688000000.0,0.0,62477000000.0,3652642000000.0,70395000000.0,,,,,49129000000.0,,9140000000.0,9008000000.0,33367000000.0,,,,0.0,,,,,,,181233000000.0,,,1925000000.0,,,,4210905000000.0,36485000000.0,64744000000.0,,,25361000000.0,57802000000.0,116826000000.0,,301218000000.0,8565000000.0,309783000000.0,4520688000000.0,,,,5175000000.0,,,3326000000.0,,,,,,,,,,,,,,,,,,,2015q4
51336,600016.XSHG,2016-03-31,2016-04-30,2016-03-31,589326000000.0,,219376000000.0,42738000000.0,,,,,,0.0,21701000000.0,,,498873000000.0,,,,,,192847000000.0,332961000000.0,,26000000.0,,36725000000.0,,,,,,5223000000.0,,,,18274000000.0,,,4820798000000.0,0.0,119921000000.0,3855064000000.0,95002000000.0,,,,,34713000000.0,,8410000000.0,12230000000.0,34113000000.0,,,,0.0,,,,,,,187349000000.0,,,1872000000.0,,,,4501347000000.0,36485000000.0,64744000000.0,,,25361000000.0,56503000000.0,127757000000.0,,310850000000.0,8601000000.0,319451000000.0,4820798000000.0,,,,9136000000.0,,,9093000000.0,,,,,,,,,,,,,,,,,,,2016q1
95663,600016.XSHG,2016-06-30,2016-08-30,2016-06-30,665040000000.0,,157612000000.0,37493000000.0,,,,,,0.0,23556000000.0,,,314049000000.0,,,,,,231705000000.0,530691000000.0,,26000000.0,0.0,37577000000.0,,,,,,5180000000.0,,,,19204000000.0,,,5250162000000.0,0.0,215403000000.0,4069238000000.0,117857000000.0,324000000.0,,,,78541000000.0,,7345000000.0,8411000000.0,32472000000.0,,,,0.0,,,,,,,224809000000.0,,,1133000000.0,,,,4922507000000.0,36485000000.0,64744000000.0,,,28045000000.0,64443000000.0,124699000000.0,,318774000000.0,8881000000.0,327655000000.0,5250162000000.0,358000000.0,,,14315000000.0,,,15558000000.0,,,,,,,,,,,,,,,,,,,2016q2
98304,600016.XSHG,2016-09-30,2016-10-29,2016-09-30,654408000000.0,,161778000000.0,43504000000.0,,,,,,0.0,26230000000.0,,,62579000000.0,,,,,,267756000000.0,655932000000.0,,27000000.0,,38271000000.0,,,,,,5113000000.0,,,,20307000000.0,,,5636577000000.0,0.0,220439000000.0,4157648000000.0,128936000000.0,500000000.0,,,,150352000000.0,,9836000000.0,10834000000.0,33887000000.0,,,,0.0,,,,,,,415607000000.0,,,1117000000.0,,,,5300872000000.0,36485000000.0,64744000000.0,,,28045000000.0,64448000000.0,132438000000.0,,326567000000.0,9138000000.0,335705000000.0,5636577000000.0,407000000.0,,,11921000000.0,,,12257000000.0,,,,,,,,,,,,,,,,,,,2016q3
100396,600016.XSHG,2016-12-31,2017-03-31,2016-12-31,712653000000.0,,182877000000.0,89740000000.0,,,,,,0.0,31516000000.0,,,90546000000.0,,,,,,307078000000.0,661362000000.0,,25000000.0,,43273000000.0,,,,,,5112000000.0,,,,23366000000.0,,,5895877000000.0,0.0,315438000000.0,4389864000000.0,100397000000.0,868000000.0,,,,113255000000.0,,10107000000.0,11400000000.0,36494000000.0,,,,0.0,,,,,,,398376000000.0,,,1075000000.0,,,,5543850000000.0,36485000000.0,64744000000.0,,,30052000000.0,72929000000.0,130630000000.0,,342590000000.0,9437000000.0,352027000000.0,5895877000000.0,-2142000000.0,,,7843000000.0,,,10277000000.0,,,,,,,9892000000.0,9892000000.0,,,,,,,,,,,2016q4
103193,600016.XSHG,2017-03-31,2017-04-27,2017-03-31,648803000000.0,,165680000000.0,67625000000.0,,,,,,0.0,35854000000.0,,,13273000000.0,,,,,,309044000000.0,656554000000.0,,25000000.0,,43497000000.0,,,,,,5041000000.0,,,,24240000000.0,,,5956607000000.0,0.0,319432000000.0,4224855000000.0,247656000000.0,682000000.0,,,,89821000000.0,,9146000000.0,13622000000.0,40501000000.0,,,,0.0,,,,,,,474836000000.0,,,1011000000.0,,,,5589864000000.0,36485000000.0,64744000000.0,,,30052000000.0,72947000000.0,144811000000.0,0.0,356960000000.0,9783000000.0,366743000000.0,5956607000000.0,-1971000000.0,,,6210000000.0,,,5110000000.0,,,,,,,9892000000.0,9892000000.0,,,,,,,,,,,2017q1
108110,600016.XSHG,2017-06-30,2017-08-29,2017-06-30,563319000000.0,,148257000000.0,66576000000.0,,,,,,0.0,35285000000.0,,,20512000000.0,,,,,,311700000000.0,663652000000.0,,17000000.0,,43249000000.0,,,,,,5018000000.0,,,,24908000000.0,,,5767209000000.0,0.0,324468000000.0,3975462000000.0,220409000000.0,627000000.0,,,,90528000000.0,,7893000000.0,12052000000.0,40891000000.0,,,,0.0,,,,,,,529751000000.0,,,922000000.0,,,,5392687000000.0,36485000000.0,64744000000.0,,,32805000000.0,73070000000.0,149803000000.0,,364195000000.0,10327000000.0,374522000000.0,5767209000000.0,-2604000000.0,,,9722000000.0,,,9788000000.0,,,,,,,9892000000.0,9892000000.0,,,,,,,,,,,2017q2
112028,600016.XSHG,2017-09-30,2017-10-31,2017-09-30,486566000000.0,,160245000000.0,75029000000.0,,,,,,0.0,35266000000.0,,,46296000000.0,,,,,,341066000000.0,711942000000.0,,17000000.0,,45748000000.0,,,,,,4708000000.0,,,,26387000000.0,,,5712525000000.0,0.0,327669000000.0,3950242000000.0,190588000000.0,670000000.0,,,,143125000000.0,,10119000000.0,13195000000.0,43035000000.0,,,,0.0,,,,,,,445415000000.0,,,844000000.0,,,,5331251000000.0,36485000000.0,64744000000.0,,,32805000000.0,73079000000.0,157089000000.0,,370748000000.0,10526000000.0,381274000000.0,5712525000000.0,-3346000000.0,,,16030000000.0,,,18358000000.0,,,,,,,9892000000.0,9892000000.0,,,,,,,,,,,2017q3
116566,600016.XSHG,2017-12-31,2018-03-30,2017-12-31,518195000000.0,,143205000000.0,74601000000.0,,,,,,0.0,39664000000.0,,,52812000000.0,,,,,,378889000000.0,708244000000.0,,21000000.0,,45987000000.0,,,,,,4915000000.0,,,,29162000000.0,,,5902086000000.0,0.0,335173000000.0,4104842000000.0,177462000000.0,3373000000.0,,,,107522000000.0,,11638000000.0,15395000000.0,42276000000.0,,,,0.0,,,,,,,501927000000.0,,,809000000.0,65000000.0,,,5512274000000.0,36485000000.0,64753000000.0,,,34914000000.0,74168000000.0,163420000000.0,,378970000000.0,10842000000.0,389812000000.0,5902086000000.0,-4662000000.0,,,18734000000.0,,,18076000000.0,,,,,,,9892000000.0,9892000000.0,,,,,,,,,,,2017q4
123104,600016.XSHG,2018-03-31,2018-04-28,2018-03-31,457474000000.0,,146499000000.0,580958000000.0,,,,,,0.0,41566000000.0,,,141560000000.0,,,,,,,,,21000000.0,,45023000000.0,,,,,,4875000000.0,,,,31279000000.0,,,6002508000000.0,0.0,347118000000.0,4230856000000.0,110683000000.0,1080000000.0,,,,87035000000.0,,10193000000.0,14869000000.0,42136000000.0,,,,0.0,,,,,,,553942000000.0,,,2080000000.0,65000000.0,,,5606672000000.0,36485000000.0,64753000000.0,,,34914000000.0,74186000000.0,166817000000.0,,384998000000.0,10838000000.0,395836000000.0,6002508000000.0,-2049000000.0,,,28300000000.0,,,21607000000.0,,,,,,,9892000000.0,9892000000.0,,,,,,,,,,,2018q1
