fold_id,strategy_name,rebalance_date,validation_start,validation_end,portfolio_return,invested_weight,cash_weight,candidate_role,holding_count,candidate_count,candidate_pool_size,month_key
fold_01,annual_entry_monthly_exit_slow_fundamental,2018-11-01 00:00:00,2018-11-01,2019-11-01,-0.0005335706,0.799231,0.200769,state_switch_candidate,,,,2018-11
fold_01,fixed_60_40,2018-11-01 00:00:00,2018-11-01,2019-11-01,-0.000585852,0.893333,0.106667,fixed_dual_engine_baseline,,,,2018-11
fold_01,quarterly_top20_mom12_top6,2018-11-01 00:00:00,2018-11-01,2019-11-01,-0.0010849389,1.0,0.0,fundamental_gate_then_momentum_rank,6,12,20.0,2018-11
fold_01,annual_entry_monthly_exit_slow_fundamental,2018-12-03 00:00:00,2018-11-01,2019-11-01,-0.0027746822,0.746364,0.253636,state_switch_candidate,,,,2018-12
fold_01,fixed_60_40,2018-12-03 00:00:00,2018-11-01,2019-11-01,-0.0030395141,0.831429,0.168571,fixed_dual_engine_baseline,,,,2018-12
fold_01,quarterly_top20_mom12_top6,2018-12-03 00:00:00,2018-11-01,2019-11-01,-0.0037033315,1.0,0.0,fundamental_gate_then_momentum_rank,6,11,20.0,2018-12
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-01-02 00:00:00,2018-11-01,2019-11-01,0.0031028512,0.746364,0.253636,state_switch_candidate,,,,2019-01
fold_01,fixed_60_40,2019-01-02 00:00:00,2018-11-01,2019-11-01,0.0034270481,0.831429,0.168571,fixed_dual_engine_baseline,,,,2019-01
fold_01,quarterly_top20_mom12_top6,2019-01-02 00:00:00,2018-11-01,2019-11-01,0.0044817778,1.0,0.0,fundamental_gate_then_momentum_rank,6,11,20.0,2019-01
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-02-01 00:00:00,2018-11-01,2019-11-01,0.0047803834,0.8,0.2,state_switch_candidate,,,,2019-02
fold_01,fixed_60_40,2019-02-01 00:00:00,2018-11-01,2019-11-01,0.0054364488,0.905455,0.094545,fixed_dual_engine_baseline,,,,2019-02
fold_01,quarterly_top20_mom12_top6,2019-02-01 00:00:00,2018-11-01,2019-11-01,0.0055144371,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2019-02
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-03-01 00:00:00,2018-11-01,2019-11-01,-0.0009220525,0.799231,0.200769,state_switch_candidate,,,,2019-03
fold_01,fixed_60_40,2019-03-01 00:00:00,2018-11-01,2019-11-01,-0.0010563693,0.893333,0.106667,fixed_dual_engine_baseline,,,,2019-03
fold_01,quarterly_top20_mom12_top6,2019-03-01 00:00:00,2018-11-01,2019-11-01,-0.0010161535,1.0,0.0,fundamental_gate_then_momentum_rank,6,12,20.0,2019-03
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-04-01 00:00:00,2018-11-01,2019-11-01,-8.08991e-05,0.75,0.25,state_switch_candidate,,,,2019-04
fold_01,fixed_60_40,2019-04-01 00:00:00,2018-11-01,2019-11-01,-0.000306771,0.905455,0.094545,fixed_dual_engine_baseline,,,,2019-04
fold_01,quarterly_top20_mom12_top6,2019-04-01 00:00:00,2018-11-01,2019-11-01,-0.0003370804,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2019-04
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-05-06 00:00:00,2018-11-01,2019-11-01,-0.0006022309,0.65,0.35,state_switch_candidate,,,,2019-05
fold_01,fixed_60_40,2019-05-06 00:00:00,2018-11-01,2019-11-01,-0.0008013319,0.905455,0.094545,fixed_dual_engine_baseline,,,,2019-05
fold_01,quarterly_top20_mom12_top6,2019-05-06 00:00:00,2018-11-01,2019-11-01,-0.0012822054,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2019-05
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-06-03 00:00:00,2018-11-01,2019-11-01,0.0023369566,0.85,0.15,state_switch_candidate,,,,2019-06
fold_01,fixed_60_40,2019-06-03 00:00:00,2018-11-01,2019-11-01,0.0024871024,0.905455,0.094545,fixed_dual_engine_baseline,,,,2019-06
fold_01,quarterly_top20_mom12_top6,2019-06-03 00:00:00,2018-11-01,2019-11-01,0.0036875022,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2019-06
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-07-01 00:00:00,2018-11-01,2019-11-01,-9.10968e-05,0.85,0.15,state_switch_candidate,,,,2019-07
fold_01,fixed_60_40,2019-07-01 00:00:00,2018-11-01,2019-11-01,-6.54772e-05,0.905455,0.094545,fixed_dual_engine_baseline,,,,2019-07
fold_01,quarterly_top20_mom12_top6,2019-07-01 00:00:00,2018-11-01,2019-11-01,-0.0001109694,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2019-07
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-08-01 00:00:00,2018-11-01,2019-11-01,-0.0016384069,0.85,0.15,state_switch_candidate,,,,2019-08
fold_01,fixed_60_40,2019-08-01 00:00:00,2018-11-01,2019-11-01,-0.0017719403,0.905455,0.094545,fixed_dual_engine_baseline,,,,2019-08
fold_01,quarterly_top20_mom12_top6,2019-08-01 00:00:00,2018-11-01,2019-11-01,-0.0018505933,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2019-08
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-09-02 00:00:00,2018-11-01,2019-11-01,0.0013195201,0.65,0.35,state_switch_candidate,,,,2019-09
fold_01,fixed_60_40,2019-09-02 00:00:00,2018-11-01,2019-11-01,0.0019316408,0.905455,0.094545,fixed_dual_engine_baseline,,,,2019-09
fold_01,quarterly_top20_mom12_top6,2019-09-02 00:00:00,2018-11-01,2019-11-01,0.0024637668,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2019-09
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-10-08 00:00:00,2018-11-01,2019-11-01,0.0018078537,0.65,0.35,state_switch_candidate,,,,2019-10
fold_01,fixed_60_40,2019-10-08 00:00:00,2018-11-01,2019-11-01,0.0026132414,0.905455,0.094545,fixed_dual_engine_baseline,,,,2019-10
fold_01,quarterly_top20_mom12_top6,2019-10-08 00:00:00,2018-11-01,2019-11-01,0.0029068844,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2019-10
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-11-01 00:00:00,2018-11-01,2019-11-01,-0.0010272951,0.7,0.3,state_switch_candidate,,,,2019-11
fold_01,fixed_60_40,2019-11-01 00:00:00,2018-11-01,2019-11-01,-0.0014778686,0.922308,0.077692,fixed_dual_engine_baseline,,,,2019-11
fold_01,quarterly_top20_mom12_top6,2019-11-01 00:00:00,2018-11-01,2019-11-01,-0.0023389201,1.0,0.0,fundamental_gate_then_momentum_rank,6,14,20.0,2019-11
fold_02,annual_entry_monthly_exit_slow_fundamental,2019-09-02 00:00:00,2019-09-02,2020-09-01,0.0013195201,0.65,0.35,state_switch_candidate,,,,2019-09
fold_02,fixed_60_40,2019-09-02 00:00:00,2019-09-02,2020-09-01,0.0019316408,0.905455,0.094545,fixed_dual_engine_baseline,,,,2019-09
fold_02,quarterly_top20_mom12_top6,2019-09-02 00:00:00,2019-09-02,2020-09-01,0.0024637668,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2019-09
fold_02,annual_entry_monthly_exit_slow_fundamental,2019-10-08 00:00:00,2019-09-02,2020-09-01,0.0018078537,0.65,0.35,state_switch_candidate,,,,2019-10
fold_02,fixed_60_40,2019-10-08 00:00:00,2019-09-02,2020-09-01,0.0026132414,0.905455,0.094545,fixed_dual_engine_baseline,,,,2019-10
fold_02,quarterly_top20_mom12_top6,2019-10-08 00:00:00,2019-09-02,2020-09-01,0.0029068844,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2019-10
fold_02,annual_entry_monthly_exit_slow_fundamental,2019-11-01 00:00:00,2019-09-02,2020-09-01,-0.0010272951,0.7,0.3,state_switch_candidate,,,,2019-11
fold_02,fixed_60_40,2019-11-01 00:00:00,2019-09-02,2020-09-01,-0.0014927663,0.932308,0.067692,fixed_dual_engine_baseline,,,,2019-11
fold_02,quarterly_top20_mom12_top6,2019-11-01 00:00:00,2019-09-02,2020-09-01,-0.0023389201,1.0,0.0,fundamental_gate_then_momentum_rank,6,14,20.0,2019-11
fold_02,annual_entry_monthly_exit_slow_fundamental,2019-12-02 00:00:00,2019-09-02,2020-09-01,0.0019929218,0.9,0.1,state_switch_candidate,,,,2019-12
fold_02,fixed_60_40,2019-12-02 00:00:00,2019-09-02,2020-09-01,0.0020888766,0.938462,0.061538,fixed_dual_engine_baseline,,,,2019-12
fold_02,quarterly_top20_mom12_top6,2019-12-02 00:00:00,2019-09-02,2020-09-01,0.0030846865,1.0,0.0,fundamental_gate_then_momentum_rank,6,14,20.0,2019-12
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-01-02 00:00:00,2019-09-02,2020-09-01,-0.0052784098,0.7,0.3,state_switch_candidate,,,,2020-01
fold_02,fixed_60_40,2020-01-02 00:00:00,2019-09-02,2020-09-01,-0.0072436902,0.94,0.06,fixed_dual_engine_baseline,,,,2020-01
fold_02,quarterly_top20_mom12_top6,2020-01-02 00:00:00,2019-09-02,2020-09-01,-0.0085184396,1.0,0.0,fundamental_gate_then_momentum_rank,6,15,20.0,2020-01
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-02-03 00:00:00,2019-09-02,2020-09-01,0.0009443962,0.7,0.3,state_switch_candidate,,,,2020-02
fold_02,fixed_60_40,2020-02-03 00:00:00,2019-09-02,2020-09-01,0.0013081434,0.94,0.06,fixed_dual_engine_baseline,,,,2020-02
fold_02,quarterly_top20_mom12_top6,2020-02-03 00:00:00,2019-09-02,2020-09-01,0.0014229316,1.0,0.0,fundamental_gate_then_momentum_rank,6,15,20.0,2020-02
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-03-02 00:00:00,2019-09-02,2020-09-01,-0.0019402457,0.7,0.3,state_switch_candidate,,,,2020-03
fold_02,fixed_60_40,2020-03-02 00:00:00,2019-09-02,2020-09-01,-0.0027257529,0.93,0.07,fixed_dual_engine_baseline,,,,2020-03
fold_02,quarterly_top20_mom12_top6,2020-03-02 00:00:00,2019-09-02,2020-09-01,-0.0034752828,1.0,0.0,fundamental_gate_then_momentum_rank,6,15,20.0,2020-03
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-04-01 00:00:00,2019-09-02,2020-09-01,0.0008056921,0.65,0.35,state_switch_candidate,,,,2020-04
fold_02,fixed_60_40,2020-04-01 00:00:00,2019-09-02,2020-09-01,0.0013065076,0.94,0.06,fixed_dual_engine_baseline,,,,2020-04
fold_02,quarterly_top20_mom12_top6,2020-04-01 00:00:00,2019-09-02,2020-09-01,0.0019387076,1.0,0.0,fundamental_gate_then_momentum_rank,6,15,20.0,2020-04
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-05-06 00:00:00,2019-09-02,2020-09-01,0.0006376459,0.75,0.25,state_switch_candidate,,,,2020-05
fold_02,fixed_60_40,2020-05-06 00:00:00,2019-09-02,2020-09-01,0.0008359568,0.94,0.06,fixed_dual_engine_baseline,,,,2020-05
fold_02,quarterly_top20_mom12_top6,2020-05-06 00:00:00,2019-09-02,2020-09-01,0.0003725762,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2020-05
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-06-01 00:00:00,2019-09-02,2020-09-01,0.0002813605,0.75,0.25,state_switch_candidate,,,,2020-06
fold_02,fixed_60_40,2020-06-01 00:00:00,2019-09-02,2020-09-01,0.0003877784,0.96085,0.03915,fixed_dual_engine_baseline,,,,2020-06
fold_02,quarterly_top20_mom12_top6,2020-06-01 00:00:00,2019-09-02,2020-09-01,0.00038192,1.0,0.0,fundamental_gate_then_momentum_rank,6,14,20.0,2020-06
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-07-01 00:00:00,2019-09-02,2020-09-01,0.0011705553,0.75,0.25,state_switch_candidate,,,,2020-07
fold_02,fixed_60_40,2020-07-01 00:00:00,2019-09-02,2020-09-01,0.0016009506,0.946667,0.053333,fixed_dual_engine_baseline,,,,2020-07
fold_02,quarterly_top20_mom12_top6,2020-07-01 00:00:00,2019-09-02,2020-09-01,0.0026020535,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2020-07
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-08-03 00:00:00,2019-09-02,2020-09-01,0.0021951213,0.95,0.05,state_switch_candidate,,,,2020-08
fold_02,fixed_60_40,2020-08-03 00:00:00,2019-09-02,2020-09-01,0.0023579774,0.955294,0.044706,fixed_dual_engine_baseline,,,,2020-08
fold_02,quarterly_top20_mom12_top6,2020-08-03 00:00:00,2019-09-02,2020-09-01,0.0046824945,1.0,0.0,fundamental_gate_then_momentum_rank,6,13,20.0,2020-08
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-09-01 00:00:00,2019-09-02,2020-09-01,-0.0014419794,0.75,0.25,state_switch_candidate,,,,2020-09
fold_02,fixed_60_40,2020-09-01 00:00:00,2019-09-02,2020-09-01,-0.0017667496,0.94381,0.05619,fixed_dual_engine_baseline,,,,2020-09
fold_02,quarterly_top20_mom12_top6,2020-09-01 00:00:00,2019-09-02,2020-09-01,-0.002633316,1.0,0.0,fundamental_gate_then_momentum_rank,6,14,20.0,2020-09
