fold_id,strategy_group,rebalance_date,validation_start,validation_end,portfolio_return,cash_weight,invested_weight,source_family
fold_01,annual_entry_monthly_exit_slow_fundamental,2018-11-01 00:00:00,2018-11-01,2019-11-01,-0.0005335706,0.200769,0.799231,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2018-12-03 00:00:00,2018-11-01,2019-11-01,-0.0027746822,0.253636,0.746364,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-01-02 00:00:00,2018-11-01,2019-11-01,0.0031028512,0.253636,0.746364,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-02-01 00:00:00,2018-11-01,2019-11-01,0.0047803834,0.2,0.8,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-03-01 00:00:00,2018-11-01,2019-11-01,-0.0009220525,0.200769,0.799231,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-04-01 00:00:00,2018-11-01,2019-11-01,-8.08991e-05,0.25,0.75,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-05-06 00:00:00,2018-11-01,2019-11-01,-0.0006022309,0.35,0.65,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-06-03 00:00:00,2018-11-01,2019-11-01,0.0023369566,0.15,0.85,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-07-01 00:00:00,2018-11-01,2019-11-01,-9.10968e-05,0.15,0.85,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-08-01 00:00:00,2018-11-01,2019-11-01,-0.0016384069,0.15,0.85,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-09-02 00:00:00,2018-11-01,2019-11-01,0.0013195201,0.35,0.65,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-10-08 00:00:00,2018-11-01,2019-11-01,0.0018078537,0.35,0.65,state_machine_common_sample
fold_01,annual_entry_monthly_exit_slow_fundamental,2019-11-01 00:00:00,2018-11-01,2019-11-01,-0.0010272951,0.3,0.7,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2019-09-02 00:00:00,2019-09-02,2020-09-01,0.0013195201,0.35,0.65,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2019-10-08 00:00:00,2019-09-02,2020-09-01,0.0018078537,0.35,0.65,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2019-11-01 00:00:00,2019-09-02,2020-09-01,-0.0010272951,0.3,0.7,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2019-12-02 00:00:00,2019-09-02,2020-09-01,0.0019929218,0.1,0.9,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-01-02 00:00:00,2019-09-02,2020-09-01,-0.0052784098,0.3,0.7,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-02-03 00:00:00,2019-09-02,2020-09-01,0.0009443962,0.3,0.7,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-03-02 00:00:00,2019-09-02,2020-09-01,-0.0019402457,0.3,0.7,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-04-01 00:00:00,2019-09-02,2020-09-01,0.0008056921,0.35,0.65,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-05-06 00:00:00,2019-09-02,2020-09-01,0.0006376459,0.25,0.75,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-06-01 00:00:00,2019-09-02,2020-09-01,0.0002813605,0.25,0.75,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-07-01 00:00:00,2019-09-02,2020-09-01,0.0011705553,0.25,0.75,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-08-03 00:00:00,2019-09-02,2020-09-01,0.0021951213,0.05,0.95,state_machine_common_sample
fold_02,annual_entry_monthly_exit_slow_fundamental,2020-09-01 00:00:00,2019-09-02,2020-09-01,-0.0014419794,0.25,0.75,state_machine_common_sample
fold_01,blend_60_40,2018-11-01 00:00:00,2018-11-01,2019-11-01,0.0002534591,0.106667,0.893333,dual_engine_common_sample
fold_01,blend_60_40,2019-05-06 00:00:00,2018-11-01,2019-11-01,-9.79457e-05,0.094545,0.905455,dual_engine_common_sample
fold_01,blend_60_40,2019-09-02 00:00:00,2018-11-01,2019-11-01,0.0023208015,0.094545,0.905455,dual_engine_common_sample
fold_01,blend_60_40,2019-11-01 00:00:00,2018-11-01,2019-11-01,-0.0009460834,0.067692,0.932308,dual_engine_common_sample
fold_02,blend_60_40,2019-09-02 00:00:00,2019-09-02,2020-09-01,0.0023208015,0.094545,0.905455,dual_engine_common_sample
