day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set
2014-01-02,601988.XSHG,0.0213,7285.7754,5103.234,4.7468,0.8193,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-03,601988.XSHG,0.0233,7146.2011,5005.4709,4.6559,0.8036,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-06,601988.XSHG,0.0351,7067.9232,4952.2796,4.6049,0.7948,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-07,601988.XSHG,0.0272,7039.9867,4932.7054,4.5867,0.7917,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-08,601988.XSHG,0.0353,7012.0503,4913.1311,4.5685,0.7885,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-09,601988.XSHG,0.0232,6984.1138,4893.5569,4.5503,0.7854,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-10,601988.XSHG,0.021,6956.1774,4873.9827,4.5321,0.7822,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-13,601988.XSHG,0.0151,7039.9867,4932.7054,4.5867,0.7917,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-14,601988.XSHG,0.0156,7012.0503,4913.1311,4.5685,0.7885,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-15,601988.XSHG,0.0259,7012.0503,4913.1311,4.5685,0.7885,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-16,601988.XSHG,0.016,6984.1138,4893.5569,4.5503,0.7854,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-17,601988.XSHG,0.0211,6928.2409,4854.4084,4.5139,0.7791,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-20,601988.XSHG,0.0203,6900.3044,4834.8342,4.4957,0.776,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-21,601988.XSHG,0.0169,6900.3044,4834.8342,4.4957,0.776,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-22,601988.XSHG,0.0266,7012.0503,4913.1311,4.5685,0.7885,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-23,601988.XSHG,0.0205,6928.2409,4854.4084,4.5139,0.7791,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-24,601988.XSHG,0.0185,6956.1774,4873.9827,4.5321,0.7822,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-27,601988.XSHG,0.0223,6928.2409,4854.4084,4.5139,0.7791,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-28,601988.XSHG,0.0152,6956.1774,4873.9827,4.5321,0.7822,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-29,601988.XSHG,0.02,7067.9232,4952.2796,4.6049,0.7948,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-30,601988.XSHG,0.01,7012.0503,4913.1311,4.5685,0.7885,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-07,601988.XSHG,0.011,6956.1774,4873.9827,4.5321,0.7822,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-10,601988.XSHG,0.0186,7012.0503,4913.1311,4.5685,0.7885,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-11,601988.XSHG,0.031,7123.7961,4991.428,4.6413,0.8011,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-12,601988.XSHG,0.0152,7095.8596,4971.8538,4.6231,0.798,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-13,601988.XSHG,0.0248,7123.7961,4991.428,4.6413,0.8011,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-14,601988.XSHG,0.014,7095.8596,4971.8538,4.6231,0.798,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-17,601988.XSHG,0.0161,7123.7961,4991.428,4.6413,0.8011,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-18,601988.XSHG,0.0153,7095.8596,4971.8538,4.6231,0.798,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-19,601988.XSHG,0.0539,7347.2877,5148.0219,4.7869,0.8262,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-20,601988.XSHG,0.0233,7291.4148,5108.8734,4.7505,0.8199,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-21,601988.XSHG,0.0143,7207.6055,5050.1507,4.6959,0.8105,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-24,601988.XSHG,0.0152,7067.9232,4952.2796,4.6049,0.7948,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-25,601988.XSHG,0.0175,7095.8596,4971.8538,4.6231,0.798,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-26,601988.XSHG,0.0102,7012.0503,4913.1311,4.5685,0.7885,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-27,601988.XSHG,0.0138,7067.9232,4952.2796,4.6049,0.7948,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-28,601988.XSHG,0.015,7012.0503,4913.1311,4.5685,0.7885,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-03,601988.XSHG,0.0215,6984.1138,4893.5569,4.5503,0.7854,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-04,601988.XSHG,0.0136,6984.1138,4893.5569,4.5503,0.7854,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-05,601988.XSHG,0.0165,6956.1774,4873.9827,4.5321,0.7822,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-06,601988.XSHG,0.0101,6984.1138,4893.5569,4.5503,0.7854,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-07,601988.XSHG,0.0106,6956.1774,4873.9827,4.5321,0.7822,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-10,601988.XSHG,0.0188,6872.368,4815.26,4.4775,0.7728,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-11,601988.XSHG,0.0114,6872.368,4815.26,4.4775,0.7728,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-12,601988.XSHG,0.0149,6844.4315,4795.6858,4.4593,0.7697,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-13,601988.XSHG,0.0243,6956.1774,4873.9827,4.5321,0.7822,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-14,601988.XSHG,0.0168,6900.3044,4834.8342,4.4957,0.776,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-17,601988.XSHG,0.0086,6928.2409,4854.4084,4.5139,0.7791,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-18,601988.XSHG,0.0091,6900.3044,4834.8342,4.4957,0.776,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-19,601988.XSHG,0.0144,6900.3044,4834.8342,4.4957,0.776,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-20,601988.XSHG,0.0138,6872.368,4815.26,4.4775,0.7728,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-21,601988.XSHG,0.0396,7067.9232,4952.2796,4.6049,0.7948,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-24,601988.XSHG,0.0216,7095.8596,4971.8538,4.6231,0.798,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-25,601988.XSHG,0.0115,7095.8596,4971.8538,4.6231,0.798,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-26,601988.XSHG,0.0133,7095.8596,4971.8538,4.6231,0.798,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-27,601988.XSHG,0.027,7151.7325,5011.0023,4.5578,0.7741,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-28,601988.XSHG,0.0477,7207.6055,5050.1507,4.5934,0.7801,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-03-31,601988.XSHG,0.0217,7235.5419,5069.7249,4.6112,0.7831,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
