id,code,pubDate,statDate,total_loan,total_deposit,interest_earning_assets,non_interest_earning_assets,interest_earning_assets_yield,interest_bearing_liabilities,non_interest_bearing_liabilities,interest_bearing_liabilities_interest_rate,non_interest_income,non_interest_income_ratio,net_interest_margin,net_profit_margin,core_level_capital,net_core_level_capital,core_level_capital_adequacy_ratio,net_level_1_capital,level_1_capital_adequacy_ratio,net_capital,capital_adequacy_ratio,weighted_risky_asset,deposit_loan_ratio,short_term_asset_liquidity_ratio_CNY,short_term_asset_liquidity_ratio_FC,Nonperforming_loan_rate,single_largest_customer_loan_ratio,top_ten_customer_loan_ratio,bad_debts_reserve,non_performing_loan_provision_coverage,cost_to_income_ratio,former_core_capital,former_net_core_capital,former_net_core_capital_adequacy_ratio,former_net_capital,former_capital_adequacy_ratio,former_weighted_risky_asset,normal_amount,normal_amount_ratio,concerned_amount,concerned_amount_ratio,secondary_amount,secondary_amount_ratio,suspicious_amount,suspicious_amount_ratio,loss_amount,loss_amount_ratio,short_term_loan_average_balance,short_term_loan_annualized_average_interest_rate,mid_term_loan_annualized_average_balance,mid_term_loan_annualized_average_interest_rate,enterprise_deposits_average_balance,enterprise_deposits_average_interest_rate,savings_deposit_average_balance,savings_deposit_average_interest_rate,requested_year
110550,601988.XSHG,2015-03-26,2014-12-31,8483275000000.0,10885223000000.0,14274546000000.0,976836000000.0,4.22,13428278000000.0,639676000000.0,2.1,78249000000.0,29.63,2.25,2.2529,1068706000000.0,1054389000000.0,10.61,1127312000000.0,11.35,1378026000000.0,13.87,9934105000000.0,72.97,49.9,59.9,1.18,2.4,14.7,188531000000.0,187.6,28.57,,,11.04,,14.38,,8182127000000.0,96.45,200654000000.0,2.37,54369000000.0,0.64,24705000000.0,0.29,21420000000.0,0.25,,,,,,,,,2014
110621,601988.XSHG,2016-03-31,2015-12-31,9135860000000.0,11729171000000.0,15524458000000.0,1291139000000.0,3.96,14362543000000.0,1095449000000.0,1.99,145671000000.0,30.71,2.12,2.0669,1197868000000.0,1182300000000.0,11.1,1285459000000.0,12.07,1498396000000.0,14.06,10654081000000.0,77.8901,48.6,62.0,1.43,2.3,14.0,200665000000.0,153.3,28.3,,,11.38,,14.45,,8775798000000.0,96.06,229165000000.0,2.51,58741000000.0,0.64,41516000000.0,0.45,30640000000.0,0.34,,,,,,,,,2015
110532,601988.XSHG,2017-04-01,2016-12-31,9973362000000.0,12939748000000.0,16767348000000.0,1381541000000.0,3.38,15430566000000.0,1231231000000.0,1.69,177582000000.0,36.72,1.83,1.7604,1297421000000.0,1280841000000.0,11.37,1384364000000.0,12.28,1609537000000.0,14.28,11269592000000.0,77.0754,45.6,52.7,1.46,2.3,14.2,237716000000.0,162.82,28.08,,,11.77,,14.67,,9516729000000.0,95.43,310630000000.0,3.11,61247000000.0,0.61,36817000000.0,0.37,47939000000.0,0.48,,,,,,,,,2016
110742,601988.XSHG,2018-03-30,2017-12-31,10896558000000.0,13657924000000.0,18360140000000.0,1107284000000.0,3.39,16855454000000.0,1035291000000.0,1.69,144889000000.0,29.98,1.84,1.7842,1377408000000.0,1356088000000.0,11.15,1461090000000.0,12.02,1725330000000.0,14.19,12157771000000.0,79.7819,47.1,56.9,1.45,3.8,17.4,252254000000.0,159.18,28.34,,,11.69,,14.56,,10421064000000.0,95.64,317025000000.0,2.91,59265000000.0,0.54,45404000000.0,0.42,53800000000.0,0.49,,,,,,,,,2017
110771,601988.XSHG,2019-03-30,2018-12-31,11819272000000.0,14883596000000.0,18886486000000.0,2380789000000.0,3.64,17696078000000.0,1845800000000.0,1.85,144401000000.0,28.64,1.95,1.794,1488010000000.0,1465769000000.0,11.41,1575293000000.0,12.27,1922350000000.0,14.97,12841526000000.0,79.4114,58.7,54.8,1.42,3.6,15.3,303781000000.0,181.97,28.09,,,11.63,,15.01,,11278379000000.0,95.68,342363000000.0,2.9,49788000000.0,0.42,49341000000.0,0.42,67812000000.0,0.58,,,,,,,,,2018
110895,601988.XSHG,2020-03-28,2019-12-31,13068785000000.0,15817548000000.0,20620670000000.0,2149074000000.0,3.68,19025340000000.0,1767708000000.0,1.93,159132000000.0,31.85,1.89,1.7533,1620563000000.0,1596378000000.0,11.3,1806435000000.0,12.79,2201278000000.0,15.59,14123915000000.0,82.6221,54.6,60.4,1.37,3.2,14.5,325923000000.0,182.86,28.0,,,,,,,12566640000000.0,96.41,289314000000.0,2.22,77459000000.0,0.59,51804000000.0,0.4,48972000000.0,0.38,,,,,,,,,2019
111005,601988.XSHG,2021-03-31,2020-12-31,14216477000000.0,16879171000000.0,22461743000000.0,1940916000000.0,3.38,20728709000000.0,1511113000000.0,1.66,149613000000.0,26.46,1.85,1.797,1730401000000.0,1704778000000.0,11.28,1992621000000.0,13.19,2451055000000.0,16.22,15109085000000.0,84.225,54.5,58.6,1.46,2.8,13.9,368619000000.0,177.84,26.73,,,,,,,13711518000000.0,96.67,264594000000.0,1.87,125118000000.0,0.88,33823000000.0,0.24,48332000000.0,0.34,,,,,,,,,2020
111079,601988.XSHG,2022-03-30,2021-12-31,15712574000000.0,18142887000000.0,24271688000000.0,2450720000000.0,3.25,22409593000000.0,1962262000000.0,1.63,180417000000.0,29.79,1.75,1.6895,1870301000000.0,1843886000000.0,11.3,2173731000000.0,13.32,2698839000000.0,16.53,16323713000000.0,82.5,49.6,69.9,1.33,2.3,12.8,390541000000.0,187.05,28.17,,,,,,,15255389000000.0,97.32,210813000000.0,1.35,61790000000.0,0.39,60718000000.0,0.39,86284000000.0,0.55,,,,,,,,,2021
111347,601988.XSHG,2023-03-31,2022-12-31,17552761000000.0,20201825000000.0,26204240000000.0,2709617000000.0,3.36,24126735000000.0,2219551000000.0,1.75,126101000000.0,25.46,1.75,1.6839,2019934000000.0,1991342000000.0,11.84,2372990000000.0,14.11,2946471000000.0,17.52,16818275000000.0,82.9,49.0,72.6,1.32,2.2,12.7,436756000000.0,188.73,28.92,,,,,,,17040018000000.0,97.33,235654000000.0,1.35,104331000000.0,0.6,60569000000.0,0.35,66777000000.0,0.37,,,,,,,,,2022
112023,601988.XSHG,2024-03-29,2023-12-31,19907987000000.0,22907050000000.0,29266453000000.0,3165713000000.0,3.58,26691566000000.0,2983785000000.0,2.18,156344000000.0,25.1,1.59,1.4899,2193211000000.0,2161825000000.0,11.63,2570272000000.0,13.83,3297408000000.0,17.74,18591278000000.0,82.7,55.0,72.6,1.27,2.0,13.0,484908000000.0,191.66,28.5,,,,,,,19364544000000.0,97.27,290238000000.0,1.46,67246000000.0,0.34,105261000000.0,0.53,80698000000.0,0.4,,,,,,,,,2023
