id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,requested_period
244840,002948.XSHE,2019-03-31,2019-04-27,2019-03-31,0.1124,504340330.47,642732000.0,218442000.0,1.79,1.78,0.16,24.79,,69.66,30.34,24.79,,26.67,,65.91,33.93,99.46,,-409.91,-1351.03,98.69,1.76,98.69,1.76,13.74,101.18,12.85,86.45,9.89,88.31,2019q1
253856,002948.XSHE,2019-06-30,2019-08-24,2019-06-30,0.2065,930449234.53,1195066000.0,582461000.0,3.15,3.15,0.28,38.97,,50.51,49.49,38.97,,27.01,,51.21,48.69,99.9,,84.45,170.63,,13.98,,13.98,,85.94,,79.13,,83.68,2019q2
262298,002948.XSHE,2019-09-30,2019-10-30,2019-09-30,0.1127,505419435.0,607983000.0,597084000.0,1.72,1.71,0.15,19.54,,77.11,22.89,19.54,,27.34,,1.8,98.59,99.46,,-211.52,-923.92,23.01,9.98,23.01,9.98,19.18,-49.13,20.47,-44.84,17.46,-45.44,2019q3
282904,002948.XSHE,2019-12-31,2020-03-21,2019-12-31,0.075,337187000.0,376183000.0,134914000.0,1.14,1.13,0.1,14.43,,84.51,15.49,14.43,,46.23,,62.98,35.22,99.71,,216.49,1397.17,16.62,-8.58,16.62,-8.58,17.75,-38.13,24.39,-32.48,25.59,-33.45,2019q4
290023,002948.XSHE,2020-03-31,2020-04-25,2020-03-31,0.12300000000000001,545055849.0,636567000.0,551994000.0,1.83,1.79,0.15,19.71,,78.16,21.84,19.71,,23.03,,12.92,84.34,98.25,,-253.17,-1159.25,37.6,20.06,37.6,20.06,-0.96,69.22,9.38,63.96,9.41,64.05,2020q1
329425,002948.XSHE,2020-06-30,2020-08-29,2020-06-30,0.2164,971964322.0,1203281000.0,488014000.0,3.19,3.18,0.24,31.23,,62.04,37.96,31.23,,22.59,,59.35,40.5,99.61,,855.09,2252.57,31.28,8.75,31.28,8.75,0.69,89.03,5.22,72.31,4.76,75.88,2020q2
339055,002948.XSHE,2020-09-30,2020-10-31,2020-09-30,0.1058,478544784.0,527329000.0,-164726000.0,1.59,1.59,0.11,20.69,,77.41,22.59,20.69,,36.52,,131.64,-31.33,100.28,,681.83,3018.9,-12.08,-26.34,-12.08,-26.34,-13.27,-56.18,-6.91,-51.2,-6.09,-51.09,2020q3
370292,002948.XSHE,2020-12-31,2021-03-31,2020-12-31,0.0857,387937045.0,353060000.0,-194110000.0,1.28,1.29,0.09,19.12,,83.36,16.64,19.12,,61.43,,159.51,-56.59,100.42,,454.86,2732.85,-12.63,-9.15,-12.63,-9.15,-6.15,-33.05,15.77,-16.04,14.24,-19.05,2020q4
378277,002948.XSHE,2021-03-31,2021-04-30,2021-03-31,0.1431,640103243.4,716186000.0,414321000.0,2.1,2.08,0.14,23.3,,74.78,25.22,23.3,,25.15,,42.07,57.75,99.18,,-961.62,-3813.23,-2.57,33.89,-2.57,33.89,12.51,102.85,15.18,63.13,16.34,67.06,2021q1
405295,002948.XSHE,2021-06-30,2021-08-31,2021-06-30,0.2555,1151873756.6,1424231000.0,224552000.0,3.67,3.67,0.24,47.1,,42.73,57.27,47.1,,30.21,,84.3,15.78,99.97,,703.24,1227.94,-21.54,-12.43,-21.54,-12.43,18.36,98.86,18.31,76.99,18.08,78.52,2021q2
417112,002948.XSHE,2021-09-30,2021-10-30,2021-09-30,0.1377,618703000.0,658805000.0,558605000.0,1.95,1.94,0.13,22.31,,76.97,23.03,22.31,,37.26,,15.26,85.09,99.66,,79.21,343.98,22.53,15.04,22.53,15.04,24.93,-53.74,32.09,-45.51,30.09,-46.12,2021q3
420000,002948.XSHE,2021-12-31,2022-03-26,2021-12-31,0.1118,492884000.0,423832000.0,311478000.0,1.56,1.52,0.1,17.71,,85.62,14.38,17.71,,42.21,,26.23,72.72,97.75,,358.17,2491.53,38.99,3.06,38.99,3.06,20.05,-35.67,28.7,-18.19,30.52,-18.78,2021q4
428760,002948.XSHE,2022-03-31,2022-04-30,2022-03-31,0.135,780375000.0,876638000.0,342692000.0,2.24,2.23,0.15,29.76,,67.25,32.75,29.76,,29.95,,60.78,39.01,99.33,,-588.35,-1796.66,-5.74,-9.2,-5.74,-9.2,22.4,106.84,20.41,52.62,21.73,55.81,2022q1
1202367,002948.XSHE,2022-06-30,2022-08-27,2022-06-30,0.2118,1220059732.15,1445342000.0,1031254000.0,3.27,3.24,0.24,35.77,,59.08,40.92,35.77,,26.77,,28.64,71.33,98.97,,253.71,620.0,42.03,31.94,42.03,31.94,1.48,64.87,7.88,58.58,6.99,56.9,2022q2
1371708,002948.XSHE,2022-09-30,2022-10-29,2022-09-30,0.0991,542558267.85,497535000.0,690724000.0,1.56,1.47,0.11,18.13,,84.99,15.01,18.13,,36.96,,-38.94,139.23,94.1,,-588.91,-3922.27,15.83,-6.18,15.83,-6.18,-24.48,-65.58,-5.87,-52.46,-7.13,-53.23,2022q3
1836058,002948.XSHE,2022-12-31,2023-04-01,2022-12-31,0.0838,459392000.0,308120000.0,-266313000.0,1.35,1.28,0.1,23.88,,85.47,14.53,23.88,,51.83,,182.08,-84.41,94.18,,1161.06,7993.31,-28.05,-35.98,-28.05,-35.98,-27.3,-38.07,-2.99,-15.69,-3.26,-15.4,2022q4
2042419,002948.XSHE,2023-03-31,2023-04-29,2023-03-31,0.1564,909742000.0,1048336000.0,411313000.0,2.51,2.51,0.18,30.62,,66.11,33.89,30.62,,28.61,,60.98,39.38,99.96,,191.75,565.76,15.54,45.81,15.54,45.81,19.59,240.24,18.87,87.01,15.83,86.57,2023q1
2704872,002948.XSHE,2023-06-30,2023-08-31,2023-06-30,0.2449,1372039000.0,1732383000.0,432277000.0,3.82,3.68,0.26,44.63,,47.06,52.94,44.63,,24.71,,74.64,24.82,96.24,,-28.54,-53.91,-7.36,5.79,-7.36,5.79,19.86,65.25,15.58,54.18,15.65,56.65,2023q2
3000262,002948.XSHE,2023-09-30,2023-10-27,2023-09-30,0.1122,611742000.0,710937000.0,504679000.0,1.71,1.6,0.12,20.47,,78.66,21.34,20.47,,34.74,,29.02,71.0,93.68,,86.4,404.86,0.54,1.81,0.54,1.81,42.89,-58.96,13.53,-53.3,13.26,-54.19,2023q3
3011080,002948.XSHE,2023-12-31,2024-03-29,2023-12-31,0.0962,542691000.0,432411000.0,105602000.0,1.45,1.4,0.1,20.96,,84.42,15.58,20.96,,54.38,,74.9,24.2,96.93,,81.48,523.0,30.84,-16.69,30.84,-16.69,40.34,-39.18,14.89,-14.68,14.77,-14.27,2023q4
