code,statement_family,missing_reason,row_count
002948.XSHE,cash_flow,,762
002948.XSHE,cash_flow,missing_raw_value,258
002948.XSHE,cash_flow,outside_current_available_window,111
002948.XSHE,cash_flow,missing_prior_cumulative_report,16
002948.XSHE,indicator,,751
002948.XSHE,indicator,missing_raw_value,117
002948.XSHE,indicator,outside_current_available_window,93
002948.XSHE,balance,missing_raw_value,1027
002948.XSHE,balance,,849
002948.XSHE,balance,outside_current_available_window,201
002948.XSHE,parent_balance,missing_target_report,500
002948.XSHE,parent_balance,,496
002948.XSHE,parent_balance,missing_raw_value,404
002948.XSHE,parent_balance,outside_current_available_window,150
002948.XSHE,bank_indicator,,210
002948.XSHE,bank_indicator,provider_unavailable_annual_bank_indicator,159
002948.XSHE,bank_indicator,missing_raw_value,55
002958.XSHE,income,,384
002958.XSHE,income,outside_current_available_window,42
002958.XSHE,income,missing_raw_value,6
002958.XSHE,income,missing_prior_cumulative_report,2
002958.XSHE,cash_flow,,774
002958.XSHE,cash_flow,missing_raw_value,239
002958.XSHE,cash_flow,outside_current_available_window,111
002958.XSHE,cash_flow,missing_prior_cumulative_report,23
002958.XSHE,indicator,,758
002958.XSHE,indicator,missing_raw_value,110
002958.XSHE,indicator,outside_current_available_window,93
002958.XSHE,balance,,950
002958.XSHE,balance,missing_raw_value,926
002958.XSHE,balance,outside_current_available_window,201
002958.XSHE,parent_balance,,831
002958.XSHE,parent_balance,missing_raw_value,569
002958.XSHE,parent_balance,outside_current_available_window,150
002958.XSHE,bank_indicator,,202
002958.XSHE,bank_indicator,provider_unavailable_annual_bank_indicator,159
002958.XSHE,bank_indicator,missing_raw_value,63
002966.XSHE,income,,339
002966.XSHE,income,outside_current_available_window,42
002966.XSHE,income,missing_raw_value,25
002966.XSHE,cash_flow,,718
002966.XSHE,cash_flow,missing_raw_value,231
002966.XSHE,cash_flow,outside_current_available_window,111
002966.XSHE,cash_flow,missing_prior_cumulative_report,13
002966.XSHE,indicator,,702
002966.XSHE,indicator,missing_raw_value,104
002966.XSHE,indicator,outside_current_available_window,93
002966.XSHE,balance,missing_raw_value,881
002966.XSHE,balance,,861
002966.XSHE,balance,outside_current_available_window,201
002966.XSHE,parent_balance,missing_target_report,500
002966.XSHE,parent_balance,,476
002966.XSHE,parent_balance,missing_raw_value,324
002966.XSHE,parent_balance,outside_current_available_window,150
002966.XSHE,bank_indicator,,209
002966.XSHE,bank_indicator,provider_unavailable_annual_bank_indicator,159
002966.XSHE,bank_indicator,missing_raw_value,56
600000.XSHG,income,,663
600000.XSHG,income,outside_current_available_window,42
600000.XSHG,income,missing_raw_value,21
600000.XSHG,income,missing_prior_cumulative_report,2
600000.XSHG,cash_flow,,1312
600000.XSHG,cash_flow,missing_raw_value,476
600000.XSHG,cash_flow,outside_current_available_window,111
600000.XSHG,cash_flow,missing_prior_cumulative_report,25
600000.XSHG,indicator,,1321
600000.XSHG,indicator,missing_raw_value,198
600000.XSHG,indicator,outside_current_available_window,93
600000.XSHG,balance,missing_raw_value,1644
600000.XSHG,balance,,1639
600000.XSHG,balance,outside_current_available_window,201
600000.XSHG,parent_balance,,1393
600000.XSHG,parent_balance,missing_raw_value,1057
600000.XSHG,parent_balance,outside_current_available_window,150
600000.XSHG,bank_indicator,,402
600000.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
600000.XSHG,bank_indicator,missing_raw_value,128
600015.XSHG,income,,664
600015.XSHG,income,outside_current_available_window,42
600015.XSHG,income,missing_raw_value,21
600015.XSHG,income,missing_prior_cumulative_report,1
600015.XSHG,cash_flow,,1280
600015.XSHG,cash_flow,missing_raw_value,502
600015.XSHG,cash_flow,outside_current_available_window,111
600015.XSHG,cash_flow,missing_prior_cumulative_report,31
600015.XSHG,indicator,,1321
600015.XSHG,indicator,missing_raw_value,198
600015.XSHG,indicator,outside_current_available_window,93
600015.XSHG,balance,missing_raw_value,1828
600015.XSHG,balance,,1455
600015.XSHG,balance,outside_current_available_window,201
600015.XSHG,parent_balance,,1363
600015.XSHG,parent_balance,missing_raw_value,1087
600015.XSHG,parent_balance,outside_current_available_window,150
600015.XSHG,bank_indicator,,449
600015.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
600015.XSHG,bank_indicator,missing_raw_value,81
600016.XSHG,income,,666
600016.XSHG,income,outside_current_available_window,42
600016.XSHG,income,missing_raw_value,19
600016.XSHG,income,missing_prior_cumulative_report,1
600016.XSHG,cash_flow,,1300
600016.XSHG,cash_flow,missing_raw_value,483
600016.XSHG,cash_flow,outside_current_available_window,111
600016.XSHG,cash_flow,missing_prior_cumulative_report,30
600016.XSHG,indicator,,1321
600016.XSHG,indicator,missing_raw_value,198
600016.XSHG,indicator,outside_current_available_window,93
600016.XSHG,balance,missing_raw_value,1703
600016.XSHG,balance,,1580
600016.XSHG,balance,outside_current_available_window,201
600016.XSHG,parent_balance,,1407
600016.XSHG,parent_balance,missing_raw_value,1043
600016.XSHG,parent_balance,outside_current_available_window,150
600016.XSHG,bank_indicator,,423
600016.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
600016.XSHG,bank_indicator,missing_raw_value,107
600036.XSHG,income,,648
600036.XSHG,income,outside_current_available_window,42
600036.XSHG,income,missing_raw_value,29
600036.XSHG,income,missing_prior_cumulative_report,9
600036.XSHG,cash_flow,,1258
600036.XSHG,cash_flow,missing_raw_value,521
600036.XSHG,cash_flow,outside_current_available_window,111
600036.XSHG,cash_flow,missing_prior_cumulative_report,34
600036.XSHG,indicator,,1321
600036.XSHG,indicator,missing_raw_value,198
600036.XSHG,indicator,outside_current_available_window,93
600036.XSHG,balance,,1702
600036.XSHG,balance,missing_raw_value,1581
600036.XSHG,balance,outside_current_available_window,201
600036.XSHG,parent_balance,,1432
600036.XSHG,parent_balance,missing_raw_value,1018
600036.XSHG,parent_balance,outside_current_available_window,150
600036.XSHG,bank_indicator,,434
