id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,requested_period
242360,600928.XSHG,2019-03-31,2019-04-24,2019-03-31,0.1574,699355000.0,866716000.0,193165000.0,3.29,3.29,0.28,41.28,,48.94,51.06,41.28,,22.24,,77.72,22.29,99.98,,-17.1,-33.48,29.47,-30.99,29.47,-30.99,15.13,3.69,14.98,-4.67,15.02,-1.32,2019q1
254769,600928.XSHG,2019-06-30,2019-08-28,2019-06-30,0.1425,630233000.0,751311000.0,111403000.0,2.8,2.79,0.25,37.29,,55.66,44.34,37.29,,26.36,,85.23,14.84,99.52,,656.87,1481.59,,-0.17,,-0.17,,-13.32,,-9.82,,-9.47,2019q2
262702,600928.XSHG,2019-09-30,2019-10-30,2019-09-30,0.1526,678318000.0,772281000.0,175164000.0,2.97,2.97,0.26,39.29,,55.29,44.71,39.29,,25.9,,77.39,22.7,100.02,,-714.6,-1598.29,105.56,1.93,105.56,1.93,29.86,2.79,58.98,7.38,49.93,7.1,2019q3
289008,600928.XSHG,2019-12-31,2020-04-22,2019-12-31,0.1494,657783000.0,797798000.0,151475000.0,2.84,2.81,0.25,38.66,,53.77,46.23,38.66,,27.55,,80.62,18.89,99.06,,201.22,435.3,-29.84,-0.08,-29.84,-0.08,-4.56,3.3,-9.25,-1.69,-6.33,-2.09,2019q4
288972,600928.XSHG,2020-03-31,2020-04-22,2020-03-31,0.1733,782198000.0,947193000.0,203994000.0,3.2,3.25,0.27,43.76,,46.11,53.89,43.76,,19.36,,79.47,21.81,101.56,,79.37,147.3,3.55,1.85,3.55,1.85,9.29,18.73,9.76,15.29,10.1,15.99,2020q1
328026,600928.XSHG,2020-06-30,2020-08-28,2020-06-30,0.1299,575954000.0,605122000.0,11773000.0,2.38,2.37,0.2,35.94,,62.36,37.64,35.94,,28.14,,98.05,1.95,99.72,,884.12,2348.72,-5.14,-8.55,-5.14,-8.55,-19.46,-36.11,-8.59,-24.89,-8.8,-25.01,2020q2
338065,600928.XSHG,2020-09-30,2020-10-30,2020-09-30,0.1447,636602000.0,703259000.0,4865000.0,2.64,2.61,0.21,36.09,,60.57,39.43,36.09,,25.36,,99.3,0.69,98.97,,685.81,1739.28,3.26,10.95,3.26,10.95,-8.94,16.22,-5.14,11.43,-5.16,11.37,2020q3
379167,600928.XSHG,2020-12-31,2021-04-30,2020-12-31,0.1723,757758000.0,830581000.0,95843000.0,3.04,3.01,0.25,38.65,,58.24,41.76,38.65,,27.93,,88.46,11.54,98.98,,285.52,683.73,15.25,11.52,15.25,11.52,4.11,18.1,15.24,19.43,15.3,19.03,2020q4
378396,600928.XSHG,2021-03-31,2021-04-30,2021-03-31,0.1594,709992000.0,843343000.0,183668000.0,2.73,2.74,0.23,37.39,,55.47,44.53,37.39,,20.98,,78.45,21.84,100.25,,-49.17,-110.41,7.73,-4.79,7.73,-4.79,-10.96,1.54,-7.94,-7.9,-8.04,-7.49,2021q1
404244,600928.XSHG,2021-06-30,2021-08-28,2021-06-30,0.1597,710121000.0,752488000.0,21253000.0,2.71,2.71,0.22,42.77,,54.72,45.28,42.77,,26.49,,97.24,2.83,100.07,,-107.69,-237.82,3.37,-12.25,3.37,-12.25,24.35,-10.77,23.03,0.37,22.87,0.2,2021q2
