id,code,statDate,pubDate,statDate.1,total_operating_revenue,operating_revenue,interest_income,premiums_earned,commission_income,total_operating_cost,operating_cost,interest_expense,commission_expense,refunded_premiums,net_pay_insurance_claims,withdraw_insurance_contract_reserve,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,sale_expense,administration_expense,financial_expense,asset_impairment_loss,fair_value_variable_income,investment_income,invest_income_associates,exchange_income,operating_profit,non_operating_revenue,non_operating_expense,disposal_loss_non_current_liability,total_profit,income_tax_expense,net_profit,np_parent_company_owners,minority_profit,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,rd_expenses,asset_deal_income,sust_operate_net_profit,discon_operate_net_profit,credit_impairment_loss,net_open_hedge_income,interest_cost_fin,interest_income_fin,other_earnings,other_composite_income_mino_at,requested_period
144562,600928.XSHG,2019-03-31,2019-04-24,2019-03-31,1697518000.0,1697518000.0,1337244000.0,,166437000.0,830802000.0,,,,,0.0,0.0,,0.0,17218000.0,,377600000.0,,,87277000.0,108214000.0,,-2326000.0,866716000.0,25000.0,87000.0,,866654000.0,165851000.0,700803000.0,699509000.0,1294000.0,0.17,0.17,111826000.0,812629000.0,811335000.0,1294000.0,,-206000.0,,,433861000.0,,,,472000.0,,2019q1
152017,600928.XSHG,2019-06-30,2019-08-28,2019-06-30,1694614000.0,1694614000.0,1454694000.0,,123654000.0,943303000.0,,,,,0.0,0.0,,0.0,17582000.0,,446733000.0,,,-50313000.0,153687000.0,,8029000.0,751311000.0,15000.0,559000.0,,750767000.0,118804000.0,631963000.0,633257000.0,-1294000.0,0.1473,0.14,87108000.0,719071000.0,719232000.0,-161000.0,,4577000.0,,,910361000.0,,,,175000.0,,2019q2
156055,600928.XSHG,2019-09-30,2019-10-30,2019-09-30,1727316000.0,1727316000.0,1410257000.0,,140945000.0,955035000.0,,,,,0.0,0.0,,0.0,20486000.0,,447391000.0,,,33372000.0,133758000.0,,8034000.0,772281000.0,1104000.0,1848000.0,,771537000.0,92916000.0,678621000.0,678211000.0,410000.0,0.1551,0.15,-105965000.0,572656000.0,571290000.0,1366000.0,,478000.0,,,1394902000.0,,,,240000.0,,2019q3
165533,600928.XSHG,2019-12-31,2020-04-22,2019-12-31,1725851000.0,1725851000.0,1418609000.0,,150883000.0,928053000.0,,,,,0.0,0.0,,0.0,20185000.0,,475546000.0,,,-52123000.0,206961000.0,,-3363000.0,797798000.0,4924000.0,1016000.0,,801706000.0,134557000.0,667149000.0,664013000.0,3136000.0,0.1514,0.15,-197999000.0,469150000.0,465566000.0,3584000.0,,-55000.0,,,1824181000.0,,,,4934000.0,,2019q4
165502,600928.XSHG,2020-03-31,2020-04-22,2020-03-31,1757803000.0,1757803000.0,1433626000.0,,119941000.0,810610000.0,,,,,0.0,0.0,,0.0,21478000.0,,340344000.0,,,114275000.0,83713000.0,,6006000.0,947193000.0,41000.0,12038000.0,,935196000.0,166027000.0,769169000.0,770165000.0,-996000.0,0.17,0.17,69641000.0,838810000.0,839318000.0,-508000.0,,-30000.0,,,446620000.0,,,,,,2020q1
189632,600928.XSHG,2020-06-30,2020-08-28,2020-06-30,1607543000.0,1607543000.0,1465708000.0,,127428000.0,1002421000.0,,,,,0.0,0.0,,0.0,21990000.0,,452358000.0,,,-228811000.0,241099000.0,,-515000.0,605122000.0,502000.0,446000.0,,605178000.0,27487000.0,577691000.0,577547000.0,144000.0,0.1286,0.13,-171725000.0,405966000.0,406179000.0,-213000.0,,9000.0,,,973551000.0,,,,,,2020q2
193653,600928.XSHG,2020-09-30,2020-10-30,2020-09-30,1783544000.0,1783544000.0,1597780000.0,,176045000.0,1080285000.0,,,,,0.0,0.0,,0.0,22947000.0,,452354000.0,,,-29529000.0,47820000.0,,-13426000.0,703259000.0,185000.0,113000.0,,703331000.0,59590000.0,643741000.0,643198000.0,543000.0,0.1454,0.15,46972000.0,690713000.0,693203000.0,-2490000.0,,-13000.0,,,1576047000.0,,,,4750000.0,,2020q3
206003,600928.XSHG,2020-12-31,2021-04-30,2020-12-31,1988993000.0,1988993000.0,1710227000.0,,172235000.0,1158412000.0,,,,,0.0,0.0,,0.0,23017000.0,,555427000.0,,,-36122000.0,145995000.0,,-14030000.0,830581000.0,160000.0,160000.0,,830581000.0,61784000.0,768797000.0,765589000.0,3208000.0,0.1722,0.17,64619000.0,833416000.0,831546000.0,1870000.0,,-43000.0,,,2154527000.0,,,,10712000.0,,2020q4
205288,600928.XSHG,2021-03-31,2021-04-30,2021-03-31,1893709000.0,1893709000.0,1567468000.0,,141630000.0,1050366000.0,,,,,0.0,0.0,,0.0,23157000.0,,397350000.0,,,171311000.0,9430000.0,,2927000.0,843343000.0,1000.0,2430000.0,,840914000.0,132836000.0,708078000.0,708223000.0,-145000.0,0.16,0.16,4113000.0,712191000.0,711995000.0,196000.0,,-6000.0,,,627519000.0,,,,890000.0,,2021q1
210092,600928.XSHG,2021-06-30,2021-08-28,2021-06-30,1661687000.0,1661687000.0,1534042000.0,,105374000.0,909199000.0,,,,,0.0,0.0,,0.0,22977000.0,,440161000.0,,,-143924000.0,169887000.0,,-4710000.0,752488000.0,72000.0,552000.0,,752008000.0,41285000.0,710723000.0,709653000.0,1070000.0,0.1602,0.16,-43972000.0,666751000.0,665208000.0,1543000.0,,-12000.0,,,1071159000.0,,,,25000.0,,2021q2
