id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,requested_period
426407,001227.XSHE,2022-03-31,2022-04-28,2022-03-31,0.086,527839201.6,557526205.6,275669391.27,1.64,1.76,0.12,28.28,,68.78,31.22,28.28,,33.83,,50.7,49.58,107.79,,-45.88,-146.95,-1.58,-3.68,-1.58,-3.68,165.22,201.31,89.26,63.03,94.05,56.85,2022q1
1217551,001227.XSHE,2022-06-30,2022-08-30,2022-06-30,0.0597,347572830.77,309713361.97,503792911.91,1.1,1.12,0.08,17.04,,84.65,15.35,17.04,,22.62,,-62.3,161.72,102.21,,378.93,2469.07,,13.02,,13.02,,-44.45,,-31.89,,-30.56,2022q2
1367577,001227.XSHE,2022-09-30,2022-10-29,2022-09-30,0.0907,533575815.27,635343963.22,354542909.42,1.65,1.71,0.12,28.23,,66.23,33.77,28.23,,36.04,,44.81,56.58,103.32,,-139.14,-411.98,-8.75,-6.78,-8.75,-6.78,13.18,105.14,2.22,54.45,2.63,51.87,2022q3
2037853,001227.XSHE,2022-12-31,2023-04-29,2022-12-31,0.068,377070584.25,193736017.62,50805969.33,1.22,1.19,0.09,22.29,,89.03,10.97,22.29,,33.17,,72.17,25.65,97.29,,288.22,2626.32,-4.77,-6.16,-4.77,-6.16,4.7,-69.51,27.08,-25.9,24.13,-24.96,2022q4
2042670,001227.XSHE,2023-03-31,2023-04-29,2023-03-31,0.095,514332284.23,623735930.67,404544395.77,1.7,1.61,0.12,27.76,,68.81,31.19,27.76,,31.46,,35.01,64.61,95.09,,156.52,501.78,11.98,13.27,11.98,13.27,11.88,221.95,9.93,41.02,10.45,39.57,2023q1
2638793,001227.XSHE,2023-06-30,2023-08-26,2023-06-30,0.0732,370353812.42,391682106.99,491531690.05,1.3,1.15,0.09,20.17,,81.74,18.26,20.17,,25.67,,-26.0,127.98,88.77,,-11.6,-63.5,6.29,7.28,6.29,7.28,26.47,-37.2,25.79,-22.06,22.69,-22.87,2023q2
3000480,001227.XSHE,2023-09-30,2023-10-28,2023-09-30,0.0917,526571903.35,607100796.06,529089020.45,1.61,1.63,0.12,25.55,,71.04,28.96,25.55,,29.04,,12.91,87.56,100.79,,-78.7,-271.78,11.44,-2.26,11.44,-2.26,-4.45,55.0,0.86,23.84,1.16,25.22,2023q3
3022135,001227.XSHE,2023-12-31,2024-04-27,2023-12-31,0.0673,384647065.27,267599022.64,393786764.86,1.17,1.17,0.09,21.94,,84.92,15.08,21.94,,36.44,,-47.76,149.05,100.35,,177.53,1177.36,0.53,-15.35,0.53,-15.35,38.13,-55.92,-1.06,-27.31,-1.1,-26.63,2023q4
3021975,001227.XSHE,2024-03-31,2024-04-27,2024-03-31,0.0958,540721000.0,620822433.89,209664095.2,1.63,1.62,0.12,28.39,,68.53,31.47,28.39,,29.89,,66.12,33.72,99.09,,-70.63,-224.47,-1.33,11.17,-1.33,11.17,-0.47,132.0,0.9,43.82,0.89,42.37,2024q1
3133207,001227.XSHE,2024-06-30,2024-08-29,2024-06-30,0.0698,443360312.58,367902918.4,307402103.95,1.17,1.31,0.09,20.31,,81.81,18.19,20.31,,27.86,,16.53,84.01,111.47,,32.6,179.19,-5.74,2.49,-5.74,2.49,-6.07,-40.74,-5.05,-26.66,-4.66,-27.11,2024q2
3143760,001227.XSHE,2024-09-30,2024-10-29,2024-09-30,0.0968,407887687.42,631451116.71,766105272.85,1.61,1.19,0.12,27.33,,69.31,30.69,27.33,,32.99,,-21.35,121.45,74.0,,23.64,77.05,-1.85,1.77,-1.85,1.77,4.01,71.64,4.98,36.93,5.5,38.57,2024q3
3179873,001227.XSHE,2024-12-31,2025-04-28,2024-12-31,0.069,413947541.87,162908799.17,328695245.55,1.12,1.18,0.08,22.71,,90.95,9.05,22.71,,34.58,,-116.75,231.47,105.28,,836.58,9248.77,1.48,-12.47,1.48,-12.47,-39.12,-74.2,5.06,-27.26,2.58,-28.66,2024q4
3179623,001227.XSHE,2025-03-31,2025-04-28,2025-03-31,0.0981,520397277.27,612013751.34,375065884.49,1.58,1.47,0.12,28.08,,69.96,30.04,28.08,,29.64,,38.77,61.38,93.17,,64.61,215.08,3.26,13.11,3.26,13.11,-1.42,275.68,2.15,39.83,2.36,42.06,2025q1
3197531,001227.XSHE,2025-06-30,2025-08-28,2025-06-30,0.069,375736728.4,285301393.08,351331251.79,1.11,1.06,0.08,21.4,,84.85,15.15,21.4,,30.16,,-23.7,126.09,95.59,,555.81,3669.36,-6.85,-7.54,-6.85,-7.54,-22.45,-53.38,-1.88,-29.55,-1.18,-29.63,2025q2
3212502,001227.XSHE,2025-09-30,2025-10-31,2025-09-30,0.09699999999999999,529078967.7,610049607.46,337254439.54,1.45,1.39,0.11,28.35,,69.54,30.46,28.35,,33.71,,45.03,55.67,95.73,,115.95,380.65,-2.67,6.33,-2.67,6.33,-3.39,113.83,0.95,40.87,0.28,40.62,2025q3
3254197,001227.XSHE,2025-12-31,2026-04-28,2025-12-31,0.0633,416115327.23,256821404.91,218947454.02,0.95,1.1,0.07,19.65,,86.28,13.72,19.65,,33.94,,14.53,84.0,115.42,,677.73,4938.91,3.92,-6.55,3.92,-6.55,57.65,-57.9,-10.09,-35.22,-8.31,-34.77,2025q4
3253155,001227.XSHE,2026-03-31,2026-04-28,2026-03-31,0.0934,626804138.4,535412475.26,274368018.02,1.49,1.76,0.1,26.95,,73.66,26.34,26.95,,28.28,,49.15,51.66,117.87,,-84.68,-321.55,-0.2,8.63,-0.2,8.63,-12.52,108.48,-4.21,48.98,-4.79,47.51,2026q1
