id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,requested_period
92179,601998.XSHG,2014-03-31,2014-04-30,2014-03-31,0.2288,10688000000.0,14351000000.0,1465000000.0,4.62,4.61,0.29,36.68,,51.84,48.16,36.68,,28.07,,89.65,10.19,99.83,,-43.87,-91.1,23.93,6.48,23.93,6.48,16.82,27.03,17.13,28.93,16.14,28.76,2014q1
92178,601998.XSHG,2014-06-30,2014-08-29,2014-06-30,0.2421,11309000000.0,15128000000.0,2152000000.0,4.75,4.74,0.28,35.58,,53.17,46.83,35.58,,25.68,,85.77,14.22,99.83,,319.28,681.82,25.06,8.41,25.06,8.41,2.15,5.41,1.62,5.15,1.39,5.81,2014q2
92177,601998.XSHG,2014-09-30,2014-10-30,2014-09-30,0.21899999999999997,10202000000.0,13537000000.0,-34000000.0,4.19,4.17,0.25,34.23,,55.56,44.44,34.23,,28.3,,99.86,-0.25,99.57,,-275.65,-620.29,14.12,-5.71,14.12,-5.71,-2.56,-10.52,-1.59,-9.27,-2.13,-9.55,2014q3
92176,601998.XSHG,2014-12-31,2015-03-21,2014-12-31,0.1798,8300000000.0,11388000000.0,890000000.0,3.3,3.26,0.21,26.75,,64.58,35.42,26.75,,38.98,,91.44,7.75,98.67,,87.24,246.29,14.87,5.53,14.87,5.53,0.81,-15.88,1.45,-17.52,1.17,-17.9,2014q4
92175,601998.XSHG,2015-03-31,2015-04-25,2015-03-31,0.2336,10936000000.0,14645000000.0,729000000.0,4.12,4.12,0.26,33.64,,55.61,44.39,33.64,,28.34,,95.07,4.98,100.07,,-94.32,-212.48,10.71,2.63,10.71,2.63,2.05,28.6,1.52,29.02,2.07,29.91,2015q1
92174,601998.XSHG,2015-06-30,2015-08-19,2015-06-30,0.2492,11506000000.0,15465000000.0,2025000000.0,4.21,4.16,0.26,32.05,,58.25,41.75,32.05,,23.81,,86.8,13.08,98.7,,187.06,448.09,14.67,12.29,14.67,12.29,2.23,5.6,3.29,6.98,2.91,6.68,2015q2
92173,601998.XSHG,2015-09-30,2015-10-28,2015-09-30,0.221,10312000000.0,13621000000.0,1791000000.0,3.58,3.57,0.23,27.97,,63.59,36.41,27.97,,25.7,,86.21,13.05,99.73,,3.85,10.58,22.83,1.0,22.83,1.0,0.62,-11.92,0.35,-11.85,0.92,-11.31,2015q3
92172,601998.XSHG,2015-12-31,2016-03-24,2015-12-31,0.1759,8139000000.0,10906000000.0,363000000.0,2.69,2.66,0.17,22.04,,71.06,28.94,22.04,,33.54,,94.61,3.26,98.87,,-160.44,-554.34,17.21,0.71,17.21,0.71,-4.23,-19.93,-3.43,-20.63,-2.14,-20.39,2015q4
92171,601998.XSHG,2016-03-31,2016-04-28,2016-03-31,0.2289,11150000000.0,14741000000.0,1844000000.0,3.47,3.45,0.21,27.68,,63.58,36.42,27.68,,24.92,,87.11,12.46,99.55,,132.19,362.99,22.69,7.43,22.69,7.43,0.66,35.16,0.96,34.88,2.49,36.05,2016q1
100520,601998.XSHG,2016-06-30,2016-08-26,2016-06-30,0.2534,12344000000.0,16432000000.0,1566000000.0,3.77,3.75,0.23,33.06,,56.44,43.56,33.06,,24.84,,90.23,9.5,99.55,,-10.27,-23.59,1.84,-6.8,1.84,-6.8,6.25,11.47,5.07,11.35,6.36,10.71,2016q2
103273,601998.XSHG,2016-09-30,2016-10-28,2016-09-30,0.2236,10917000000.0,14291000000.0,1331000000.0,3.26,3.25,0.2,29.48,,61.51,38.49,29.48,,29.6,,90.45,9.29,99.76,,-212.42,-551.91,-0.76,-1.58,-0.76,-1.58,4.92,-13.03,4.6,-12.25,5.83,-11.75,2016q3
104829,601998.XSHG,2016-12-31,2017-03-23,2016-12-31,0.1448,7190000000.0,9165000000.0,497000000.0,1.96,1.99,0.12,18.63,,76.16,23.84,18.63,,31.02,,96.32,5.52,101.47,,645.22,2706.52,2.03,3.54,2.03,3.54,-15.96,-35.87,-13.76,-34.56,-13.92,-35.25,2016q4
107584,601998.XSHG,2017-03-31,2017-04-26,2017-03-31,0.2327,11389000000.0,14811000000.0,1834000000.0,2.97,2.97,0.2,30.16,,60.79,39.21,30.16,,25.86,,87.62,12.38,100.0,,-419.81,-1070.79,-6.67,-1.73,-6.67,-1.73,0.47,61.6,1.69,59.04,1.69,60.73,2017q1
112170,601998.XSHG,2017-06-30,2017-08-25,2017-06-30,0.2579,12465000000.0,16233000000.0,2352000000.0,3.26,3.22,0.22,32.92,,58.16,41.84,32.92,,27.12,,85.13,14.42,98.76,,183.19,437.88,2.85,2.71,2.85,2.71,-1.21,9.6,2.39,12.11,1.79,10.83,2017q2
114375,601998.XSHG,2017-09-30,2017-10-25,2017-09-30,0.2192,10689000000.0,13297000000.0,2549000000.0,2.74,2.73,0.19,27.71,,65.66,34.34,27.71,,25.81,,80.7,19.14,99.65,,214.25,624.0,4.3,-0.19,4.3,-0.19,-6.96,-18.09,-1.96,-15.98,-1.97,-15.01,2017q3
121217,601998.XSHG,2017-12-31,2018-03-27,2017-12-31,0.16,7846000000.0,8028000000.0,3351000000.0,1.97,1.97,0.14,19.28,,80.61,19.39,19.28,,40.11,,59.64,42.73,100.23,,141.58,730.13,7.69,6.9,7.69,6.9,-12.41,-39.63,11.45,-25.61,10.47,-27.03,2017q4
126388,601998.XSHG,2018-03-31,2018-04-27,2018-03-31,0.2486,12094000000.0,15744000000.0,5037000000.0,3.02,3.0,0.22,31.36,,60.28,39.72,31.36,,27.85,,68.0,31.99,99.41,,-141.8,-357.01,4.92,-4.26,4.92,-4.26,6.3,96.11,9.1,55.69,6.82,55.42,2018q1
130405,601998.XSHG,2018-06-30,2018-08-28,2018-06-30,0.27699999999999997,13482000000.0,16663000000.0,4497000000.0,3.32,3.3,0.24,33.19,,59.76,40.24,33.19,,25.53,,72.87,26.93,99.46,,165.66,411.73,6.73,4.48,6.73,4.48,2.65,5.84,7.63,10.6,7.39,11.42,2018q2
