id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,requested_period
1831443,002936.XSHE,2022-12-31,2023-03-31,2022-12-31,-0.1187,-997586000.0,-1548885000.0,307843000.0,-1.75,-1.78,-0.16,-27.94,,145.85,-45.85,-27.94,,41.94,,119.9,-19.88,101.68,,-254.77,555.64,-22.62,-18.81,-22.62,-18.81,-513.68,-238.81,-1522.36,-203.54,-828.92,-212.47,2022q4
2011209,002936.XSHE,2023-03-31,2023-04-28,2023-03-31,0.1437,1183732000.0,1518235000.0,199452000.0,2.31,2.3,0.21,37.37,,54.25,45.75,37.37,,18.94,,86.85,13.14,99.64,,-20.65,-45.12,-3.01,-1.77,-3.01,-1.77,0.81,198.02,1.29,231.36,1.86,221.09,2023q1
2684766,002936.XSHE,2023-06-30,2023-08-30,2023-06-30,0.1039,832471000.0,1005145000.0,419148000.0,1.64,1.59,0.14,24.29,,72.08,27.92,24.29,,22.52,,58.1,41.56,96.96,,6.05,21.67,-13.07,8.49,-13.07,8.49,-42.19,-33.8,-37.89,-29.47,-37.08,-27.73,2023q2
3001420,002936.XSHE,2023-09-30,2023-10-31,2023-09-30,0.0774,695778000.0,818783000.0,326104000.0,1.32,1.3,0.12,20.63,,77.0,23.0,20.63,,22.02,,60.19,39.84,98.83,,-15.53,-67.5,-14.45,-1.13,-14.45,-1.13,-26.62,-18.54,-19.45,-16.03,-19.3,-18.0,2023q3
3010941,002936.XSHE,2023-12-31,2024-03-29,2023-12-31,-0.099,-907534000.0,-1608039000.0,313572000.0,-1.7,-1.71,-0.16,-31.02,,150.42,-50.42,-31.02,,46.17,,119.66,-19.53,100.78,,83.65,-165.92,-5.58,-10.39,-5.58,-10.39,-3.82,-296.39,-4.82,-234.73,8.22,-227.91,2023q4
3024946,002936.XSHE,2024-03-31,2024-04-30,2024-03-31,0.1064,943546000.0,1152116000.0,395268000.0,1.82,1.78,0.16,29.15,,66.12,33.88,29.15,,18.13,,65.61,34.27,97.53,,-3.01,-8.88,2.47,6.6,2.47,6.6,-24.11,171.65,-20.06,200.19,-18.57,207.43,2024q1
3134753,002936.XSHE,2024-06-30,2024-08-30,2024-06-30,0.0689,625359000.0,717421000.0,384920000.0,1.16,1.16,0.1,21.98,,76.03,23.97,21.98,,32.05,,46.43,53.76,99.83,,-143.75,-599.7,-16.86,-11.97,-16.86,-11.97,-28.63,-37.73,-24.78,-33.63,-27.04,-35.25,2024q2
3147508,002936.XSHE,2024-09-30,2024-10-31,2024-09-30,0.0715,651070000.0,691318000.0,461879000.0,1.19,1.19,0.1,24.17,,73.89,26.11,24.17,,27.34,,33.37,67.18,100.12,,604.96,2317.04,-25.61,-11.53,-25.61,-11.53,-15.57,-3.64,-12.87,-2.74,-7.63,3.81,2024q3
3167715,002936.XSHE,2024-12-31,2025-03-28,2024-12-31,-0.0405,-361297000.0,-761227000.0,724012000.0,-0.67,-0.66,-0.06,-11.09,,119.84,-19.84,-11.09,,36.84,,192.72,-93.95,98.08,,-74.24,374.14,20.28,44.89,20.28,44.89,52.66,-210.11,56.99,-166.5,59.09,-156.65,2024q4
3184208,002936.XSHE,2025-03-31,2025-04-30,2025-03-31,0.1117,1015739000.0,1205728000.0,691476000.0,1.86,1.86,0.15,29.23,,65.31,34.69,29.23,,17.82,,42.66,57.36,100.01,,-3.98,-11.47,2.22,-9.41,2.22,-9.41,4.65,258.39,2.49,338.76,4.98,375.7,2025q1
3199560,002936.XSHE,2025-06-30,2025-08-29,2025-06-30,0.0673,612159000.0,748475000.0,395023000.0,1.11,1.11,0.09,20.23,,76.72,23.28,20.23,,26.4,,47.32,52.89,100.06,,245.63,1054.91,7.4,-7.51,7.4,-7.51,4.33,-37.92,-1.13,-35.98,-2.34,-39.76,2025q2
3212104,002936.XSHE,2025-09-30,2025-10-31,2025-09-30,0.0717,651162000.0,685263000.0,137328000.0,1.17,1.17,0.09,23.43,,74.66,25.34,23.43,,28.65,,79.86,20.02,99.92,,348.62,1376.01,2.15,-15.86,2.15,-15.86,-0.88,-8.45,-0.97,-2.58,0.22,6.53,2025q3
3238479,002936.XSHE,2025-12-31,2026-03-31,2025-12-31,-0.0422,-455025000.0,-756769000.0,287394000.0,-0.69,-0.82,-0.05,-11.09,,121.46,-21.46,-11.09,,37.32,,141.38,-38.91,118.48,,132.35,-616.72,-8.08,30.38,-8.08,30.38,0.59,-210.43,8.08,-161.72,-4.26,-158.93,2025q4
3256960,002936.XSHE,2026-03-31,2026-04-29,2026-03-31,0.1177,1070397000.0,1305084000.0,711010000.0,1.92,1.92,0.14,30.8,,62.93,37.07,30.8,,14.19,,45.51,54.46,100.03,,441.73,1191.72,1.31,-0.16,1.31,-0.16,8.24,272.45,6.74,377.24,5.37,378.64,2026q1
